"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"group_id";"Date"
"35";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;11;4,9503903;4,3938627;2,7265897;4,2449369;8,4641495;0,5743296;2,1031897;8,8387012;0,0297406;7,5163288;0,004628;0,5733625;NA;NA;NA;NA;1;2007-11-01
"36";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2007;12;1,9460721;1,7223557;1,2730522;3,1297255;2,0915895;0,3160754;1,1436237;7,7022285;0,0175087;4,0623775;0,0028895;0,1007176;NA;NA;NA;NA;1;2007-12-01
"37";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;1;1,4694954;1,2968706;1,3974775;2,8700709;1,6572847;0,4401398;1,6307;5,0897856;0,0291914;4,394455;0,0017743;0,0632728;NA;NA;NA;NA;1;2008-01-01
"38";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;2;0,8620982;0,758014;0,4622626;0,8144343;1,3195502;0,1367463;0,334649;1,0609477;0,0018115;2,934788;0,0048779;0,0292282;NA;NA;NA;NA;1;2008-02-01
"39";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;3;1,6571566;1,4513799;0,9061135;1,7251192;2,4804988;0,2790649;0,6478277;3,0610383;0;4,6727338;0,0050743;0,0543041;NA;NA;NA;NA;1;2008-03-01
"40";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;4;0,9402953;0,8211251;0,4359518;0,7654864;1,3762388;0,1004236;0,2422592;1,1200391;0;3,2250304;0,0072074;0,0490938;NA;NA;NA;NA;1;2008-04-01
"41";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;5;0,557343;0,4850917;0,2143379;0,3532057;0,7796805;0,040046;0,0882041;0,4793431;0;2,1366124;0,0103513;0,0385582;NA;NA;NA;NA;1;2008-05-01
"42";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;6;0,6924593;0,6008096;0,2225564;0,3482136;1,1308488;0,0421995;0,1215457;0,4386117;0;2,2321367;0,0179313;0,0594763;NA;NA;NA;NA;1;2008-06-01
"43";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;7;0;0;0;0;0;0;0;0;0;0;0,052961;0;NA;NA;NA;NA;1;2008-07-01
"44";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;8;0;0;0;0;0;0;0;0;0;0;0,0373759;0;NA;NA;NA;NA;1;2008-08-01
"45";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;9;0;0;0;0;0;0;0;0;0;0;0,0292217;0;NA;NA;NA;NA;1;2008-09-01
"46";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;10;0,0736141;0,0634966;0,0166998;0,0345333;0,1473043;0,0021042;0,0084465;0,0627792;0;0,145001;0,03425;0,0110552;NA;NA;NA;NA;1;2008-10-01
"47";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;11;4,9441156;4,255867;2,6334233;6,1950483;8,4091043;0,5757175;2,1178885;12,1238832;0,0296004;7,5929208;0,0050058;0,5732129;NA;NA;NA;NA;1;2008-11-01
"48";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2008;12;1,734356;1,489289;1,164189;3,0534623;2,1535566;0,3044883;1,1528771;6,2890744;0,0175879;4,1105747;0,0029732;0,10172;NA;NA;NA;NA;1;2008-12-01
"49";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;1;1,643391;1,4075806;1,434051;4,0566902;1,6321933;0,4603281;1,6767737;8,1161442;0,0292491;4,446249;0,0020771;0,0607499;NA;NA;NA;NA;1;2009-01-01
"50";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;2;0,8331617;0,7110839;0,4419428;0,94846;1,3470848;0,1336211;0,3427118;1,0483174;0,0017837;2,967382;0,005201;0,0293856;NA;NA;NA;NA;1;2009-02-01
"51";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;3;1,5469528;1,3155324;0,8535721;1,7234014;2,5000057;0,2712401;0,653865;2,3891029;0;4,7207613;0,0051958;0,0546747;NA;NA;NA;NA;1;2009-03-01
"52";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;4;0,9421731;0,7989326;0,426378;0,8193034;1,4018143;0,1002901;0,2459007;1,1650407;0;3,2571318;0,0077819;0,0492866;NA;NA;NA;NA;1;2009-04-01
"53";"C:/Users/siahl/Documents/NutsforBASHN/Base/Output data/Soil solution/Leaching Layer 1.csv";2009;5;0,5072088;0,4289389;0,2001503;0,3385024;0,6303516;0,0346257;0,0957686;0,4090945;0;2,153784;0,0091333;0,0388513;NA;NA;NA;NA;1;2009-05-01
