"";"Ca_L1";"Mg_L1";"K_L1";"Na_L1";"Al_L1";"Si_L1";"P_L1";"Ca_L2";"Mg_L2";"K_L2";"Na_L2";"Al_L2";"Si_L2";"P_L2";"Ca_L3";"Mg_L3";"K_L3";"Na_L3";"Al_L3";"Si_L3";"P_L3";"Ca_L4";"Mg_L4";"K_L4";"Na_L4";"Al_L4";"Si_L4";"P_L4";"Ca_L5";"Mg_L5";"K_L5";"Na_L5";"Al_L5";"Si_L5";"P_L5";"Ca_L6";"Mg_L6";"K_L6";"Na_L6";"Al_L6";"Si_L6";"P_L6";"Ca_L7";"Mg_L7";"K_L7";"Na_L7";"Al_L7";"Si_L7";"P_L7";"Ca_L8";"Mg_L8";"K_L8";"Na_L8";"Al_L8";"Si_L8";"P_L8";"Date";"Total_Ca"
"23";0,0505667;0,0754438;0,1348476;0,0140834;0,4238325;0,6679264;0,0061824;0,043235;0,068831;0,1253978;0,0104696;0,376239;0,5977576;0,0093711;0,0337731;0,0565476;0,0973038;0,0092514;0,297256;0,4741238;0,004712;0,0775999;0,0792067;0,0494821;0,0343977;0,3025471;0,6289844;0,0094476;0,0007411;0,0007761;0,0004848;0,0003183;0,0029224;0,0060644;9,36e-05;0,0091968;0,0091526;0,0056818;0,0041801;0,0354064;0,0737729;0,0010832;0,0081256;0,008362;0,0052631;0,0036258;0,0321928;0,0666319;0,0009958;0,0063632;0,0066348;0,0041544;0,0027702;0,0251643;0,0521616;0,0007962;2006-09-01;0,2296014
"24";0,0326859;0,0420089;0,0755934;0,0092296;0,2511511;0,3914456;0,0034229;0,0275636;0,0408157;0,0742308;0,0069268;0,2297788;0,362973;0,0051896;0,0214689;0,0319031;0,0548442;0,0059882;0,175356;0,2773059;0,002566;0,0454046;0,046269;0,0287218;0,0206403;0,1780802;0,3697712;0,0054241;0,0004446;0,0004634;0,0002854;0,0001959;0,0017553;0,0036432;5,47e-05;0,0056609;0,0055622;0,003437;0,0026632;0,0218628;0,0454805;0,0006549;0,006107;0,0062881;0,0039448;0,0027581;0,0242885;0,0502322;0,0007433;0,0047434;0,0049666;0,0030742;0,002065;0,0187475;0,0388984;0,0005916;2006-10-01;0,1440789
"25";0,0301413;0,03458;0,0637478;0,0083043;0,2183629;0,3375281;0,0035535;0,0270572;0,0319604;0,0590219;0,0074383;0,1998204;0,3094262;0,0032455;0,0249955;0,0288662;0,0532706;0,0069312;0,1822532;0,2817025;0,0028282;0,0392109;0,0379827;0,023363;0,0189803;0,1514603;0,3147912;0,0044632;0,0004672;0,0004435;0,0002688;0,0002263;0,0017662;0,0036891;5,29e-05;0,0040555;0,0039214;0,002406;0,0019603;0,0155941;0,0324556;0,0004599;0,0057268;0,0055759;0,0034259;0,0027176;0,0219608;0,0457621;0,0006556;0,0043913;0,0043451;0,0026863;0,0020646;0,0170158;0,0353908;0,0005076;2006-11-01;0,1360457
"26";0,0256411;0,0277278;0,050874;0,0071246;0,1790722;0,2757033;0,0028192;0,0226327;0,0244616;0,0448572;0,0063357;0,1581878;0,2434517;0,0023679;0,0206827;0,0224061;0,041083;0,005792;0,1447882;0,2228595;0,0021571;0,0299182;0,0287498;0,0176303;0,014797;0,1156042;0,2402157;0,003341;0,000389;0,0003616;0,0002162;0,0001916;0,0014513;0,0030387;4,38e-05;0,0031858;0,0030431;0,0018594;0,0015766;0,0122399;0,0254646;0,0003555;0,0046367;0,0044577;0,0027242;0,0022469;0,0177248;0,0369442;0,0005231;0,0036423;0,003542;0,0021767;0,0017581;0,0140451;0,029226;0,000412;2006-12-01;0,1107285
"27";0,0263068;0,0282337;0,0517846;0,0073478;0,1829952;0,2815327;0,0027937;0,022523;0,0241633;0,04426;0,006324;0,1566462;0,2409474;0,0023096;0,0205951;0,0221538;0,0405772;0,0057832;0,1434922;0,220751;0,0021092;0,0283077;0,0270958;0,0165817;0,0140713;0,1091435;0,2269038;0,0031424;0,0003429;0,0003209;0,0001933;0,0001703;0,0012928;0,0027003;3,82e-05;0,0030101;0,0028648;0,0017472;0,0014971;0,0115448;0,0240272;0,0003342;0,0039401;0,0037748;0,0023054;0,0019316;0,0150898;0,0314321;0,0004408;0,0031353;0,0030316;0,0018598;0,0015331;0,0120944;0,0251582;0,0003511;2007-01-01;0,108161
"28";0,0245353;0,0263973;0,0484424;0,0068509;0,1709177;0,2629918;0,002617;0,021154;0,0228304;0,0418473;0,0059372;0,147659;0,2272095;0,0021823;0,0193447;0,0209347;0,0383725;0,0054293;0,1352774;0,208193;0,0019946;0,0260742;0,0251384;0,0154221;0,0128813;0,1008406;0,209579;0,0029002;0,0003264;0,0003057;0,0001841;0,0001615;0,0012287;0,0025679;3,64e-05;0,0029075;0,0027625;0,0016815;0,00144;0,0111058;0,0231377;0,0003235;0,0036382;0,0034757;0,0021186;0,0017832;0,01389;0,0289537;0,0004068;0,0028678;0,0027698;0,0016978;0,0014017;0,0110452;0,0229848;0,000321;2007-02-01;0,1008481
"29";0,0265744;0,0305673;0,0550831;0,0075531;0,1903428;0,2944198;0,0026306;0,0263361;0,0292167;0,0537147;0,0073685;0,1871032;0,2884094;0,0027973;0,0241489;0,0270359;0,0497555;0,006737;0,1726147;0,2662478;0,0026129;0,0359092;0,0340387;0,0206668;0,0176491;0,1364936;0,2846599;0,0040298;0,0003958;0,0003728;0,0002252;0,0001944;0,001493;0,0031194;4,44e-05;0,0035745;0,0034067;0,002075;0,0017559;0,0136412;0,0284312;4e-04;0,0041052;0,0039374;0,0024051;0,0020059;0,0157141;0,0327388;0,0004603;0,0033339;0,0032152;0,00197;0,0016272;0,0128238;0,0266899;0,0003743;2007-03-01;0,124378
"30";0,0398563;0,0484278;0,0882917;0,0112354;0,2965034;0,4600834;0,0042876;0,0365249;0,0433314;0,080351;0,0101465;0,2711591;0,4196755;0,0041634;0,0332169;0,0397442;0,0737313;0,0092181;0,2480739;0,3841488;0,0038066;0,0503138;0,0478684;0,0290096;0,0241631;0,1899025;0,3968866;0,0057139;0,0005326;0,0005066;0,0003069;0,0002557;0,002007;0,0041971;6,03e-05;0,0047891;0,0046104;0,0028163;0,0022962;0,0182478;0,0380688;0,0005438;0,0047347;0,0045652;0,0027943;0,0022845;0,0181254;0,0377672;0,0005363;0,0038848;0,0037592;0,0023062;0,0018733;0,0149247;0,031073;0,0004408;2007-04-01;0,1738531
"31";0,0425438;0,0650071;0,113589;0,0118191;0,3546513;0,5613632;0,0055146;0,0522815;0,0671604;0,1257777;0,0143713;0,4098935;0,6373329;0,0064944;0,0472713;0,0606115;0,113451;0,0130438;0,3704853;0,5758981;0,0057221;0,0837665;0,0793897;0,0476246;0,0391995;0,3103183;0,6521071;0,0095076;0,0007321;0,0007145;0,0004392;0,0003421;0,0027964;0,0058339;8,44e-05;0,0071819;0,0069879;0,0042843;0,0033565;0,0273211;0,0570599;0,0008257;0,0065492;0,0063738;0,0039164;0,0030963;0,0250901;0,0522892;0,0007519;0,0053154;0,0052005;0,0032045;0,0025074;0,0204459;0,0425754;0,0006122;2007-05-01;0,2456417
"32";0,0667745;0,0908004;0,1671354;0,0186697;0,5362911;0,8377604;0,0078265;0,0538821;0,0804612;0,1514503;0,0143463;0,466418;0,7324136;0,0081314;0,0504849;0,072581;0,1370761;0,0137218;0,4291697;0,671492;0,0067456;0,1081376;0,1027481;0,0614011;0,0496287;0,3979259;0,8381014;0,0122724;0,000971;0,0009448;0,0005797;0,0004502;0,0036973;0,0077178;0,0001116;0,0092036;0,0089616;0,0054969;0,004258;0,0349523;0,0730286;0,0010593;0,0083488;0,0081006;0,0049689;0,0039162;0,0318983;0,0664987;0,0009603;0,0068454;0,0066593;0,0040928;0,0032095;0,0262098;0,0546158;0,0007886;2007-06-01;0,3046479
"33";0,0825318;0,111291;0,2088004;0,0229812;0,6698839;1,0438836;0,0096364;0,0626124;0,0937229;0,1773854;0,0168388;0,5462942;0,8570107;0,008976;0,0580225;0,0855605;0,1621018;0,0157182;0,5023783;0,7870655;0,00796;0,1029058;0,1011326;0,062533;0,0474081;0,3955467;0,8238227;0,0119018;0,000913;0,0009267;0,0005835;0,0004139;0,0036054;0,0074625;0,0001097;0,0095485;0,0095374;0,0059486;0,0043531;0,0370757;0,077061;0,0011272;0,0082659;0,0082873;0,005197;0,0038266;0,0325793;0,0674233;0,0009767;0,0067745;0,0068165;0,004283;0,0031319;0,0267912;0,0554013;0,0008034;2007-07-01;0,3315744
"34";0,0684176;0,106619;0,1914876;0,0189474;0,591651;0,9346983;0,0087747;0,0707929;0,1077958;0,2045117;0,018964;0,6248702;0,9812121;0,0104579;0,0665012;0,098188;0,186603;0,0180562;0,577221;0,9040387;0,0090687;0,1212005;0,1190539;0,0735174;0,0554581;0,46371;0,9671921;0,0139791;0,0009685;0,0010016;0,000633;0,0004272;0,0038448;0,0079539;0,0001198;0,0113358;0,0112998;0,0070382;0,0051398;0,0438001;0,0911618;0,0013345;0,0090365;0,0091688;0,0057754;0,0041183;0,0357747;0,0739911;0,001084;0,0074967;0,0076178;0,0048032;0,003416;0,0297355;0,0614706;0,0009005;2007-08-01;0,3557497
"35";0,0419288;0,0704789;0,120896;0,0114743;0,3700465;0,5904867;0,0058064;0,0554352;0,0804375;0,1518458;0,0149869;0,473267;0,7411357;0,0076678;0,0516633;0,0728916;0,1376615;0,0141218;0,4340513;0,6782104;0,0066668;0,0947572;0,0934767;0,0579018;0,0435227;0,3644935;0,7591769;0,0110247;0,0007522;0,0007857;0,0004945;0,0003283;0,0029925;0,0061916;9,43e-05;0,0096273;0,0095211;0,005903;0,0044104;0,0370494;0,0771704;0,0011241;0,0084552;0,0086403;0,0054477;0,0038207;0,0335433;0,0693647;0,0010246;0,0070892;0,0072405;0,0045671;0,0032085;0,0281439;0,0581843;0,0008581;2007-09-01;0,2697084
