"";"N_F";"Ca_F";"Mg_F";"K_F";"S_F";"P_F";"N_W";"Ca_W";"Mg_W";"K_W";"S_W";"P_W";"WoodBiomass";"FoliarBiomass"
"33";94,8957901;24,6262226;7,0032477;33,6296349;5,7033267;9,6940937;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74217,62207
"34";94,4422455;24,5085239;6,9697766;33,4689064;5,6760674;9,6477613;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73862,900391
"35";92,9389496;24,1184063;6,8588352;32,936161;5,5857191;9,4941931;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72687,1875
"36";87,00811;22,5793056;6,4211431;30,8343639;5,2292695;8,8883266;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;68048,701172
"37";92,4726028;23,9973869;6,824419;32,7709007;5,5576906;9,4465532;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72322,460938
"38";94,6123199;24,5526581;6,9823289;33,5291786;5,6862898;9,6651363;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73995,922852
"39";94,9908905;24,6509018;7,0102668;33,6633415;5,7090421;9,7038088;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74291,99707
"40";94,8153152;24,6053391;6,9973097;33,60112;5,6984897;9,685874;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74154,6875
"41";94,7988663;24,6010666;6,9960957;33,5952873;5,6975012;9,6841917;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74141,816406
"42";95,171936;24,6978874;7,0236287;33,7275009;5,7199235;9,7223034;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74433,598633
"43";94,4788132;24,518013;6,972477;33,4818687;5,6782656;9,6514978;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73891,508789
"44";94,5556412;24,5379505;6,9781451;33,5090904;5,6828828;9,6593456;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73951,586914
"45";94,8957901;24,6262226;7,0032477;33,6296349;5,7033267;9,6940937;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74217,62207
"46";94,4422455;24,5085239;6,9697766;33,4689064;5,6760674;9,6477613;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73862,900391
"47";92,9389496;24,1184063;6,8588352;32,936161;5,5857191;9,4941931;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72687,1875
"48";87,00811;22,5793056;6,4211431;30,8343639;5,2292695;8,8883266;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;68048,701172
"49";92,4726028;23,9973869;6,824419;32,7709007;5,5576906;9,4465532;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72322,460938
"50";94,6123199;24,5526581;6,9823289;33,5291786;5,6862898;9,6651363;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73995,922852
"51";94,9908905;24,6509018;7,0102668;33,6633415;5,7090421;9,7038088;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74291,99707
"52";94,8153152;24,6053391;6,9973097;33,60112;5,6984897;9,685874;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74154,6875
"53";94,7988663;24,6010666;6,9960957;33,5952873;5,6975012;9,6841917;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74141,816406
"54";95,171936;24,6978874;7,0236287;33,7275009;5,7199235;9,7223034;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74433,598633
"55";94,4788132;24,518013;6,972477;33,4818687;5,6782656;9,6514978;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73891,508789
"56";94,5556412;24,5379505;6,9781451;33,5090904;5,6828828;9,6593456;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73951,586914
"57";94,8957901;24,6262226;7,0032477;33,6296349;5,7033267;9,6940937;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74217,62207
"58";94,4422455;24,5085239;6,9697766;33,4689064;5,6760674;9,6477613;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73862,900391
"59";92,9389496;24,1184063;6,8588352;32,936161;5,5857191;9,4941931;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72687,1875
"60";87,00811;22,5793056;6,4211431;30,8343639;5,2292695;8,8883266;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;68048,701172
"61";92,4726028;23,9973869;6,824419;32,7709007;5,5576906;9,4465532;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72322,460938
"62";94,6123199;24,5526581;6,9823289;33,5291786;5,6862898;9,6651363;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73995,922852
"63";94,9908905;24,6509018;7,0102668;33,6633415;5,7090421;9,7038088;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74291,99707
"64";94,8153152;24,6053391;6,9973097;33,60112;5,6984897;9,685874;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74154,6875
"65";94,7988663;24,6010666;6,9960957;33,5952873;5,6975012;9,6841917;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74141,816406
"66";95,171936;24,6978874;7,0236287;33,7275009;5,7199235;9,7223034;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74433,598633
"67";94,4788132;24,518013;6,972477;33,4818687;5,6782656;9,6514978;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73891,508789
"68";94,5556412;24,5379505;6,9781451;33,5090904;5,6828828;9,6593456;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73951,586914
"69";94,8957901;24,6262226;7,0032477;33,6296349;5,7033267;9,6940937;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74217,62207
"70";94,4422455;24,5085239;6,9697766;33,4689064;5,6760674;9,6477613;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73862,900391
"71";92,9389496;24,1184063;6,8588352;32,936161;5,5857191;9,4941931;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72687,1875
"72";87,00811;22,5793056;6,4211431;30,8343639;5,2292695;8,8883266;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;68048,701172
"73";92,4726028;23,9973869;6,824419;32,7709007;5,5576906;9,4465532;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72322,460938
"74";94,6123199;24,5526581;6,9823289;33,5291786;5,6862898;9,6651363;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73995,922852
"75";94,9908905;24,6509018;7,0102668;33,6633415;5,7090421;9,7038088;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74291,99707
"76";94,8153152;24,6053391;6,9973097;33,60112;5,6984897;9,685874;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74154,6875
"77";94,7988663;24,6010666;6,9960957;33,5952873;5,6975012;9,6841917;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74141,816406
"78";95,171936;24,6978874;7,0236287;33,7275009;5,7199235;9,7223034;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74433,598633
"79";94,4788132;24,518013;6,972477;33,4818687;5,6782656;9,6514978;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73891,508789
"80";94,5556412;24,5379505;6,9781451;33,5090904;5,6828828;9,6593456;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73951,586914
"81";94,8957901;24,6262226;7,0032477;33,6296349;5,7033267;9,6940937;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74217,62207
"82";94,4422455;24,5085239;6,9697766;33,4689064;5,6760674;9,6477613;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73862,900391
"83";92,9389496;24,1184063;6,8588352;32,936161;5,5857191;9,4941931;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72687,1875
"84";87,00811;22,5793056;6,4211431;30,8343639;5,2292695;8,8883266;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;68048,701172
"85";92,4726028;23,9973869;6,824419;32,7709007;5,5576906;9,4465532;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72322,460938
"86";94,6123199;24,5526581;6,9823289;33,5291786;5,6862898;9,6651363;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73995,922852
"87";94,9908905;24,6509018;7,0102668;33,6633415;5,7090421;9,7038088;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74291,99707
"88";94,8153152;24,6053391;6,9973097;33,60112;5,6984897;9,685874;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74154,6875
"89";94,7988663;24,6010666;6,9960957;33,5952873;5,6975012;9,6841917;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74141,816406
"90";95,171936;24,6978874;7,0236287;33,7275009;5,7199235;9,7223034;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74433,598633
"91";94,4788132;24,518013;6,972477;33,4818687;5,6782656;9,6514978;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73891,508789
"92";94,5556412;24,5379505;6,9781451;33,5090904;5,6828828;9,6593456;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73951,586914
"93";94,8957901;24,6262226;7,0032477;33,6296349;5,7033267;9,6940937;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74217,62207
"94";94,4422455;24,5085239;6,9697766;33,4689064;5,6760674;9,6477613;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73862,900391
"95";92,9389496;24,1184063;6,8588352;32,936161;5,5857191;9,4941931;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72687,1875
"96";87,00811;22,5793056;6,4211431;30,8343639;5,2292695;8,8883266;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;68048,701172
"97";92,4726028;23,9973869;6,824419;32,7709007;5,5576906;9,4465532;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72322,460938
"98";94,6123199;24,5526581;6,9823289;33,5291786;5,6862898;9,6651363;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73995,922852
"99";94,9908905;24,6509018;7,0102668;33,6633415;5,7090421;9,7038088;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74291,99707
"100";94,8153152;24,6053391;6,9973097;33,60112;5,6984897;9,685874;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74154,6875
"101";94,7988663;24,6010666;6,9960957;33,5952873;5,6975012;9,6841917;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74141,816406
"102";95,171936;24,6978874;7,0236287;33,7275009;5,7199235;9,7223034;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74433,598633
"103";94,4788132;24,518013;6,972477;33,4818687;5,6782656;9,6514978;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73891,508789
"104";94,5556412;24,5379505;6,9781451;33,5090904;5,6828828;9,6593456;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73951,586914
"105";94,8957901;24,6262226;7,0032477;33,6296349;5,7033267;9,6940937;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74217,62207
"106";94,4422455;24,5085239;6,9697766;33,4689064;5,6760674;9,6477613;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73862,900391
"107";92,9389496;24,1184063;6,8588352;32,936161;5,5857191;9,4941931;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72687,1875
"108";87,00811;22,5793056;6,4211431;30,8343639;5,2292695;8,8883266;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;68048,701172
"109";92,4726028;23,9973869;6,824419;32,7709007;5,5576906;9,4465532;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72322,460938
"110";94,6123199;24,5526581;6,9823289;33,5291786;5,6862898;9,6651363;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73995,922852
"111";94,9908905;24,6509018;7,0102668;33,6633415;5,7090421;9,7038088;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74291,99707
"112";94,8153152;24,6053391;6,9973097;33,60112;5,6984897;9,685874;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74154,6875
"113";94,7988663;24,6010666;6,9960957;33,5952873;5,6975012;9,6841917;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74141,816406
"114";95,171936;24,6978874;7,0236287;33,7275009;5,7199235;9,7223034;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74433,598633
"115";94,4788132;24,518013;6,972477;33,4818687;5,6782656;9,6514978;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73891,508789
"116";94,5556412;24,5379505;6,9781451;33,5090904;5,6828828;9,6593456;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73951,586914
"117";94,8957901;24,6262226;7,0032477;33,6296349;5,7033267;9,6940937;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74217,62207
"118";94,4422455;24,5085239;6,9697766;33,4689064;5,6760674;9,6477613;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73862,900391
"119";92,9389496;24,1184063;6,8588352;32,936161;5,5857191;9,4941931;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72687,1875
"120";87,00811;22,5793056;6,4211431;30,8343639;5,2292695;8,8883266;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;68048,701172
"121";92,4726028;23,9973869;6,824419;32,7709007;5,5576906;9,4465532;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72322,460938
"122";94,6123199;24,5526581;6,9823289;33,5291786;5,6862898;9,6651363;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73995,922852
"123";94,9908905;24,6509018;7,0102668;33,6633415;5,7090421;9,7038088;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74291,99707
"124";94,8153152;24,6053391;6,9973097;33,60112;5,6984897;9,685874;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74154,6875
"125";94,7988663;24,6010666;6,9960957;33,5952873;5,6975012;9,6841917;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74141,816406
"126";95,171936;24,6978874;7,0236287;33,7275009;5,7199235;9,7223034;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74433,598633
"127";94,4788132;24,518013;6,972477;33,4818687;5,6782656;9,6514978;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73891,508789
"128";94,5556412;24,5379505;6,9781451;33,5090904;5,6828828;9,6593456;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73951,586914
"129";94,8957901;24,6262226;7,0032477;33,6296349;5,7033267;9,6940937;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;74217,62207
"130";94,4422455;24,5085239;6,9697766;33,4689064;5,6760674;9,6477613;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73862,900391
"131";92,9389496;24,1184063;6,8588352;32,936161;5,5857191;9,4941931;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72687,1875
"132";87,00811;22,5793056;6,4211431;30,8343639;5,2292695;8,8883266;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;68048,701172
"133";92,4726028;23,9973869;6,824419;32,7709007;5,5576906;9,4465532;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;72322,460938
"134";94,6123199;24,5526581;6,9823289;33,5291786;5,6862898;9,6651363;73,6317215;83,5229568;11,1608572;52,4449158;7,1278806;11,1983585;1084594,375;73995,922852
