"";"YEAR";"Litter_N_Min";"Litter_Ca_Min";"Litter_Mg_Min";"Litter_K_Min";"Litter_S_Min";"Litter_P_Min";"SOM_N_Min";"SOM_Ca_Min";"SOM_Mg_Min";"SOM_K_Min";"SOM_S_Min";"SOM_P_Min";"MB_NUP_SOM";"MB_CaUP_SOM";"MB_MgUP_SOM";"MB_KUP_SOM";"MB_SUP_SOM";"MB_PUP_SOM";"MB_NUP_DOC";"MB_CaUP_DOC";"MB_MgUP_DOC";"MB_KUP_DOC";"MB_SUP_DOC";"MB_PUP_DOC";"MB_NT";"MB_CaT";"MB_MgT";"MB_KT";"MB_ST";"MB_PT";"X";"Net_N_Minz";"Net_P_Minz";"Net_Ca_Minz";"Net_K_Minz";"Net_Mg_Minz";"Net_S_Minz"
"25";2029;149,9801168;21,9462778;11,1469445;26,6510904;5,4766774;7,5337217;253,9642955;0,0058999;0,0058999;0,0058999;5,6745771;7,3488596;60,2845655;0,0035222;0,0035222;0,0035222;0,0480135;0,0240069;209,0305446;0,037879;0,037879;0,037879;0,1821655;0,0878023;220,4221974;0,0413439;0,0413439;0,0413439;0,2299383;0,1116877;0;27,287941478;4,5819430563;8,782374347012;10,407540136074;2,70149234047;3,5166899334
"26";2030;150,141431;21,9322843;11,1558336;26,7166335;5,4780208;7,5451302;254,3510942;0,0061484;0,0061484;0,0061484;5,6464667;7,2954161;60,3094761;0,0035366;0,0035366;0,0035366;0,0480279;0,0240138;205,3378407;0,0379394;0,0379394;0,0379394;0,1824617;0,0879504;219,6562424;0,0414211;0,0414211;0,0414211;0,2302605;0,1118497;0;27,88165583;4,56887895023;8,776841694908;10,43323972065;2,70369855393;3,50801347148
"27";2031;150,2638218;21,9158903;11,1620552;26,7717911;5,4783274;7,5542465;254,7358256;0,0063955;0,0063955;0,0063955;5,6189929;7,2424054;60,3348045;0,0035514;0,0035514;0,0035514;0,0480423;0,0240211;208,2488248;0,0379948;0,0379948;0,0379948;0,1827331;0,0880862;220,8971957;0,041494;0,041494;0,041494;0,2305607;0,1120001;0;27,545115164;4,55524279729;8,77034846116;10,454880189964;2,705257306495;3,49921665632
"28";2032;150,3854963;21,9018916;11,1683924;26,8241717;5,4788995;7,5630709;255,1324378;0,0066409;0,0066409;0,0066409;5,5915323;7,189854;60,3605056;0,0035657;0,0035657;0,0035657;0,0480568;0,0240285;212,1911371;0,0380488;0,0380488;0,0380488;0,1824114;0,0882186;223,5138703;0,0415641;0,0415641;0,0415641;0,2306069;0,1121435;0;27,06575158;4,54165954111;8,764815047612;10,475434790524;2,706844082725;3,49069934024
"29";2033;150,5203109;21,8918042;11,1758369;26,8767732;5,480181;7,5723471;255,5313625;0,0068848;0,0068848;0,0068848;5,563818;7,1377663;60,3865639;0,0035803;0,0035803;0,0035803;0,0480718;0,0240358;208,7611516;0,0381033;0,0381033;0,0381033;0,1826771;0,0883519;222,9947377;0,0416332;0,0416332;0,0416332;0,2306412;0,1122848;0;27,620673052;4,52835953655;8,760848325132;10,496074976606;2,70869950212;3,48213980114
"30";2034;150,6052468;21,8765754;11,1797293;26,9182837;5,479896;7,5789062;255,9292869;0,0071271;0,0071271;0,0071271;5,536577;7,0861198;60,4129738;0,0035949;0,0035949;0,0035949;0,0480869;0,0240435;210,9693076;0,0381527;0,0381527;0,0381527;0,1835046;0,0884726;224,0874958;0,0417003;0,0417003;0,0417003;0,2310827;0,1124208;0;27,379131654;4,51435858798;8,754822537848;10,512380171938;2,709692434285;3,47304966904
"31";2035;150,6736825;21,8605727;11,1825145;26,9551638;5,4792025;7,5844741;256,3355541;0,0073674;0,0073674;0,0073674;5,509609;7,0348847;60,4396883;0,0036097;0,0036097;0,0036097;0,048102;0,024051;214,1038542;0,038199;0,038199;0,038199;0,1831444;0,0885862;225,921362;0,0417635;0,0417635;0,0417635;0,2313212;0,1125461;0;27,006753536;4,50018027422;8,748487043236;10,526875403556;2,710416528845;3,46429687226
"32";2036;150,7521915;21,8472557;11,1861337;26,9925588;5,4790178;7,5904257;256,7381095;0,0076063;0,0076063;0,0076063;5,4824127;6,9840501;60,4666883;0,0036243;0,0036243;0,0036243;0,0481173;0,0240586;209,945384;0,0382458;0,0382458;0,0382458;0,1833725;0,0887005;224,6710033;0,0418255;0,0418255;0,0418255;0,2313845;0,1126703;0;27,65628838;4,48624461041;8,743227108312;10,541571207914;2,71134286531;3,4554453948
"33";2037;150,7874082;21,8290566;11,1866454;27,0207855;5,4774253;7,5940657;257,1361142;0,0078436;0,0078436;0,0078436;5,4556318;6,9336337;60,4939568;0,0036389;0,0036389;0,0036389;0,0481329;0,0240665;212,9119075;0,038288;0,038288;0,038288;0,1835776;0,0888035;225,9833622;0,0418852;0,0418852;0,0418852;0,2315663;0,1127875;0;27,301626086;4,47172606023;8,736011825272;10,552683563278;2,71151465305;3,4462831277
"34";2038;150,8290751;21,812733;11,1877055;27,0492107;5,4761779;7,5979394;257,5449438;0,0080793;0,0080793;0,0080793;5,4290883;6,8836591;60,5214693;0,0036537;0,0036537;0,0036537;0,0481485;0,0240742;216,1684591;0,0383297;0,0383297;0,0383297;0,1837804;0,0889053;228,0138587;0,0419419;0,0419419;0,0419419;0,2317717;0,1128978;0;26,908778372;4,45741708404;8,729547726776;10,563873098094;2,711819462055;3,43730834748
"35";2039;150,8712787;21,797346;11,1888693;27,0768598;5,4750521;7,6017562;257,9510469;0,0083132;0,0083132;0,0083132;5,4025355;6,8340644;60,5492068;0,0036685;0,0036685;0,0036685;0,0481643;0,024082;212,2127741;0,0383714;0,0383714;0,0383714;0,1839825;0,0890068;227,0388622;0,0419992;0,0419992;0,0419992;0,2319904;0,1130096;0;27,52533721;4,44320823386;8,723458258728;10,574758489568;2,712149037855;3,42836979506
"36";2040;150,8747055;21,7773553;11,1872364;27,0965546;5,47264;7,603531;258,3540191;0,0085461;0,0085461;0,0085461;5,3762938;6,7849068;60,5771565;0,0036833;0,0036833;0,0036833;0,04818;0,0240899;214,9385018;0,0384086;0,0384086;0,0384086;0,1841633;0,0890977;228,333765;0,0420533;0,0420533;0,0420533;0,2321961;0,1131136;0;27,200631192;4,42850562897;8,715525214528;10,582535277258;2,711799726395;3,4191254223
"37";2041;150,8887594;21,7595257;11,1864418;27,1175327;5,4706879;7,6057848;258,7665385;0,0087768;0,0087768;0,0087768;5,3502793;6,7361603;60,6052954;0,0036983;0,0036983;0,0036983;0,0481959;0,024098;217,8317091;0,0384462;0,0384462;0,0384462;0,1843453;0,0889193;230,0810148;0,042106;0,042106;0,042106;0,232395;0,1130873;0;26,855302432;4,41416209026;8,708457210788;10,590812793034;2,71165353182;3,41010098114
"38";2042;150,8903282;21,7405895;11,1847786;27,1355885;5,4683665;7,6073473;259,1739728;0,0090062;0,0090062;0,0090062;5,3243075;6,6877604;60,6336149;0,0037129;0,0037129;0,0037129;0,0482119;0,024106;213,5966941;0,0384827;0,0384827;0,0384827;0,1845205;0,0890075;228,7777518;0,0421585;0,0421585;0,0421585;0,2325934;0,1130841;0;27,505464966;4,39962923194;8,70094564588;10,59794766976;2,711296175405;3,4009740121
"39";2043;150,8722123;21,719493;11,1817127;27,1494331;5,4654147;7,6078576;259,5746954;0,0092336;0,0092336;0,0092336;5,2986364;6,6397491;60,6620941;0,0037277;0,0037277;0,0037277;0,0482282;0,024114;215,0916143;0,0385161;0,0385161;0,0385161;0,1846826;0,0890891;229,1538698;0,042208;0,042208;0,042208;0,2327768;0,1131474;0;27,349741076;4,38489290072;8,69256875998;10,603436481588;2,71059816011;3,3917455411
"40";2044;150,8692653;21,7010295;11,1798102;27,1655784;5,4630668;7,6090939;259,9816141;0,0094597;0,0094597;0,0094597;5,2729817;6,5921161;60,6907268;0,0037427;0,0037427;0,0037427;0,0482443;0,0241221;220,5028691;0,0385506;0,0385506;0,0385506;0,18485;0,0894428;232,0078564;0,0422575;0,0422575;0,0422575;0,23296;0,1133576;0;26,648721442;4,37041430184;8,685246113336;10,60982388275;2,710182325865;3,3827142391
"41";2045;150,8580696;21,68191;11,1773406;27,1797204;5,4604843;7,6098684;255,3327884;0,009497;0,009497;0,009497;5,0023944;6,4314785;59,9125997;0,0036867;0,0036867;0,0036867;0,0475084;0,0237542;213,9786281;0,0381945;0,0381945;0,0381945;0,1829832;0,0891361;229,6531544;0,0421479;0,0421479;0,0421479;0,2321239;0,1132451;0;26,909712186;4,32099968476;8,6777414415;10,615506933442;2,709677705455;3,2957344973
"42";2046;150,8121468;21,6584435;11,1723556;27,1869999;5,4567249;7,6088394;255,7481957;0,0097158;0,0097158;0,0097158;4,9789929;6,3864112;59,9448458;0,0037018;0,0037018;0,0037018;0,0475267;0,0237632;216,4948482;0,0382257;0,0382257;0,0382257;0,183132;0,0892116;228,974203;0,041979;0,041979;0,041979;0,231033;0,1130313;0;26,609169202;4,3067002783;8,668412189536;10,6184264202;2,708511697385;3,28697900748
"43";2047;150,7621476;21,6348388;11,1671067;27,193112;5,4528717;7,6075675;256,1653383;0,0099323;0,0099323;0,0099323;4,9559564;6,3417019;59,9764524;0,0037167;0,0037167;0,0037167;0,0475443;0,0237723;218,7318148;0,0382557;0,0382557;0,0382557;0,1832748;0,089284;230,120079;0,0419635;0,0419635;0,0419635;0,2308406;0,1130293;0;26,347393954;4,29243747838;8,659027111704;10,620889046828;2,707281281065;3,27831238798
