"","Harvest","Rock_Type","N","variable","value"
"173","H8","Basalt","Low","DW_F",10995.703125
"174","H8","Basalt","Low","DW_Brk",20618.921875
"175","H8","Basalt","Low","DW_Brh",9800.7060547
"176","H8","Basalt","Low","DW_Bol",136299.703125
"177","H9","Basalt","Low","DW_F",11105.9335938
"178","H9","Basalt","Low","DW_Brk",18978.5039062
"179","H9","Basalt","Low","DW_Brh",9225.9072266
"180","H9","Basalt","Low","DW_Bol",123644.296875
"181","H10","Basalt","Low","DW_F",10841.9423828
"182","H10","Basalt","Low","DW_Brk",17417.2636719
"183","H10","Basalt","Low","DW_Brh",8912.2128906
"184","H10","Basalt","Low","DW_Bol",112138.5625
"185","H11","Basalt","Low","DW_F",10597.8369141
"186","H11","Basalt","Low","DW_Brk",16823.9199219
"187","H11","Basalt","Low","DW_Brh",9168.9980469
"188","H11","Basalt","Low","DW_Bol",106854.5390625
"189","H12","Basalt","Low","DW_F",10395.2675781
"190","H12","Basalt","Low","DW_Brk",16552.5
"191","H12","Basalt","Low","DW_Brh",9458.4853516
"192","H12","Basalt","Low","DW_Bol",103565.5546875
