"","Harvest","Rock_Type","N","variable","value"
"49","H1","Sedimentary","High","DW_F",9098.7314453
"50","H1","Sedimentary","High","DW_Brk",28406.0195312
"51","H1","Sedimentary","High","DW_Brh",11386.0546875
"52","H1","Sedimentary","High","DW_Bol",205428.203125
"53","H2","Sedimentary","High","DW_F",11062.9511719
"54","H2","Sedimentary","High","DW_Brk",8423.4238281
"55","H2","Sedimentary","High","DW_Brh",4918.6484375
"56","H2","Sedimentary","High","DW_Bol",60099.140625
"57","H3","Sedimentary","High","DW_F",11020.8974609
"58","H3","Sedimentary","High","DW_Brk",6918.9287109
"59","H3","Sedimentary","High","DW_Brh",4337.3916016
"60","H3","Sedimentary","High","DW_Bol",59291.0351562
"61","H4","Sedimentary","High","DW_F",11001.5019531
"62","H4","Sedimentary","High","DW_Brk",6706.1845703
"63","H4","Sedimentary","High","DW_Brh",4586.6586914
"64","H4","Sedimentary","High","DW_Bol",59324.5546875
"65","H5","Sedimentary","High","DW_F",10993.6923828
"66","H5","Sedimentary","High","DW_Brk",6740.7333984
"67","H5","Sedimentary","High","DW_Brh",4810.2236328
"68","H5","Sedimentary","High","DW_Bol",59515.8554688
"69","H6","Sedimentary","High","DW_F",11001.0214844
"70","H6","Sedimentary","High","DW_Brk",6796.1713867
"71","H6","Sedimentary","High","DW_Brh",4833.4331055
"72","H6","Sedimentary","High","DW_Bol",59893.4960938
"73","H7","Sedimentary","High","DW_F",11008.2763672
"74","H7","Sedimentary","High","DW_Brk",6862.6572266
"75","H7","Sedimentary","High","DW_Brh",4865.8574219
"76","H7","Sedimentary","High","DW_Bol",60343.9765625
"77","H8","Sedimentary","High","DW_F",11015.265625
"78","H8","Sedimentary","High","DW_Brk",6931.6484375
"79","H8","Sedimentary","High","DW_Brh",4906.0493164
"80","H8","Sedimentary","High","DW_Bol",60846.0703125
"81","H9","Sedimentary","High","DW_F",11022.1787109
"82","H9","Sedimentary","High","DW_Brk",6997.9365234
"83","H9","Sedimentary","High","DW_Brh",4945.3896484
"84","H9","Sedimentary","High","DW_Bol",61328.0117188
"85","H10","Sedimentary","High","DW_F",11029.1601562
"86","H10","Sedimentary","High","DW_Brk",7057.6850586
"87","H10","Sedimentary","High","DW_Brh",4980.296875
"88","H10","Sedimentary","High","DW_Bol",61764.8789062
"89","H11","Sedimentary","High","DW_F",11033.9638672
"90","H11","Sedimentary","High","DW_Brk",7112.8364258
"91","H11","Sedimentary","High","DW_Brh",5015.4711914
"92","H11","Sedimentary","High","DW_Bol",62150.2109375
"93","H12","Sedimentary","High","DW_F",11032.1425781
"94","H12","Sedimentary","High","DW_Brk",7162.7314453
"95","H12","Sedimentary","High","DW_Brh",5039.8095703
"96","H12","Sedimentary","High","DW_Bol",62506.21875
"97","H1","Basalt","High","DW_F",8069.0307617
"98","H1","Basalt","High","DW_Brk",19962.6796875
"99","H1","Basalt","High","DW_Brh",9426.6191406
"100","H1","Basalt","High","DW_Bol",144267.265625
"101","H2","Basalt","High","DW_F",6598.3256836
"102","H2","Basalt","High","DW_Brk",5498.2182617
"103","H2","Basalt","High","DW_Brh",5009.8369141
"104","H2","Basalt","High","DW_Bol",37131.6015625
"105","H3","Basalt","High","DW_F",6508.6142578
"106","H3","Basalt","High","DW_Brk",4506.4394531
"107","H3","Basalt","High","DW_Brh",4135.965332
"108","H3","Basalt","High","DW_Bol",31804.8554688
"109","H4","Basalt","High","DW_F",6509.3632812
"110","H4","Basalt","High","DW_Brk",4501.7866211
"111","H4","Basalt","High","DW_Brh",4122.2441406
"112","H4","Basalt","High","DW_Bol",31715.9453125
"113","H5","Basalt","High","DW_F",6517.0888672
"114","H5","Basalt","High","DW_Brk",4540.3891602
"115","H5","Basalt","High","DW_Brh",4147.0258789
"116","H5","Basalt","High","DW_Bol",31884.1425781
"117","H6","Basalt","High","DW_F",6526.3354492
"118","H6","Basalt","High","DW_Brk",4611.6171875
"119","H6","Basalt","High","DW_Brh",4195.4155273
"120","H6","Basalt","High","DW_Bol",32193.2832031
"121","H7","Basalt","High","DW_F",6532.9306641
"122","H7","Basalt","High","DW_Brk",4662.5639648
"123","H7","Basalt","High","DW_Brh",4234.9150391
"124","H7","Basalt","High","DW_Bol",32443.796875
"125","H8","Basalt","High","DW_F",6539.96875
"126","H8","Basalt","High","DW_Brk",4709.5170898
"127","H8","Basalt","High","DW_Brh",4268.8193359
"128","H8","Basalt","High","DW_Bol",32661.3574219
"129","H9","Basalt","High","DW_F",6546.9443359
"130","H9","Basalt","High","DW_Brk",4756.9355469
"131","H9","Basalt","High","DW_Brh",4302.9682617
"132","H9","Basalt","High","DW_Bol",32878.5078125
"133","H10","Basalt","High","DW_F",6554.5361328
"134","H10","Basalt","High","DW_Brk",4811.5273438
"135","H10","Basalt","High","DW_Brh",4343.4360352
"136","H10","Basalt","High","DW_Bol",33129.0117188
"137","H11","Basalt","High","DW_F",6560.78125
"138","H11","Basalt","High","DW_Brk",4837.7954102
"139","H11","Basalt","High","DW_Brh",4364.0180664
"140","H11","Basalt","High","DW_Bol",33261.6601562
"141","H12","Basalt","High","DW_F",6567.9291992
"142","H12","Basalt","High","DW_Brk",4875.3032227
"143","H12","Basalt","High","DW_Brh",4392.0722656
"144","H12","Basalt","High","DW_Bol",33432.21875
"145","H1","Basalt","Low","DW_F",9158.6679688
"146","H1","Basalt","Low","DW_Brk",23931.109375
"147","H1","Basalt","Low","DW_Brh",10041.9150391
"148","H1","Basalt","Low","DW_Bol",175972.53125
"149","H2","Basalt","Low","DW_F",11140.5654297
"150","H2","Basalt","Low","DW_Brk",22434.8652344
"151","H2","Basalt","Low","DW_Brh",10652.5546875
"152","H2","Basalt","Low","DW_Bol",147980.5625
"153","H3","Basalt","Low","DW_F",11169.1298828
"154","H3","Basalt","Low","DW_Brk",22501.8925781
"155","H3","Basalt","Low","DW_Brh",10590.7871094
"156","H3","Basalt","Low","DW_Bol",148954.125
"157","H4","Basalt","Low","DW_F",11198.6220703
"158","H4","Basalt","Low","DW_Brk",23098.2792969
"159","H4","Basalt","Low","DW_Brh",10852.359375
"160","H4","Basalt","Low","DW_Bol",152759.65625
"161","H5","Basalt","Low","DW_F",11188.8300781
"162","H5","Basalt","Low","DW_Brk",23318.2851562
"163","H5","Basalt","Low","DW_Brh",10960.3105469
"164","H5","Basalt","Low","DW_Bol",154003.9375
"165","H6","Basalt","Low","DW_F",11141.6640625
"166","H6","Basalt","Low","DW_Brk",22798.1835938
"167","H6","Basalt","Low","DW_Brh",10749.2236328
"168","H6","Basalt","Low","DW_Bol",150647.15625
"169","H7","Basalt","Low","DW_F",11093.1835938
"170","H7","Basalt","Low","DW_Brk",22034.2578125
"171","H7","Basalt","Low","DW_Brh",10437.5673828
"172","H7","Basalt","Low","DW_Bol",145778.03125
"173","H8","Basalt","Low","DW_F",11042.9589844
"174","H8","Basalt","Low","DW_Brk",21165.1152344
"175","H8","Basalt","Low","DW_Brh",10090.6064453
"176","H8","Basalt","Low","DW_Bol",140242.921875
"177","H9","Basalt","Low","DW_F",10988.6582031
"178","H9","Basalt","Low","DW_Brk",20330.6601562
"179","H9","Basalt","Low","DW_Brh",9756.2890625
"180","H9","Basalt","Low","DW_Bol",134948.9375
"181","H10","Basalt","Low","DW_F",10936.1806641
"182","H10","Basalt","Low","DW_Brk",19560.2558594
"183","H10","Basalt","Low","DW_Brh",9441.4248047
"184","H10","Basalt","Low","DW_Bol",130088.671875
"185","H11","Basalt","Low","DW_F",10875.0644531
"186","H11","Basalt","Low","DW_Brk",18839.1835938
"187","H11","Basalt","Low","DW_Brh",9144.6689453
"188","H11","Basalt","Low","DW_Bol",125545.59375
"189","H12","Basalt","Low","DW_F",10823.9462891
"190","H12","Basalt","Low","DW_Brk",18180.1152344
"191","H12","Basalt","Low","DW_Brh",8870.2646484
"192","H12","Basalt","Low","DW_Bol",121411.1875
