"";"Month";"Year";"Dry weight";"Ca";"Mg";"K";"S";"P";"Date"
"76";4;2011;21306,9316406;33,2709007;5,4270778;21,648859;2,3841414;4,6843767;2011-04-01
"77";5;2011;21447,015625;33,4045372;5,4497929;21,7287769;2,3954566;4,7013512;2011-05-01
"78";6;2011;21536,6699219;33,5505257;5,4735556;21,8244171;2,4029803;4,713315;2011-06-01
"79";7;2011;21626,3242188;33,6965141;5,4973183;21,9200592;2,4124079;4,720283;2011-07-01
"80";8;2011;21704,7695312;33,8242531;5,5181112;22,0037441;2,4206412;4,7274895;2011-08-01
"81";9;2011;21777,6152344;33,9428673;5,5374184;22,0814533;2,4286737;4,7351761;2011-09-01
"82";10;2011;21780,4179688;33,9474297;5,5381608;22,084444;2,4289985;4,7358618;2011-10-01
"83";11;2011;21783,2207031;33,9477272;5,5384164;22,0845661;2,4290421;4,7360239;2011-11-01
"84";12;2011;21786,0234375;33,9477272;5,5384164;22,0846176;2,4290724;4,7360997;2011-12-01
"85";1;2012;21788,7128906;33,9477272;5,5384164;22,0846386;2,4290848;4,7361288;2012-01-01
"86";2;2012;21791,4042969;33,9477272;5,5384164;22,0846672;2,4291019;4,736166;2012-02-01
"87";3;2012;21796,78125;33,9477272;5,5384164;22,0847111;2,4291577;4,7362685;2012-03-01
"88";4;2012;21864,0234375;33,9563866;5,5395269;22,0887394;2,4311414;4,7392268;2012-04-01
"89";5;2012;21998,5058594;34,1131897;5,5708637;22,1999149;2,4468908;4,765121;2012-05-01
"90";6;2012;22084,5742188;34,2533417;5,5936766;22,2917309;2,4550877;4,7766929;2012-06-01
"91";7;2012;22170,6445312;34,3934898;5,6164894;22,3835468;2,4642456;4,7842746;2012-07-01
"92";8;2012;22245,9550781;34,5161171;5,6364498;22,4638863;2,4722383;4,7912264;2012-08-01
"93";9;2012;22315,8867188;34,6299896;5,654985;22,5384846;2,4799938;4,7983007;2012-09-01
"94";10;2012;22318,5761719;34,6343689;5,6556978;22,5413551;2,4802938;4,7989593;2012-10-01
"95";11;2012;22321,2675781;34,6349525;5,6559763;22,5415726;2,4803336;4,7991004;2012-11-01
"96";12;2012;22323,9570312;34,6349525;5,6559763;22,5416489;2,4803746;4,7992015;2012-12-01
"97";1;2013;22326,3105469;34,6349525;5,6559763;22,5416737;2,4803889;4,7992349;2013-01-01
"98";2;2013;22328,6640625;34,6349525;5,6559763;22,5416985;2,4804082;4,7992759;2013-02-01
