"";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"N_F";"Ca_F";"Mg_F";"K_F";"S_F";"P_F";"N_W";"Ca_W";"Mg_W";"K_W";"S_W";"P_W";"WoodBiomass";"FoliarBiomass";"TotBiomass"
"27";182,8578339;47,0410614;13,7045431;47,5376129;6,1833992;13,2285061;55,3173752;40,7187195;7,1940117;40,1426659;4,2822247;8,8494492;"  18517.3378906";"    122.0897141";"     40.4235001";"     10.8522472";"     27.0212460";"      3.6506853";"      7.7011700";"     31.6661053";"     29.9998074";"      4.8842044";"     19.5632839";"      2.1676250";"      4.4170241";" 168986.5312500";"    127.7465515";"    134.8200684";"     19.1887245";"     87.7836227";"     11.3020391";"     18.5223980";NA;"     99.4253387";"     25.7992020";"      7.4016576";"     35.0940819";"      5.9728165";"      9.9263868";"     40.7630768";"     64.1015472";"      7.1105075";"     28.0776768";"      4.8521895";"      5.2559247";1288713,203125;76988,085938;2577426,40625
"28";182,8579254;47,0410843;13,7045498;47,5376205;6,1834021;13,2285128;55,3173752;40,7187195;7,1940117;40,1426506;4,2822247;8,8494492;"  18521.0371094";"    122.0659103";"     40.4154282";"     10.8500795";"     27.0158443";"      3.6499674";"      7.6996813";"     31.6662579";"     29.9998074";"      4.8842044";"     19.5632820";"      2.1676319";"      4.4170523";" 168990.1718750";"    127.7467117";"    134.8200684";"     19.1887245";"     87.7835922";"     11.3020458";"     18.5224266";NA;"     98.8940659";"     25.6624451";"      7.3624234";"     34.9048996";"      5.9409895";"      9.8732042";"     40.7630768";"     64.1015472";"      7.1105080";"     28.0776691";"      4.8521895";"      5.2559247";1288712,65625;76440,620117;2577425,3125
"29";182,858078;47,0411263;13,7045622;47,5376282;6,1834078;13,2285233;55,3173714;40,7187195;7,1940117;40,1426239;4,2822247;8,8494482;"  18528.4335938";"    122.0184860";"     40.3992958";"     10.8457489";"     27.0050526";"      3.6485641";"      7.6967373";"     31.6665916";"     29.9998074";"      4.8842044";"     19.5632744";"      2.1676636";"      4.4171267";" 168997.4218750";"    127.7470474";"    134.8200684";"     19.1887245";"     87.7835388";"     11.3020782";"     18.5225010";NA;"     98.3523102";"     25.5233097";"      7.3225060";"     34.7119522";"      5.9083185";"      9.8187943";"     40.7630768";"     64.1015472";"      7.1105080";"     28.0776463";"      4.8521895";"      5.2559247";1288711,5625;75862,529297;2577423,125
"30";182,7896271;47,0225563;13,6990767;47,533783;6,1812458;13,223587;55,3195419;40,7194824;7,1941071;40,1559868;4,2824984;8,8498068;"  18620.8886719";"    121.4701614";"     40.2078362";"     10.7936239";"     26.8748970";"      3.6332490";"      7.6621780";"     31.6815968";"     30.0066204";"      4.8849859";"     19.5661373";"      2.1693358";"      4.4192352";" 169150.9062500";"    127.7657852";"    134.8288422";"     19.1896954";"     87.8088913";"     11.3043270";"     18.5251732";NA;"     98.7881622";"     25.5329590";"      7.3170981";"     34.7390976";"      5.9633198";"      9.8627729";"     40.7646408";"     64.1027298";"      7.1106000";"     28.0867748";"      4.8524933";"      5.2561316";1289232,421875;81897,96875;2578464,84375
"31";182,4514923;46,7706375;13,6197538;47,2481842;6,1520071;13,1387253;55,733448;40,8799896;7,2193208;40,2878838;4,3020902;8,8752213;"  18805.8007812";"    120.6693878";"     39.9795341";"     10.7274427";"     26.7043819";"      3.6150906";"      7.6096220";"     31.7852764";"     30.1325302";"      4.9032454";"     19.6350613";"      2.1799283";"      4.4325066";" 170715.4375000";"    128.5813599";"    135.3619995";"     19.2575035";"     88.0998230";"     11.3562002";"     18.5785694";NA;"    100.1966248";"     26.0434933";"      7.4412351";"     35.2871552";"      6.1075063";"      9.9865189";"     41.0626259";"     64.3494797";"      7.1349382";"     28.1768837";"      4.8741808";"      5.2708392";1301008,515625;86206,484375;2602017,03125
"32";182,0375519;46,7446518;13,6220551;47,2558708;6,1351213;13,0250082;56,3971062;41,4378014;7,3231349;40,8669662;4,3512411;8,923418;"  18924.1445312";"    120.5534897";"     39.9702263";"     10.7285547";"     26.7080116";"      3.6104245";"      7.5799499";"     31.9545784";"     30.3150940";"      4.9346123";"     19.7613068";"      2.1908152";"      4.4430079";" 172950.0625000";"    129.8920898";"    136.9599152";"     19.4929008";"     89.2007446";"     11.4706488";"     18.6651592";NA;"    100.1808243";"     26.0587387";"      7.4480052";"     35.3222618";"      6.1039906";"      9.9535179";"     41.5404129";"     65.2070236";"      7.2351527";"     28.5724754";"      4.9285917";"      5.2987318";1319072,65625;86235,429688;2638145,3125
"33";181,5827179;46,7221489;13,6243324;47,2634773;6,1358004;12,8890629;57,0588417;42,0087929;7,4288611;41,4567223;4,4138117;8,9562712;"  19042.4882812";"    120.4257355";"     39.9622574";"     10.7296524";"     26.7115936";"      3.6106846";"      7.5447583";"     32.1203308";"     30.4985867";"      4.9659801";"     19.8875542";"      2.2046745";"      4.4500356";" 175223.6875000";"    131.1959991";"    138.5921936";"     19.7320557";"     90.3196259";"     11.6163464";"     18.7240505";NA;"    100.2719498";"     26.1044064";"      7.4630985";"     35.3966675";"      6.1161151";"      9.9262104";"     42.0168266";"     66.0848236";"      7.3372140";"     28.9753551";"      4.9978590";"      5.3177443";1337469,6875;86363,632812;2674939,375
"34";181,4167633;46,730526;13,6262741;47,2699623;6,1360669;12,7896357;57,7083664;42,533493;7,5213723;41,9727516;4,4683337;8,9965706;"  19146.0390625";"    120.3811111";"     39.9658623";"     10.7306013";"     26.7146931";"      3.6108274";"      7.5184903";"     32.2830353";"     30.6672001";"      4.9934258";"     19.9980183";"      2.2167506";"      4.4586573";" 177213.1250000";"    132.4758453";"    140.0921478";"     19.9413166";"     91.2986450";"     11.7433023";"     18.7962933";NA;"    100.0784302";"     26.0638084";"      7.4513040";"     35.3428154";"      6.1061487";"      9.8801622";"     42.4844437";"     66.8914566";"      7.4265175";"     29.3278790";"      5.0582170";"      5.3410654";1353567,1875;86192,695312;2707134,375
"35";181,366745;46,7381248;13,6280355;47,2758446;6,1331859;12,7123203;58,3438339;43,0207062;7,607275;42,4519272;4,5166616;9,0431461;"  19242.1933594";"    120.3701553";"     39.9691811";"     10.7314739";"     26.7175388";"      3.6101332";"      7.4976377";"     32.4422112";"     30.8237743";"      5.0189118";"     20.1005955";"      2.2274554";"      4.4686208";" 179060.4687500";"    133.7279968";"    141.4849548";"     20.1356297";"     92.2077484";"     11.8558331";"     18.8797874";NA;"     99.4617538";"     25.9083958";"      7.4066038";"     35.1337967";"      6.0672054";"      9.7831488";"     42.9419403";"     67.6404724";"      7.5094414";"     29.6552219";"      5.1117172";"      5.3680201";1368514,84375;85626,132812;2737029,6875
"36";181,3670197;46,7331009;13,6280632;47,2726593;6,1329789;12,7125177;58,3541069;43,0235901;7,6086183;42,4564781;4,5172982;9,0448647;"  19245.8925781";"    120.3704910";"     39.9644547";"     10.7315063";"     26.7155895";"      3.6096675";"      7.4977140";"     32.4485359";"     30.8260536";"      5.0198922";"     20.1029911";"      2.2275963";"      4.4695253";" 179091.5625000";"    133.7519684";"    141.4945374";"     20.1392498";"     92.2177963";"     11.8573160";"     18.8834057";NA;"     96.9907227";"     25.0423660";"      7.2216792";"     34.0718079";"      5.8596816";"      9.5452938";"     42.9493332";"     67.6449051";"      7.5107388";"     29.6583271";"      5.1124210";"      5.3690147";1368748,59375;83390,878906;2737497,1875
