"";"YEAR";"Month";"DW_F";"N_F";"Ca_F";"Mg_F";"K_F";"S_F";"P_F";"DW_Brk";"N_Brk";"Ca_Brk";"Mg_Brk";"K_Brk";"S_Brk";"P_Brk";"DW_Brh";"Ca_Brh";"Mg_Brh";"K_Brh";"S_Brh";"P_Brh";"DW_Bol";"N_Bol";"Ca_Bol";"Mg_Bol";"K_Bol";"S_Bol";"P_Bol"
"13";2005;11;8969,0390625;114,6794891;29,7602654;8,463273;40,6406937;6,8923459;11,7151012;19870,8945312;50,8939705;37,7574806;6,657146;37,1341248;3,9398019;8,5188608;17657,2128906;28,7521267;4,6800447;18,8363628;2,0678363;4,3184299;119164,15625;37,6924782;59,712204;6,6108165;26,0960312;4,4866862;5,0715108
"14";2005;12;9006,8154297;115,1625061;29,8856068;8,4989166;40,8118629;6,9213758;11,7644415;19880,8691406;50,9195137;37,776432;6,6604877;37,1527672;3,9417794;8,5231361;17661,9199219;28,7597923;4,6812921;18,8413849;2,0683875;4,319581;119217,953125;37,7094955;59,739151;6,6138005;26,1078129;4,4887118;5,0738006
"15";2006;1;9290,5097656;118,7898788;30,8269424;8,7666149;42,0973434;7,1393828;12,1349955;19890,9550781;50,9453468;37,7955971;6,663866;37,1716156;3,943779;8,5274611;17666,1796875;28,7667274;4,6824207;18,8459282;2,0688863;4,3206224;119274,65625;37,7274323;59,7675743;6,6169462;26,1202297;4,4908466;5,0762138
"16";2006;2;9287,3154297;118,7490234;30,8163376;8,7636003;42,0828743;7,1369281;12,1308212;19901,0429688;50,9711838;37,8147659;6,6672459;37,190464;3,9457786;8,531785;17670,4375;28,7736626;4,6835494;18,8504734;2,0693848;4,3216643;119331,3671875;37,745369;59,79599;6,6200914;26,1326485;4,4929819;5,0786266
"17";2006;3;9287,015625;118,7451935;30,8153439;8,763319;42,0815125;7,1366978;12,1304312;19921,2148438;51,0228462;37,853096;6,6740041;37,2281609;3,9497783;8,5404329;17678,9550781;28,7875309;4,6858072;18,8595581;2,0703824;4,3237472;119444,7734375;37,7812462;59,8528175;6,6263838;26,1574821;4,4972515;5,0834537
"18";2006;4;9293,8046875;118,8320084;30,8378716;8,7697248;42,1122742;7,1419144;12,1392994;20173,3671875;51,6686745;38,3322258;6,7584801;37,699379;3,9997728;8,6485329;17785,4199219;28,9608936;4,7140255;18,9731312;2,0828507;4,3497858;120862,4296875;38,22966;60,5631981;6,7050304;26,4679394;4,5506287;5,1437883
"19";2006;5;9281,1914062;118,6707382;30,7960205;8,757823;42,0551224;7,1322222;12,1228247;20677,6738281;52,9603157;39,2904739;6,9274321;38,6418114;4,0997615;8,8647356;17998,3496094;29,3076172;4,7704625;19,2002811;2,1077867;4,4018617;123697,75;39,1264954;61,9839592;6,8623252;27,0888538;4,657382;5,2644563
"20";2006;6;9282,5888672;118,6886063;30,8006573;8,7591419;42,0614548;7,1332955;12,124651;21000,4296875;53,7869682;39,9037552;7,0355625;39,2449646;4,163754;9,0031033;18134,625;29,5295238;4,8065825;19,3456573;2,1237459;4,4351907;125512,359375;39,70047;62,8932343;6,9629936;27,4862385;4,7257047;5,3416843
"21";2006;7;9288,7792969;118,7677536;30,8211994;8,7649841;42,0895042;7,1380525;12,1327372;21323,1855469;54,6136208;40,5170364;7,143692;39,8481216;4,227747;9,1414728;18270,8984375;29,7514248;4,8427019;19,4910336;2,1397047;4,4685192;127326,96875;40,2744408;63,8025208;7,0636611;27,8836231;4,7940269;5,4189119
"22";2006;8;9280,5253906;118,6622314;30,7938099;8,7571945;42,0521049;7,1317096;12,1219559;21605,5976562;55,3369408;41,0536613;7,2383051;40,3758812;4,2837405;9,2625446;18390,1386719;29,945591;4,8743067;19,6182365;2,1536691;4,4976816;128914,7578125;40,7766724;64,5981445;7,1517458;28,2313366;4,8538089;5,486486
"23";2006;9;9253,1699219;118,3124542;30,703043;8,7313824;41,928154;7,1106882;12,0862236;21867,8359375;56,0085945;41,5519485;7,3261604;40,8659439;4,3357348;9,3749695;18500,8613281;30,1258869;4,9036541;19,7363529;2,1666358;4,5247617;130389,125;41,2430229;65,336937;7,2335396;28,5542126;4,9093208;5,5492334
"24";2006;10;9145,2441406;116,9324875;30,3449306;8,6295424;41,4391174;7,0277514;11,9452553;21877,921875;56,0344315;41,5711174;7,3295393;40,8847961;4,3377342;9,3792944;18505,1210938;30,1328201;4,9047828;19,7408962;2,1671343;4,5258031;130445,828125;41,2609596;65,3653564;7,2366858;28,5666294;4,9114561;5,5516462
"25";2006;11;9244,6835938;118,203949;30,674881;8,7233753;41,889698;7,104167;12,07514;21888,0078125;56,0602608;41,5902786;7,3329177;40,9036446;4,3397346;9,3836184;18509,3789062;30,1397572;4,9059119;19,7454395;2,1676331;4,526845;130502,5390625;41,2788963;65,3937759;7,2398319;28,5790443;4,9135909;5,5540595
"26";2006;12;9283,6210938;118,7017975;30,8040791;8,7601147;42,0661278;7,134088;12,1259985;21898,09375;56,0860939;41,6094475;7,3362975;40,9224968;4,3417335;9,3879414;18513,6386719;30,1466923;4,9070401;19,7499828;2,1681318;4,5278859;130559,25;41,296833;65,4221878;7,2429781;28,5914612;4,9157257;5,5564728
"27";2007;1;9524,9033203;121,7868729;31,6046791;8,9877911;43,1594276;7,3195038;12,350544;21907,953125;56,1113586;41,6281853;7,339601;40,9409294;4,343689;9,3910322;18517,3378906;30,1527119;4,9080205;19,7539291;2,1685648;4,5285468;130616,734375;41,3150253;65,4509964;7,2461672;28,6040535;4,9178905;5,5582609
"28";2007;2;9521,6269531;121,7449951;31,593811;8,9847002;43,1445847;7,3169866;12,3464575;21917,8144531;56,1366119;41,6469269;7,342905;40,9593582;4,345644;9,3952599;18521,0371094;30,1587334;4,9090009;19,7578735;2,168998;4,5294514;130674,2265625;41,33321;65,479805;7,2493572;28,6166439;4,9200554;5,5607076
"29";2007;3;9521,3203125;121,741066;31,5927925;8,9844103;43,1431961;7,3167505;12,3462496;21937,5390625;56,1871338;41,6844101;7,3495131;40,9962158;4,3495545;9,4037161;18528,4335938;30,1707802;4,9109612;19,7657623;2,1698642;4,5312605;130789,2109375;41,3695755;65,5374146;7,2557349;28,6418228;4,9243841;5,5656013
"30";2007;4;9528,2802734;121,8300705;31,6158829;8,9909782;43,1747322;7,3220997;12,3554697;22184,0898438;56,8186073;42,1528893;7,4321117;41,4569626;4,3984389;9,5094147;18620,8886719;30,321331;4,9354663;19,8643932;2,1806917;4,5538721;132226,484375;41,8241959;66,2576294;7,3354702;28,9565735;4,9784999;5,6267705
"31";2007;5;9515,3496094;121,6647263;31,5729771;8,9787769;43,1161385;7,3121629;12,3388281;22677,1875;58,0815468;43,0898438;7,5973096;42,3784523;4,4962058;9,7208118;18805,8007812;30,6224308;4,984478;20,0616531;2,202347;4,5990963;135101,03125;42,7334366;67,6980438;7,4949403;29,5860767;5,0867295;5,7491088
"32";2007;6;9516,7832031;121,6830673;31,577734;8,9801283;43,1226349;7,3132639;12,331625;22992,7714844;58,8898315;43,6894989;7,7030363;42,9682007;4,5587769;9,819541;18924,1445312;30,8151417;5,0158448;20,1879005;2,2162061;4,6202168;136940,734375;43,3153496;68,6198959;7,5970011;29,9889584;5,1559973;5,8062444
"33";2007;7;9523,1289062;121,7642059;31,5987892;8,9861164;43,1513824;7,31814;12,3156309;23308,3554688;59,6981087;44,2891464;7,8087635;43,5579567;4,6213474;9,853261;19042,4882812;31,0078468;5,0472121;20,314146;2,2300653;4,6274314;138780,4375;43,8972664;69,5417633;7,6990614;30,3918381;5,2252641;5,8257589
"34";2007;8;9514,6669922;121,6560059;31,570713;8,9781303;43,1130447;7,3116379;12,2886019;23584,4902344;60,4053535;44,8138466;7,9012747;44,0739899;4,6760979;9,8921375;19146,0390625;31,1764603;5,0746584;20,424614;2,242192;4,6357474;140390,1875;44,4064407;70,3483963;7,7883654;30,74436;5,2858734;5,8482561
"35";2007;9;9486,6210938;121,2974167;31,4776535;8,9516659;42,9859657;7,2900853;12,2304945;23840,9003906;61,062088;45,3010635;7,9871778;44,5531616;4,7269359;9,9325399;19242,1933594;31,3330364;5,1001439;20,5271873;2,2534525;4,6443901;141884,953125;44,8792458;71,0974045;7,8712897;31,071703;5,3421531;5,8716373
"36";2007;10;9375,9726562;119,8826447;31,110508;8,8472567;42,4845886;7,2050567;12,0887604;23850,7617188;61,0873451;45,3198013;7,9904814;44,5715981;4,7288909;9,9367666;19245,8925781;31,339056;5,1011243;20,5311337;2,2538855;4,6452947;141942,4375;44,8974342;71,1262131;7,8744783;31,0842934;5,3443174;5,8740845
"37";2007;11;9477,9208984;121,1861725;31,448782;8,9434566;42,946537;7,2833996;12,1410236;23860,6230469;61,1126137;45,3385391;7,9937854;44,5900269;4,7308459;9,9393845;19249,5917969;31,3450775;5,1021047;20,535078;2,2543187;4,6458549;141999,9375;44,9156189;71,1550293;7,8776684;31,0968857;5,3464823;5,8755989
"38";2007;12;9517,8398438;121,6965866;31,5812359;8,9811249;43,1274223;7,3140764;12,1344433;23870,484375;61,1378708;45,3572807;7,9970889;44,6084557;4,7328014;9,9405985;19253,2890625;31,3510971;5,1030846;20,5390244;2,2547517;4,6461148;142057,421875;44,9338074;71,1838303;7,880857;31,1094742;5,3486466;5,8763018
"39";2008;1;9737,9882812;124,5114365;32,3117142;9,188859;44,1249619;7,4832516;12,1336689;23880,1210938;61,1625633;45,3755951;8,0003185;44,6264648;4,7347121;9,9408751;19256,8769531;31,3569393;5,1040349;20,5428486;2,2551715;4,6461735;142116,265625;44,9524193;71,2133102;7,8841214;31,1223602;5,3508615;5,8764691
"40";2008;2;9734,6396484;124,4686127;32,300602;9,1856976;44,109787;7,4806781;12,1305332;23889,7617188;61,1872444;45,3939056;8,0035467;44,6444778;4,7366223;9,9450073;19260,4628906;31,3627777;5,1049852;20,5466747;2,2555916;4,6470504;142175,09375;44,9710274;71,2427902;7,8873858;31,1352444;5,3530765;5,878973
"41";2008;3;9734,3251953;124,464592;32,2995605;9,1854019;44,1083641;7,4804378;12,1313782;23909,0351562;61,2366142;45,4305382;8,010005;44,6804962;4,7404447;9,9532709;19267,6347656;31,3744583;5,1068869;20,554327;2,2564316;4,6488047;142292,78125;45,0082512;71,3017578;7,8939137;31,1610126;5,3575068;5,8839808
"42";2008;4;9741,4414062;124,5555878;32,3231697;9,1921167;44,1406059;7,4859056;12,1414986;24149,9824219;61,8537331;45,8883667;8,0907269;45,1307678;4,7882166;10,0565681;19357,2890625;31,5204449;5,1306496;20,6499672;2,2669311;4,6707315;143763,65625;45,4735031;72,0388107;7,9755144;31,4831276;5,4128876;5,9465809
"43";2008;5;9728,2216797;124,3865662;32,2793045;9,1796417;44,0807037;7,4757466;12,125844;24631,875;63,0879745;46,8040276;8,2521706;46,0313187;4,8837609;10,2631607;19536,5996094;31,8124218;5,1781754;20,8412514;2,2879298;4,7145848;146705,453125;46,4040108;73,5129242;8,1387148;32,1273537;5,5236502;6,0717802
"44";2008;6;9729,6865234;124,4053116;32,2841682;9,1810226;44,0873451;7,4768729;12,1292801;24940,2851562;63,8778839;47,390049;8,3554955;46,607666;4,94491;10,3953791;19651,3554688;31,9992886;5,2085919;20,9636726;2,3013692;4,742651;148588,1875;46,9995384;74,4563446;8,2431622;32,5396614;5,5945373;6,1519074
"45";2008;7;9736,1738281;124,4882584;32,3056946;9,1871452;44,1167412;7,4818587;12,121294;25248,6953125;64,6678009;47,9760742;8,4588184;47,1840172;5,0060587;10,4578114;19766,1132812;32,1861534;5,2390079;21,086092;2,3148084;4,7559037;150470,9375;47,5950699;75,3997726;8,3476095;32,9519691;5,6654248;6,1897421
"46";2008;8;9727,5234375;124,3776474;32,276989;9,1789827;44,0775414;7,4752107;12,0975075;25518,5566406;65,3589783;48,4888496;8,5492268;47,6883163;5,0595636;10,5074854;19866,5253906;32,3496628;5,2656226;21,1932106;2,3265676;4,766448;152118,34375;48,1161537;76,2252808;8,439003;33,3127365;5,7274518;6,2198462
"47";2008;9;9698,8496094;124,0110245;32,1818504;9,151926;43,9476166;7,4531765;12,0448112;25769,140625;66,0007782;48,9649887;8,6331778;48,1566048;5,1092472;10,5589514;19959,7675781;32,5014954;5,2903361;21,2926769;2,337487;4,7773733;153648,0625;48,6000175;76,991806;8,5238667;33,6477356;5,785048;6,2510362
"48";2008;10;9585,7265625;122,564621;31,8064861;9,0451813;43,4350281;7,3662457;11,9078875;25778,7792969;66,0254593;48,9833069;8,6364059;48,1746101;5,1111579;10,5630836;19963,3535156;32,5073318;5,2912865;21,2965031;2,3379068;4,7782507;153706,90625;48,6186256;77,0212936;8,5271311;33,6606178;5,7872629;6,25354
"49";2008;11;9689,9550781;123,8973083;32,1523285;9,1435318;43,9073029;7,446341;11,9575605;25788,4179688;66,0501556;49,0016212;8,6396351;48,1926193;5,1130691;10,5655146;19966,9394531;32,5131721;5,2922368;21,3003273;2,3383269;4,7787662;153765,75;48,6372375;77,0507736;8,5303955;33,6735001;5,7894783;6,255013
"50";2008;12;9730,7675781;124,4191513;32,2877541;9,1820431;44,0922394;7,4777045;11,951231;25798,0566406;66,0748367;49,0199318;8,6428642;48,2106361;5,1149802;10,5666647;19970,5253906;32,5190125;5,2931871;21,3041534;2,3387468;4,7790108;153824,578125;48,6558495;77,0802612;8,533659;33,6863861;5,7916932;6,2557101
"51";2009;1;9908,4560547;126,3284531;32,877346;9,3497124;44,897377;7,6142507;11,9505081;25807,8085938;66,0961761;49,038456;8,6461306;48,2288551;5,1169128;10,5669994;19973,7753906;32,5243034;5,2940488;21,307621;2,3391275;4,7790742;153885,4375;48,6722984;77,1107483;8,537035;33,6997147;5,7939839;6,255918
"52";2009;2;9905,0488281;126,2185593;32,8660393;9,3464975;44,8819351;7,6116319;11,9481535;25816,3476562;66,1136703;49,0546913;8,6489916;48,244812;5,1186061;10,5706606;19977,0253906;32,5295944;5,2949104;21,3110886;2,3395081;4,7798691;153938,734375;48,6857834;77,1374588;8,5399933;33,7113838;5,7959905;6,2581868
"53";2009;3;9904,7294922;126,1375046;32,864975;9,3461952;44,8804855;7,6113858;11,9498606;25833,6289062;66,1490784;49,0875282;8,6547813;48,2771072;5,1220322;10,5780697;19983,5253906;32,5401802;5,2966332;21,3180218;2,3402693;4,7814593;154046,59375;48,7130737;77,1915054;8,5459766;33,7350082;5,8000512;6,2627769
"54";2009;4;9911,9707031;126,2308197;32,8889999;9,3530283;44,9132996;7,61695;11,9607162;26077,375;66,7733765;49,5506821;8,7364416;48,7326164;5,1703606;10,6825666;20064,7734375;32,6724777;5,3181677;21,4046955;2,3497841;4,8013301;155567,921875;49,1942825;77,9538269;8,630374;34,0681648;5,8573308;6,3275228
"55";2009;5;9898,5175781;125,9937057;32,8443642;9,3403349;44,8523445;7,6066122;11,9458771;26460,6289062;67,5586624;50,2789268;8,8648386;49,4488297;5,2463484;10,8468714;20227,2734375;32,9370842;5,361238;21,5780487;2,3688145;4,8410726;157959,96875;49,7995758;79,1524658;8,7630758;34,5919991;5,9473944;6,4293261
"56";2009;6;9900,0087891;125,8550491;32,8493156;9,3417416;44,8590927;7,607758;11,9504023;26673,6152344;67,9950638;50,6836243;8,9361944;49,8468552;5,2885771;10,9381819;20331,2714844;33,1064339;5,388803;21,6889915;2,3809938;4,8665075;159289,28125;50,1359596;79,818573;8,8368235;34,8831139;5,9974456;6,4859009
"57";2009;7;9906,6103516;125,7060471;32,8712196;9,347971;44,8890076;7,6128311;11,9431372;26787,75;68,22892;50,9004974;8,974431;50,0601463;5,3112063;10,9614248;20435,2714844;33,2757797;5,4163675;21,7999363;2,3931735;4,8785896;160001,625;50,3162117;80,1755295;8,8763418;35,0391121;6,0242662;6,5003018
"58";2009;8;9897,8085938;125,3899307;32,8420143;9,3396635;44,8491211;7,6060667;11,9169531;26844,6054688;68,3454132;51,0085258;8,9934778;50,1663971;5,3224788;10,9689102;20526,2695312;33,4239578;5,4404869;21,8970146;2,4038303;4,8854256;160356,484375;50,406002;80,3533478;8,8960266;35,1168251;6,0376267;6,50494
"59";2009;9;9868,6328125;124,7786331;32,7452087;9,3121347;44,7169189;7,5836463;11,8651266;26945,0488281;68,5512238;51,1993866;9,0271301;50,3541031;5,3423944;10,9889774;20610,7695312;33,5615578;5,4628839;21,987154;2,4137259;4,8950562;160983,40625;50,5646439;80,6674881;8,9308062;35,2541161;6,0612307;6,5173736
"60";2009;10;9753,5283203;123,3312836;32,3632812;9,2035208;44,1953545;7,4951925;11,7325945;26954,8007812;68,5761871;51,2179146;9,0303955;50,3723297;5,3443274;10,9931583;20614,0195312;33,5668488;5,4637456;21,9906216;2,4141064;4,8958511;161044,25;50,5838928;80,6979752;8,9341822;35,2674408;6,0635219;6,5199633
"61";2009;11;9859,5820312;123,2295761;32,7151794;9,3035936;44,6759071;7,5766897;11,7803192;26958,8261719;68,5844345;51,2255707;9,031745;50,3798599;5,3451266;10,9941311;20617,2675781;33,5721436;5,4646068;21,9940872;2,4144874;4,8962994;161069,390625;50,5902519;80,7105713;8,9355774;35,2729454;6,0644679;6,5205674
"62";2009;12;9901,109375;123,1208954;32,8529663;9,3427782;44,8640747;7,6086016;11,7742939;26961,7109375;68,5903473;51,2310524;9,032711;50,3852463;5,3456984;10,9944696;20620,5175781;33,5774345;5,4654684;21,9975586;2,4148679;4,8965154;161087,390625;50,5948029;80,7195892;8,9365768;35,2768898;6,0651464;6,5207763
"63";2010;1;10078,9238281;123,0703506;33,4429779;9,5105677;45,669796;7,7452459;11,7736788;26962,5195312;68,5920105;51,2325859;9,0329809;50,3867569;5,3458591;10,9944973;20623,5429688;33,5823631;5,46627;22,0007858;2,4152222;4,8965745;161092,578125;50,5961151;80,7221909;8,9368649;35,2780266;6,0653415;6,5207939
"64";2010;2;10075,4580078;122,9653168;33,4314804;9,5072966;45,6540909;7,7425823;11,7720938;26970,7109375;68,6088028;51,2481537;9,0357265;50,4020653;5,3474827;10,9980087;20626,5664062;33,5872917;5,4670725;22,0040131;2,4155765;4,8973145;161145,15625;50,6094246;80,7485352;8,9397821;35,2895432;6,0673213;6,5230312
"65";2010;3;10075,1328125;122,8899689;33,4304008;9,5069895;45,6526184;7,7423325;11,7746468;26987,3925781;68,6429749;51,2798462;9,0413151;50,4332466;5,3507905;11,0051603;20632,6191406;33,5971451;5,4686766;22,0104675;2,416285;4,8987947;161252,21875;50,6365204;80,8021851;8,9457207;35,3129883;6,0713525;6,5275884
"66";2010;4;10082,4990234;122,9925385;33,4548378;9,5139408;45,6859894;7,747993;11,7862291;27228,3398438;69,2600937;51,7376785;9,1220369;50,8835106;5,3985624;11,1084566;20708,265625;33,7203217;5,4887257;22,0911674;2,425144;4,9172955;162798,765625;51,1256981;81,5771561;9,031518;35,6516685;6,1295819;6,5934081
"67";2010;5;10068,8154297;122,7633438;33,4094391;9,5010281;45,6239891;7,7374773;11,7721882;27597,2441406;70,0159836;52,4386444;9,2456264;51,5729103;5,471705;11,2666111;20859,5585938;33,9666786;5,5288262;22,2525635;2,4428618;4,9542971;165166,625;51,7248764;82,7636566;9,1628771;36,170208;6,2187347;6,6941814
"68";2010;6;10070,3310547;122,679512;33,4144707;9,5024595;45,630867;7,7386427;11,7777843;27854,3007812;70,5426941;52,9270935;9,3317461;52,053299;5,5226722;11,3768148;20956,3847656;34,1243477;5,5544901;22,3558559;2,4542012;4,9779782;166816,578125;52,1423912;83,5904465;9,2544117;36,5315361;6,2808576;6,7644014
"69";2010;7;10077,046875;122,5985489;33,4367523;9,5087957;45,6613007;7,743804;11,7892485;28035,8183594;70,9146118;53,2719917;9,3925571;52,3925018;5,5586615;11,4546318;21053,2109375;34,2820206;5,5801544;22,4591484;2,4655406;5,0016594;167981,65625;52,4372063;84,1742554;9,3190451;36,7866821;6,3247237;6,8139868
"70";2010;8;10068,09375;122,3009109;33,4070435;9,5003471;45,6207275;7,7369232;11,7651482;28103,9609375;71,0542297;53,4014778;9,4153862;52,5198479;5,5721722;11,4653244;21137,9335938;34,4199753;5,6026106;22,54953;2,4754624;5,009243;168419,046875;52,5478859;84,393425;9,3433104;36,8824654;6,3411913;6,8207998
"71";2010;9;10038,4160156;121,7476044;33,3085709;9,4723434;45,4862518;7,7141166;11,7159252;28236,0253906;71,3248291;53,6524239;9,459631;52,7666512;5,5983567;11,4938889;21216,6054688;34,5480843;5,6234627;22,6334534;2,4846756;5,01895;169266,71875;52,7623825;84,8181839;9,390336;37,0681;6,3731079;6,8390007
"72";2010;10;9921,3310547;120,3653259;32,9200706;9,3618612;44,955719;7,6241422;11,5872526;28245,6640625;71,3495178;53,6707306;9,4628611;52,7846603;5,6002674;11,4980202;21219,6308594;34,5530128;5,6242642;22,6366806;2,4850297;5,0196905;169328,578125;52,7819519;84,8491898;9,3937693;37,081646;6,3754363;6,8416328
"73";2010;11;10029,2089844;120,2440948;33,2780228;9,4636564;45,4445381;7,7070422;11,6342163;28249,3652344;71,3570938;53,6777649;9,4640999;52,7915726;5,6010013;11,498888;21222,65625;34,5579414;5,6250658;22,6399136;2,4853842;5,0200953;169352,328125;52,7879601;84,861084;9,3950853;37,0868492;6,3763313;6,8421865
"74";2010;12;10071,4511719;120,1397934;33,4181862;9,5035162;45,6359444;7,7395034;11,6283817;28252,1269531;71,3627625;53,6830101;9,4650249;52,79673;5,6015482;11,4992018;21225,6816406;34,5628662;5,6258678;22,6431408;2,4857385;5,0202913;169370,03125;52,7924461;84,8699722;9,3960676;37,0907249;6,3769979;6,8423862
"75";2011;1;10228,0839844;120,091011;33,9379158;9,6513166;46,3456802;7,859869;11,6277056;28252,9902344;71,3645325;53,6846542;9,4653139;52,7983437;5,6017203;11,4992352;21228,484375;34,5674286;5,6266103;22,6461277;2,4860668;5,0203514;169375,796875;52,7938957;84,8728485;9,3963871;37,0919838;6,3772144;6,8424077
"76";2011;2;10224,5664062;119,9902573;33,9262466;9,6479979;46,3297462;7,8571672;11,626771;28260,7714844;71,3804703;53,6994362;9,4679213;52,8128815;5,6032629;11,5025711;21231,2871094;34,571991;5,6273527;22,6491184;2,4863949;5,0210366;169427,578125;52,807003;84,8988037;9,3992596;37,1033287;6,3791642;6,8446116
"77";2011;3;10224,2363281;119,9198608;33,925148;9,647687;46,3282509;7,8569126;11,6300478;28276,703125;71,4131165;53,7297173;9,473259;52,842659;5,6064224;11,5094023;21236,890625;34,5811157;5,6288381;22,6550961;2,4870508;5,0224071;169533,609375;52,8338356;84,9519348;9,4051428;37,1265488;6,3831568;6,849124
"78";2011;4;10231,7109375;120,0307312;33,9499512;9,6547394;46,3621216;7,8626561;11,642252;28512,046875;72,0158844;54,1769028;9,552104;53,2824593;5,6530838;11,6102962;21306,9316406;34,6951714;5,6474028;22,7298164;2,4952538;5,0395374;171099,765625;53,3292198;85,7367172;9,4920273;37,4695244;6,4421244;6,9157777
"79";2011;5;10217,8242188;119,7912216;33,9038734;9,6416368;46,2991982;7,8519855;11,6288881;28808,1992188;72,6227036;54,7396317;9,6513214;53,8359032;5,7118025;11,7372599;21447,015625;34,923275;5,6845326;22,8792572;2,5116594;5,0737982;173070,59375;53,8279305;86,7242813;9,6013603;37,9011192;6,5163283;6,9996543
"80";2011;6;10219,3642578;119,708252;33,9089775;9,6430893;46,3061752;7,8531685;11,6337748;29048,4199219;73,1149139;55,1960793;9,731801;54,2848206;5,7594304;11,8357191;21536,6699219;35,0692635;5,7082958;22,9748974;2,5221586;5,0947614;174669,203125;54,2324524;87,5253448;9,6900463;38,2512054;6,576519;7,0647001
"81";2011;7;10226,1787109;119,5740509;33,931591;9,649519;46,3370552;7,8584051;11,6239338;29158,2207031;73,3398895;55,4047127;9,7685852;54,4900017;5,7812004;11,8530817;21626,3242188;35,2152519;5,7320585;23,0705395;2,5326579;5,1028485;175399,875;54,417347;87,8914719;9,7305822;38,4112206;6,6040297;7,07617
