"";"Year";"Month";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"70";2010;10;25814,8535156;64,2520218;47,8484955;8,4583578;47,1081924;5,0061212;9,5841408;2010-10-01
"71";2010;11;25814,8535156;64,2520218;47,8484955;8,4583578;47,1081924;5,0061212;9,5841408;2010-11-01
"72";2010;12;25814,8046875;64,2520142;47,8484955;8,4583578;47,1081161;5,0061212;9,5841398;2010-12-01
"73";2011;1;25814,7929688;64,2520142;47,8484955;8,4583578;47,1081047;5,0061212;9,5841398;2011-01-01
"74";2011;2;25814,7832031;64,2520142;47,8484955;8,4583578;47,1080894;5,0061212;9,5841398;2011-02-01
"75";2011;3;25814,7636719;64,2520142;47,8484955;8,4583578;47,1080627;5,0061207;9,5841398;2011-03-01
"76";2011;4;25825,7324219;64,2552948;47,8496628;8,4585066;47,1244621;5,0065513;9,5846825;2011-04-01
"77";2011;5;26028,7675781;64,6713181;48,0626068;8,4961662;47,3231697;5,0368977;9,6228619;2011-05-01
"78";2011;6;26266,2421875;65,1578979;48,5138435;8,5757256;47,7669601;5,0768003;9,678318;2011-06-01
"79";2011;7;26356,8984375;65,3436432;48,6861038;8,6060972;47,9363785;5,0947738;9,6897192;2011-07-01
"80";2011;8;26456,9609375;65,5486755;48,8762398;8,6396198;48,1233711;5,1146135;9,7038927;2011-08-01
"81";2011;9;26577,6347656;65,795929;49,1055336;8,680048;48,3488808;5,1385403;9,7239723;2011-09-01
"82";2011;10;26585,1015625;65,8138504;49,1197243;8,6825504;48,3628311;5,1397247;9,7271748;2011-10-01
"83";2011;11;26585,625;65,8140335;49,1197853;8,6826105;48,3629837;5,1398072;9,7272272;2011-11-01
"84";2011;12;26585,5644531;65,8140106;49,1197815;8,6826105;48,362896;5,1398067;9,7272243;2011-12-01
"85";2012;1;26585,5429688;65,8140106;49,1197815;8,6826105;48,3628654;5,1398067;9,7272234;2012-01-01
"86";2012;2;26585,5273438;65,8140106;49,1197815;8,6826105;48,3628426;5,1398067;9,7272224;2012-02-01
"87";2012;3;26585,4980469;65,814003;49,1197853;8,6826105;48,3628044;5,1398063;9,7272215;2012-03-01
"88";2012;4;26601,3378906;65,8213654;49,1221008;8,682929;48,3864861;5,1407399;9,7283907;2012-04-01
"89";2012;5;27012,6015625;66,6109085;49,7472687;8,8040619;49,033535;5,2222819;9,8670721;2012-05-01
"90";2012;6;27226,9746094;67,050148;50,1546097;8,8758812;49,4341469;5,2647853;9,9175119;2012-06-01
"91";2012;7;27327,484375;67,2561035;50,3455925;8,9095545;49,6219826;5,2847137;9,9320898;2012-07-01
"92";2012;8;27424,2382812;67,4543381;50,529438;8,941968;49,8027878;5,3038969;9,9458094;2012-08-01
"93";2012;9;27539,1816406;67,6898575;50,7478447;8,9804773;50,0175934;5,3266864;9,9641571;2012-09-01
"94";2012;10;27548,3710938;67,7106628;50,7653084;8,9835558;50,0347633;5,3285084;9,9680958;2012-10-01
"95";2012;11;27549,78125;67,711113;50,7656593;8,9837399;50,0352898;5,328732;9,9682226;2012-11-01
"96";2012;12;27549,75;67,7111053;50,7656593;8,9837399;50,035244;5,3287315;9,9682207;2012-12-01
"97";2013;1;27549,7246094;67,7110977;50,7656593;8,9837399;50,035202;5,3287315;9,9682198;2013-01-01
"98";2013;2;27549,7070312;67,7110977;50,7656593;8,9837399;50,0351791;5,3287315;9,9682198;2013-02-01
"99";2013;3;27549,6757812;67,7110901;50,7656593;8,9837399;50,0351257;5,3287311;9,9682178;2013-03-01
"100";2013;4;27567,6953125;67,7208481;50,768589;8,9841557;50,0620689;5,3299608;9,9697523;2013-04-01
"101";2013;5;27981,1054688;68,5489197;51,3970261;9,1085634;50,7265396;5,4119277;10,111536;2013-05-01
"102";2013;6;28183,5625;68,9637527;51,7817192;9,1763906;51,1048851;5,4520683;10,1537209;2013-06-01
