"";"Date";"V2";"Dry.weight";"Ca";"Mg";"K";"N";"P";"S";"V10";"V11";"V12";"V13";"V14";"V15"
"53";2009;5;27,5072212;756,6746216;82,7912979;38,8236732;98,5090408;20,3708344;31,5545769;"   2081.4016113";"    227.7358551";"    106.7931366";"    270.9710083";"     56.0345039";"     86.7978745"
"54";2009;6;26,01651;756,1759033;82,7912979;38,8236732;98,5090408;20,3708324;31,5606518;"   1967.3057861";"    215.3940582";"    101.0056458";"    256.2861328";"     52.9977951";"     82.1098022"
"55";2009;7;19,4147758;755,2114868;82,7912979;38,8236732;98,5090332;20,3708324;31,5725212;"   1466.2261963";"    160.7374420";"     75.3752899";"    191.2530823";"     39.5495148";"     61.2973404"
"56";2009;8;28,2170849;753,4439697;82,7912979;38,8236732;98,5090256;20,3708324;31,5540485;"   2125.9992676";"    233.6128998";"    109.5490875";"    277.9637451";"     57.4805489";"     89.0363235"
"57";2009;9;57,3924866;752,0463257;82,7912979;38,8236732;98,5090179;20,3708324;31,5096626;"   4316.1811523";"    475.1598511";"    222.8187256";"    565.3677368";"    116.9132767";"    180.8417969"
"58";2009;10;172,4969177;750,3238525;82,7913055;38,8236732;98,5090103;20,3708324;31,4572639;"  12942.8544922";"   1428.1243896";"    669.6963501";"   1699.2500000";"    351.3905640";"    542.6281128"
"59";2009;11;66,4432449;748,09552;82,7913132;38,8236732;98,5090103;20,3708305;31,448698;"   4970.5898438";"    550.0923462";"    257.9570923";"    654.5258789";"    135.3504181";"    208.9553680"
"60";2009;12;24,9162197;736,2884521;82,7913132;38,8236732;98,5090103;20,3708286;30,9879322;"   1834.5524902";"    206.2846527";"     96.7339172";"    245.4472198";"     50.7564049";"     77.2102127"
"61";2010;1;17,8714046;732,0649414;82,7913132;38,8236732;98,5090027;20,3708286;30,817482;"   1308.3028564";"    147.9597015";"     69.3833618";"    176.0494232";"     36.4055328";"     55.0751686"
"62";2010;2;21,3373737;720,5316772;82,7913055;38,8236732;98,5090027;20,3708286;30,3349819;"   1537.4252930";"    176.6548920";"     82.8395233";"    210.1923370";"     43.4659958";"     64.7268829"
"63";2010;3;21,6623077;717,881897;82,7913055;38,8236732;98,5090103;20,3708286;30,2549744;"   1555.0977783";"    179.3450623";"     84.1010284";"    213.3932343";"     44.1279144";"     65.5392532"
"64";2010;4;14,2971239;717,2126465;82,7913132;38,8236732;98,5090103;20,3708286;30,2667866;"   1025.4078369";"    118.3677673";"     55.5066872";"    140.8395538";"     29.1244259";"     43.2728004"
"65";2010;5;27,9804802;717,338623;82,7913132;38,8236732;98,5090103;20,3708286;30,2787533;"   2007.1479492";"    231.6540680";"    108.6305008";"    275.6329346";"     56.9985580";"     84.7214050"
"66";2010;6;26,4641209;716,9731445;82,7913132;38,8236732;98,5090103;20,3708286;30,2866364;"   1897.4063721";"    219.0999298";"    102.7434387";"    260.6954346";"     53.9096069";"     80.1509247"
"67";2010;7;19,7488041;716,4205933;82,7913208;38,8236732;98,5090179;20,3708286;30,3020382;"   1414.8449707";"    163.5029602";"     76.6721115";"    194.5435333";"     40.2299500";"     59.8429031"
"68";2010;8;28,7025566;715,4909668;82,7913208;38,8236732;98,5090256;20,3708286;30,3165684;"   2053.6420898";"    237.6322632";"    111.4338684";"    282.7460938";"     58.4694862";"     87.0163040"
"69";2010;9;58,379921;714,229248;82,7913208;38,8236732;98,5090332;20,3708286;30,2906017;"   4169.6645508";"    483.3350830";"    226.6522980";"    575.0949707";"    118.9247360";"    176.8363037"
"70";2010;10;175,4647064;712,8967285;82,7913208;38,8236732;98,5090332;20,3708286;30,2457027;"  12508.8212891";"   1452.6954346";"    681.2184448";"   1728.4858398";"    357.4361572";"    530.7053223"
"71";2010;11;67,5863953;710,829834;82,7913208;38,8236732;98,5090408;20,3708286;30,2436504;"   4804.2426758";"    559.5567017";"    262.3952332";"    665.7871094";"    137.6790924";"    204.4059448"
"72";2010;12;25,344902;699,6271973;82,7913208;38,8236771;98,5090408;20,3708305;29,8017254;"   1773.1982422";"    209.8337860";"     98.3982239";"    249.6701965";"     51.6296692";"     75.5321808"
"73";2011;1;18,1358681;695,630188;82,7913284;38,8236771;98,5090408;20,3708305;29,6383972;"   1261.5856934";"    150.1492615";"     70.4101105";"    178.6546936";"     36.9442711";"     53.7518082"
"74";2011;2;21,6531277;685,046936;82,7913284;38,8236771;98,5090408;20,3708305;29,1931229;"   1483.3408203";"    179.2691193";"     84.0654068";"    213.3028870";"     44.1092186";"     63.2122421"
