"";"Year";"Month";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"127";2015;7;10062,3671875;68,2585754;19,1785851;5,8009906;25,5410938;4,7801714;6,996635;2015-07-01
"128";2015;8;10042,4511719;67,9910965;19,2022648;5,8055334;25,5775356;4,7811351;6,9704485;2015-08-01
"129";2015;9;9976,4394531;67,4089127;19,1646538;5,7904077;25,5344639;4,7661591;6,9135661;2015-09-01
"130";2015;10;9716,0068359;65,9942398;18,8387814;5,6845927;25,1140461;4,6660051;6,8092942;2015-10-01
"131";2015;11;9955,9609375;65,537529;18,951622;5,7816873;25,0300102;4,6311674;6,7768049;2015-11-01
"132";2015;12;9899,5859375;65,1664276;18,8443108;5,7489491;24,8882771;4,6049438;6,7384315;2015-12-01
"133";2016;1;9859,5175781;64,9026642;18,7680359;5,7256794;24,7875443;4,5863047;6,7111573;2016-01-01
"134";2016;2;9811,6777344;64,5877457;18,6769714;5,6978974;24,6672707;4,5640516;6,6785932;2016-02-01
"135";2016;3;9763,1083984;64,2680283;18,5845184;5,6696925;24,5451641;4,5414591;6,645534;2016-03-01
"136";2016;4;10154,9287109;65,3499069;18,6575508;5,6826196;24,599947;4,6285701;6,7469773;2016-04-01
"137";2016;5;10124,2490234;65,2935104;18,6221333;5,6756992;24,567215;4,624547;6,739778;2016-05-01
"138";2016;6;10127,6484375;65,1431961;18,7206116;5,7014928;24,706728;4,6405406;6,723;2016-06-01
"139";2016;7;10142,7060547;65,0385361;18,8352661;5,7324567;24,8670292;4,6630607;6,7152619;2016-07-01
"140";2016;8;10122,6308594;64,7909317;18,8622684;5,7377615;24,9093056;4,6652269;6,6914792;2016-08-01
"141";2016;9;10056,0917969;64,2454376;18,8306961;5,7239814;24,8771019;4,6522908;6,6382208;2016-09-01
"142";2016;10;9793,5791016;62,924408;18,5210247;5,6216717;24,4865818;4,5553846;6,5437522;2016-10-01
"143";2016;11;10035,4501953;62,4921989;18,7114525;5,7329335;24,4632225;4,5217242;6,513113;2016-11-01
"144";2016;12;9978,625;62,1383438;18,6055012;5,7004709;24,3247013;4,4961209;6,476233;2016-12-01
"145";2017;1;9938,2392578;61,8868484;18,530201;5,6773992;24,2262535;4,4779234;6,4500222;2017-01-01
"146";2017;2;9890,0205078;61,5865898;18,4402924;5,6498537;24,1087112;4,4561973;6,4187269;2017-02-01
"147";2017;3;9841,0664062;61,2817421;18,34902;5,6218882;23,989378;4,4341402;6,3869562;2017-03-01
"148";2017;4;10235,3632812;62,376461;18,4236794;5,6351957;24,0467281;4,5220122;6,4894915;2017-04-01
"149";2017;5;10204,4414062;62,3397255;18,3911114;5,629178;24,0199413;4,5188394;6,4844804;2017-05-01
"150";2017;6;10207,8671875;62,3349648;18,4925785;5,6557088;24,1648808;4,5367093;6,4780178;2017-06-01
"151";2017;7;10223,0429688;62,2705269;18,6097755;5,6873131;24,3296566;4,5603271;6,4688878;2017-07-01
"152";2017;8;10202,8095703;62,0406227;18,6393623;5,6932311;24,3769073;4,5636201;6,4468856;2017-08-01
"153";2017;9;10135,7431641;61,5277214;18,6123238;5,6804976;24,3538208;4,5525465;6,3973556;2017-09-01
"154";2017;10;9871,1513672;60,2326012;18,3143921;5,5808082;23,9880295;4,4583106;6,3029909;2017-10-01
"155";2017;11;10114,9384766;59,8215408;18,5561543;5,7031417;24,0138378;4,4255958;6,2739286;2017-11-01
"156";2017;12;10057,6630859;59,482811;18,4510803;5,6708479;23,877861;4,4005361;6,2384024;2017-12-01
"157";2018;1;10017,0390625;59,2425499;18,3765545;5,6479421;23,781414;4,3827615;6,2132044;2018-01-01
"158";2018;2;9968,5361328;58,9556961;18,2875748;5,620595;23,6662655;4,3615398;6,1831198;2018-02-01
"159";2018;3;9919,2949219;58,6644745;18,1972408;5,5928311;23,5493603;4,3399954;6,1525779;2018-03-01
"160";2018;4;10295,6894531;59,7621994;18,2704811;5,6060324;23,6071758;4,4276004;6,2550526;2018-04-01
"161";2018;5;10264,5859375;59,5959396;18,2398357;5,6005878;23,5848751;4,4251561;6,2519197;2018-05-01
"162";2018;6;10268,0332031;59,5915184;18,3434124;5,6276345;23,7340298;4,4443955;6,2401953;2018-06-01
"163";2018;7;10283,2988281;59,5393219;18,4624195;5,6596918;23,9022655;4,4688787;6,231575;2018-07-01
