"";"Month";"Year";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"69";9;2010;200326,25;144,6425781;155,3765564;22,0865993;101,2022705;13,0047474;19,8223896;2010-09-01
"70";10;2010;200372,71875;144,674469;155,4042664;22,0914478;101,2246933;13,0069809;19,8272381;2010-10-01
"71";11;2010;200375,75;144,6751862;155,4042664;22,09165;101,2248459;13,0069971;19,8274307;2010-11-01
"72";12;2010;200378,40625;144,6753998;155,4042664;22,09165;101,2247009;13,0070038;19,8274612;2010-12-01
"73";1;2011;200381,09375;144,6755066;155,4042664;22,09165;101,2246552;13,0070057;19,8274803;2011-01-01
"74";2;2011;200383,84375;144,6756134;155,4042664;22,09165;101,2246323;13,0070143;19,8275013;2011-02-01
"75";3;2011;200389,3125;144,6759033;155,4042664;22,09165;101,2245865;13,0070448;19,8275604;2011-03-01
"76";4;2011;200542,1875;144,6958008;155,4137573;22,0926971;101,2561188;13,009594;19,8303852;2011-04-01
"77";5;2011;202181,640625;145,5067596;156,0941315;22,1869946;101,6636124;13,0858669;19,9045677;2011-05-01
"78";6;2011;204075,46875;146,4826202;157,4739532;22,3767357;102,5432129;13,1833487;20,0065231;2011-06-01
"79";7;2011;204942,5;146,9030609;158,1515198;22,4720097;102,9766159;13,2394257;20,0339241;2011-07-01
"80";8;2011;205771,65625;147,3091278;158,7926331;22,5618687;103,3864899;13,2926311;20,0630188;2011-08-01
"81";9;2011;206748,203125;147,7978821;159,5292664;22,6643105;103,8568726;13,354147;20,1017685;2011-09-01
"82";10;2011;206803,53125;147,8319244;159,5697479;22,6698837;103,8826904;13,3568048;20,1073437;2011-10-01
"83";11;2011;206809,28125;147,8327942;159,5715027;22,6702061;103,8832169;13,3568268;20,1075535;2011-11-01
"84";12;2011;206811,625;147,8331146;159,5715027;22,6702061;103,883049;13,3568363;20,1076069;2011-12-01
"85";1;2012;206814,1875;147,8332672;159,5715027;22,6702061;103,882988;13,356843;20,1076298;2012-01-01
"86";2;2012;206816,796875;147,8334351;159,5715027;22,6702061;103,8829575;13,3568516;20,1076565;2012-02-01
