"";"Ca_L1";"Mg_L1";"K_L1";"Na_L1";"Al_L1";"Si_L1";"P_L1";"Ca_L2";"Mg_L2";"K_L2";"Na_L2";"Al_L2";"Si_L2";"P_L2";"Ca_L3";"Mg_L3";"K_L3";"Na_L3";"Al_L3";"Si_L3";"P_L3";"Ca_L4";"Mg_L4";"K_L4";"Na_L4";"Al_L4";"Si_L4";"P_L4";"Ca_L5";"Mg_L5";"K_L5";"Na_L5";"Al_L5";"Si_L5";"P_L5";"Ca_L6";"Mg_L6";"K_L6";"Na_L6";"Al_L6";"Si_L6";"P_L6";"Ca_L7";"Mg_L7";"K_L7";"Na_L7";"Al_L7";"Si_L7";"P_L7";"Ca_L8";"Mg_L8";"K_L8";"Na_L8";"Al_L8";"Si_L8";"P_L8";"Date";"Total_Ca"
"24";0,0222607;0,0175839;0,0053803;0,0098089;0,0799747;0,1514078;0;0,0145737;0,0091395;0,0022758;0,0051143;0,0361887;0,0840683;0;0,0199852;0,0122922;0,0030359;0,0071173;0,0492299;0,1143893;0;0,0980368;0,0550343;0,0050473;0,016476;0,1049582;0,461751;0;0,0887651;0,0513578;0,0057526;0,016076;0,1083059;0,4303013;0;0,080471;0,044264;0,0063829;0,0168085;0,1130824;0,3958344;0;0,0235908;0,0167955;0,0052434;0,0093891;0,0739649;0,1511279;0;0,0326986;0,0196548;0,0048759;0,0101634;0,0716428;0,1822269;0;2006-10-01;0,3803819
"25";0,1036647;0,0575954;0,0026786;0,0106103;0,0698503;0,4607008;0;0,0016339;0,0028778;0,0008228;0,0010729;0,0125672;0,0180583;0;0,0020209;0,0036272;0,0010323;0,0013168;0,0156998;0,0225639;0;0,0866126;0,0481916;0,0031634;0,0113107;0,0715158;0,3937775;0;0,0707713;0,0405017;0,0038414;0,0112786;0,0751657;0,3350545;0;0,0661487;0,035866;0,0041337;0,0116514;0,0776239;0,3142631;0;0,0514779;0,0296919;0,0047303;0,0119503;0,0800088;0,2612573;0;0,0241311;0,0144977;0,0034774;0,0073691;0,0518774;0,1336738;0;2006-11-01;0,4064611
"26";0,0874631;0,048481;0,0021831;0,0086683;0,0568735;0,3873509;0;0,0013739;0,0023002;0,0006562;0,0009171;0,0102588;0,0147436;0;0,0016989;0,0029002;0,0008234;0,0011252;0,0128121;0,0184187;0;0,0701262;0,0389138;0,0024439;0,0087809;0,0552675;0,3171179;0;0,0576721;0,0328442;0,0029482;0,0087464;0,0579939;0,2707602;0;0,0534425;0,0287886;0,0031865;0,0090491;0,0599857;0,2518915;0;0,042192;0,0242288;0,0036936;0,0094116;0,0628261;0,2121727;0;0,0193536;0,0116254;0,0026549;0,0056984;0,0401557;0,1061663;0;2006-12-01;0,3333223
"27";0,0793346;0,0443385;0,0023512;0,0089339;0,0588964;0,3564288;0;0,001376;0,0022994;0,0006554;0,0009178;0,0102532;0,014743;0;0,0017064;0,0029046;0,0008235;0,0011284;0,0128238;0,0184519;0;0,0659542;0,0365843;0,0023068;0,0082681;0,0519822;0,2982566;0;0,0542061;0,030842;0,0027855;0,0082448;0,0545845;0,2545186;0;0,0497131;0,026754;0,0030281;0,0085422;0,0565426;0,2347973;0;0,0350241;0,0201046;0,0031838;0,0079764;0,0533491;0,1770046;0;0,0171858;0,0102737;0,0022438;0,0048859;0,0343139;0,093252;0;2007-01-01;0,3045003
"28";0,0844009;0,0467765;0,0021197;0,0084245;0,0552066;0,3739555;0;0,0012844;0,0021653;0,0006175;0,0008545;0,0096213;0,0138326;0;0,0015869;0,0027281;0,0007744;0,0010477;0,0120082;0,0172684;0;0,0619409;0,0343705;0,0022032;0,007876;0,0495278;0,2805565;0;0,0512843;0,0291913;0,0026499;0,0078469;0,051958;0,2410029;0;0,046924;0,0252695;0,0028876;0,0081388;0,0538717;0,2219645;0;0,0323592;0,0185609;0,0028832;0,0072766;0,0485997;0,1630287;0;0,0151622;0,0091073;0,002024;0,004373;0,0308403;0,0827339;0;2007-02-01;0,2949428
"29";0,0764403;0,0434467;0,0032014;0,0111148;0,0737823;0,3552135;0;0,0015921;0,0027512;0,0007848;0,0010491;0,0120843;0,0173829;0;0,0019837;0,0034842;0,0009877;0,0012944;0,0151508;0,0218214;0;0,0692821;0,0385412;0,0028334;0,0097673;0,061527;0,3178438;0;0,0585726;0,033423;0,003384;0,0097375;0,0645381;0,2788015;0;0,052526;0,0284201;0,0037169;0,010077;0,06686;0,2530951;0;0,0301285;0,0175204;0,0033881;0,0078922;0,0537364;0,158106;0;0,0170207;0,0102558;0,0023164;0,0049705;0,0351482;0,0932989;0;2007-03-01;0,307546
"30";0,0846594;0,049353;0,0059578;0,0179961;0,12037;0,4201556;0;0,0021201;0,0039507;0,0011309;0,0013611;0,0168319;0,0242065;0;0,0026549;0,0050153;0,0014263;0,0016868;0,0211703;0,0304914;0;0,0776867;0,043414;0,00416;0,0134038;0,0847669;0,3667663;0;0,0636861;0,0366044;0,0050428;0,0133284;0,0888211;0,31603;0;0,0524984;0,0289772;0,0055856;0,0134118;0,0903358;0,2700985;0;0,0128751;0,0095639;0,0027755;0,0050475;0,0407349;0,0831032;0;0,0124632;0,0083444;0,0022809;0,0043858;0,0334236;0,0749599;0;2007-04-01;0,3086439
"31";0,0718263;0,0446486;0,0115927;0,0263975;0,1843343;0,417352;0;0,0029293;0,0058649;0,0016875;0,0018376;0,0243743;0,0349992;0;0,0036622;0,0073835;0,002114;0,0022755;0,0304799;0,0438453;0;0,1047006;0,0587478;0,006594;0,0205153;0,1302226;0,5048125;0;0,0854878;0,0495319;0,0079099;0,0200864;0,1347979;0,4352665;0;0,068746;0,0385257;0,0087512;0,0199463;0,1357943;0,3668121;0;0,0104994;0,0100135;0,0032015;0,0049762;0,0457408;0,0799905;0;0,0131959;0,0096427;0,002932;0,0052067;0,0417883;0,0851678;0;2007-05-01;0,3610475
"32";0,0242514;0,0274547;0,0091854;0,0133056;0,129773;0,2079612;0;0,0110191;0,0094984;0,003224;0,005352;0,0456248;0,0806352;0;0,0154195;0,0127413;0,0042197;0,0073547;0,0609269;0,1097051;0;0,085884;0,0484259;0,0096514;0,0248043;0,1604775;0,451102;0;0,094189;0,0550494;0,0100998;0,0244575;0,1656857;0,4921957;0;0,0637844;0,0374462;0,0106741;0,0219582;0,1549425;0,3638785;0;0,0038499;0,0086416;0,0025232;0,0024521;0,0357443;0,0503565;0;0,002743;0,0061645;0,0018105;0,0017483;0,0255614;0,0359851;0;2007-06-01;0,3011403
"33";0,0117769;0,0263565;0,0077088;0,0073044;0,1074381;0,1526537;0;0,020473;0,0143306;0,0046963;0,008804;0,0671325;0,132374;0;0,0343856;0,0219236;0,0067343;0,0140822;0,100386;0,2096567;0;0,120197;0,0680324;0,0103704;0,0292649;0,1882163;0,6062229;0;0,1273769;0,0744935;0,0108714;0,0285391;0,1929425;0,6434705;0;0,109839;0,061303;0,0125856;0,0301777;0,2038134;0,5755486;0;0,0095515;0,0118725;0,003921;0,0051725;0,0545028;0,0862832;0;0,0125645;0,0108165;0,0036313;0,005693;0,0500276;0,0910003;0;2007-07-01;0,4461644
