 ;;µmol/kg;;;kg/ha;;
 YEAR;Month;SO4;PO4;Chloride;SO4;PO4;Chloride
        2012;           4;   3103.5668945;   9994.5068359;     80.2548141;    118.2182541;    367.7460938;     23.6599770
        2012;           5;   3103.5668945;   9994.5068359;     81.2880936;    118.2182541;    367.7460938;     23.9645958
        2012;           6;   3109.2106934;   9994.5068359;     83.8037796;    118.4332428;    367.7460938;     24.7062492
        2012;           7;   3114.8586426;   9994.5068359;     86.9739151;    118.6483765;    367.7460938;     25.6408424
        2012;           8;   3114.8586426;   9994.5068359;     88.7383881;    118.6483765;    367.7460938;     26.1610241
        2012;           9;   3114.8586426;   9994.5068359;     88.8995590;    118.6483765;    367.7460938;     26.2085419
        2012;          10;   3114.8586426;   9994.5068359;     88.2326889;    118.6483765;    367.7460938;     26.0119400
        2012;          11;   3114.8586426;   9994.5068359;     87.1758728;    118.6483765;    367.7460938;     25.7003803
        2012;          12;   3114.8586426;   9994.5068359;     84.5946274;    118.6483765;    367.7460938;     24.9393978
        2013;           1;   3114.8586426;   9994.5068359;     83.9481277;    118.6483765;    367.7460938;     24.7488079
        2013;           2;   3114.8586426;   9994.5068359;     83.4081650;    118.6483765;    367.7460938;     24.5896168
        2013;           3;   3114.8586426;   9994.5068359;     83.9002457;    118.6483765;    367.7460938;     24.7346916
        2013;           4;   3114.8586426;   9994.5068359;     84.1840515;    118.6483765;    367.7460938;     24.8183556
        2013;           5;   3114.8586426;   9994.5068359;     85.4063263;    118.6483765;    367.7460938;     25.1786995
        2013;           6;   3114.8586426;   9994.5068359;     87.6283417;    118.6483765;    367.7460938;     25.8337708
        2013;           7;   3114.8586426;   9994.5068359;     90.5897903;    118.6483765;    367.7460938;     26.7068405
        2013;           8;   3114.8586426;   9994.5068359;     90.6311340;    118.6483765;    367.7460938;     26.7190285
        2013;           9;   3114.8586426;   9994.5068359;     90.3789444;    118.6483765;    367.7460938;     26.6446838
        2013;          10;   3114.8586426;   9994.5068359;     90.2926483;    118.6483765;    367.7460938;     26.6192398
        2013;          11;   3114.8586426;   9994.5068359;     93.4822998;    118.6483765;    367.7460938;     27.5595798
        2013;          12;   3114.8586426;   9994.5068359;     93.8882675;    118.6483765;    367.7460938;     27.6792660
        2014;           1;   3114.8586426;   9994.5068359;     92.5272141;    118.6483765;    367.7460938;     27.2780094
        2014;           2;   3114.8586426;   9994.5068359;     87.5652466;    118.6483765;    367.7460938;     25.8151684
        2014;           3;   3114.8586426;   9994.5068359;     82.8906326;    118.6483765;    367.7460938;     24.4370441
        2014;           4;   3114.8586426;   9994.5068359;     81.7117310;    118.6483765;    367.7460938;     24.0894928
        2014;           5;   3114.8586426;   9994.5068359;     81.1640015;    118.6483765;    367.7460938;     23.9280128
        2014;           6;   3114.8586426;   9994.5068359;     83.9002457;    118.6483765;    367.7460938;     24.7346916
        2014;           7;   3120.5104980;   9994.5068359;     87.8757629;    118.8636551;    367.7460938;     25.9067154
        2014;           8;   3120.5104980;   9994.5068359;     88.4050903;    118.8636551;    367.7460938;     26.0627651
        2014;           9;   3120.5104980;   9994.5068359;     88.2905960;    118.8636551;    367.7460938;     26.0290127
        2014;          10;   3120.5104980;   9994.5068359;     87.8757629;    118.8636551;    367.7460938;     25.9067154
        2014;          11;   3120.5104980;   9994.5068359;     85.1995850;    118.8636551;    367.7460938;     25.1177502
        2014;          12;   3126.1660156;   9994.5068359;     84.3228836;    119.0790787;    367.7460938;     24.8592854
        2015;           1;   3126.1660156;   9994.5068359;     83.6079483;    119.0790787;    367.7460938;     24.6485176
        2015;           2;   3126.1660156;   9994.5068359;     81.9466095;    119.0790787;    367.7460938;     24.1587372
        2015;           3;   3126.1660156;   9994.5068359;     82.1194534;    119.0790787;    367.7460938;     24.2096920
        2015;           4;   3126.1660156;   9994.5068359;     83.7063522;    119.0790787;    367.7460938;     24.6775265
        2015;           5;   3126.1660156;   9994.5068359;     85.3241959;    119.0790787;    367.7460938;     25.1544857
        2015;           6;   3126.1660156;   9994.5068359;     88.0562973;    119.0790787;    367.7460938;     25.9599380
        2015;           7;   3131.8256836;   9994.5068359;     90.9526215;    119.2946625;    367.7460938;     26.8138103
        2015;           8;   3131.8256836;   9994.5068359;     91.0690460;    119.2946625;    367.7460938;     26.8481293
        2015;           9;   3131.8256836;   9994.5068359;     91.1073837;    119.2946625;    367.7460938;     26.8594341
        2015;          10;   3131.8256836;   9994.5068359;     91.0304871;    119.2946625;    367.7460938;     26.8367634
        2015;          11;   3131.8256836;   9994.5068359;     87.8757629;    119.2946625;    367.7460938;     25.9067154
        2015;          12;   3131.8256836;   9994.5068359;     83.8762207;    119.2946625;    367.7460938;     24.7276039
