 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2008;           1;  16373.5136719;   2978.8034668;   2501.5878906;    436.1412964;      0.0064045;  58682.4882812;   5573.8349609;    847.9215088;     93.5503006;    126.3808823;     12.9559755;      0.0001159;   2045.8905029
        2008;           2;  16369.7958984;   2977.3603516;   2502.6267090;    433.3577576;      0.0124798;  58680.5117188;   5591.7729492;    847.7289429;     93.5049896;    126.4333725;     12.8732872;      0.0002259;   2045.8214111
        2008;           3;  16366.5966797;   2975.8115234;   2503.5361328;    431.7341614;      0.0185775;  58678.9218750;   5606.6137695;    847.5632935;     93.4563370;    126.4793015;     12.8250580;      0.0003362;   2045.7659912
        2008;           4;  16363.0605469;   2973.5417480;   2503.7644043;    429.6968994;      0.0004603;  58677.3515625;   5624.9291992;    847.3801270;     93.3850555;    126.4908447;     12.7645388;      0.0000083;   2045.7111816
        2008;           5;  16358.2294922;   2968.4272461;   2501.0781250;    426.4535217;      0.0000000;  58676.2656250;   5654.1088867;    847.1300659;     93.2244339;    126.3551331;     12.6681910;      0.0000000;   2045.6735840
        2008;           6;  16353.4082031;   2963.3281250;   2499.4091797;    426.3874207;      0.0000000;  58674.5429688;   5680.6669922;    846.8803711;     93.0643005;    126.2708054;     12.6662283;      0.0000000;   2045.6134033
        2008;           7;  16350.9814453;   2961.4831543;   2499.4262695;    431.6468201;      0.0000000;  58672.3398438;   5690.4970703;    846.7545776;     93.0063553;    126.2716751;     12.8224630;      0.0000000;   2045.5364990
        2008;           8;  16350.0683594;   2961.6936035;   2498.0346680;    432.3986511;      0.0000000;  58670.2539062;   5698.8720703;    846.7074585;     93.0129623;    126.2013702;     12.8447971;      0.0000000;   2045.4637451
        2008;           9;  16349.4150391;   2962.0773926;   2496.8686523;    433.2050171;      0.0000000;  58668.3046875;   5705.4028320;    846.6735840;     93.0250244;    126.1424637;     12.8687506;      0.0000000;   2045.3958740
        2008;          10;  16350.3496094;   2963.3876953;   2497.2124023;    434.1006470;      0.0000000;  58666.5000000;   5705.4409180;    846.7219849;     93.0661697;    126.1598434;     12.8953562;      0.0000000;   2045.3331299
        2008;          11;  16345.9609375;   2965.6372070;   2499.8666992;    435.2544556;      0.0060271;  58660.9257812;   5722.3823242;    846.4946289;     93.1368179;    126.2939377;     12.9296312;      0.0001091;   2045.1385498
        2008;          12;  16339.3964844;   2967.9162598;   2503.8725586;    436.6229553;      0.0025815;  58654.2929688;   5745.3369141;    846.1547241;     93.2083817;    126.4962997;     12.9702845;      0.0000467;   2044.9073486
        2009;           1;  16334.3447266;   2968.3105469;   2506.3552246;    436.4160767;      0.0041170;  58650.0898438;   5765.4023438;    845.8931885;     93.2207718;    126.6217270;     12.9641380;      0.0000745;   2044.7608643
        2009;           2;  16331.9169922;   2967.8032227;   2507.7631836;    437.7838135;      0.0094385;  58647.9062500;   5775.0126953;    845.7672729;     93.2048416;    126.6928482;     13.0047693;      0.0001708;   2044.6846924
        2009;           3;  16327.6298828;   2966.8198242;   2509.1867676;    436.7703247;      0.0127285;  58645.1289062;   5793.1298828;    845.5453491;     93.1739502;    126.7647858;     12.9746609;      0.0002304;   2044.5876465
        2009;           4;  16324.2128906;   2964.3383789;   2509.0122070;    434.8280640;      0.0000000;  58643.3632812;   5812.7075195;    845.3684082;     93.0960236;    126.7559586;     12.9169645;      0.0000000;   2044.5263672
        2009;           5;  16318.1738281;   2958.9750977;   2507.2612305;    433.6541748;      0.0000000;  58641.3125000;   5844.3618164;    845.0557251;     92.9275970;    126.6675034;     12.8820934;      0.0000000;   2044.4547119
        2009;           6;  16312.0781250;   2952.2150879;   2505.2810059;    432.7498474;      0.0000000;  58638.9179688;   5880.2270508;    844.7400513;     92.7152863;    126.5674667;     12.8552294;      0.0000000;   2044.3713379
        2009;           7;  16309.1933594;   2949.8044434;   2506.3022461;    441.3521423;      0.0000000;  58635.4179688;   5891.7031250;    844.5905762;     92.6395798;    126.6190567;     13.1107683;      0.0000000;   2044.2492676
        2009;           8;  16308.6083984;   2950.4975586;   2504.9418945;    442.3420715;      0.0000000;  58632.1445312;   5901.5903320;    844.5603027;     92.6613541;    126.5503235;     13.1401768;      0.0000000;   2044.1352539
        2009;           9;  16308.4169922;   2951.5422363;   2503.8444824;    443.5033875;      0.0000000;  58629.1406250;   5908.8618164;    844.5504761;     92.6941605;    126.4948883;     13.1746740;      0.0000000;   2044.0303955
        2009;          10;  16309.7509766;   2953.3891602;   2504.2673340;    444.6613770;      0.0000000;  58626.3984375;   5909.2690430;    844.6195068;     92.7521667;    126.5162506;     13.2090721;      0.0000000;   2043.9349365
        2009;          11;  16306.5126953;   2955.7905273;   2505.8310547;    444.5611877;      0.0051217;  58621.1015625;   5925.1850586;    844.4518433;     92.8275757;    126.5952530;     13.2060957;      0.0000927;   2043.7502441
        2009;          12;  16302.2558594;   2956.5036621;   2507.5151367;    444.5517578;      0.0043032;  58616.6289062;   5944.1181641;    844.2313232;     92.8499756;    126.6803436;     13.2058163;      0.0000779;   2043.5942383
        2010;           1;  16296.2480469;   2955.5417480;   2509.0141602;    443.1722717;      0.0099423;  58612.7109375;   5969.6215820;    843.9201660;     92.8197708;    126.7560654;     13.1648378;      0.0001799;   2043.4577637
        2010;           2;  16292.8095703;   2954.0842285;   2509.5163574;    442.0706482;      0.0180844;  58610.6445312;   5986.3071289;    843.7421265;     92.7739944;    126.7814255;     13.1321125;      0.0003273;   2043.3857422
