 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2008;           5;  29900.3300781;  17570.6992188;   3657.1394043;     70.5515060;      0.0000000;  18597.2421875;   1787.1918945;   1022.7916260;    364.4935608;    122.0406647;      1.3843523;      0.0000000;    428.2721558
        2008;           6;  29901.4941406;  17567.3027344;   3639.1718750;     72.1203079;      0.0000000;  18593.4062500;   1819.7945557;   1022.8315430;    364.4230957;    121.4410858;      1.4151351;      0.0000000;    428.1837769
        2008;           7;  29894.8281250;  17564.5996094;   3640.4265137;     80.5409851;      0.0000000;  18588.6210938;   1843.2070312;   1022.6033936;    364.3670044;    121.4829483;      1.5803646;      0.0000000;    428.0735779
        2008;           8;  29890.7343750;  17568.9550781;   3633.7978516;     81.3531342;      0.0000000;  18582.9589844;   1865.4583740;   1022.4633789;    364.4573364;    121.2617493;      1.5963005;      0.0000000;    427.9432068
        2008;           9;  29884.2265625;  17572.6445312;   3634.0627441;     86.3904495;      0.0000000;  18576.6035156;   1884.7255859;   1022.2408447;    364.5338745;    121.2705841;      1.6951419;      0.0000000;    427.7968445
        2008;          10;  29902.9550781;  17581.6503906;   3609.1887207;     80.0539780;      0.0000000;  18568.2343750;   1885.6247559;   1022.8813477;    364.7207336;    120.4405289;      1.5708086;      0.0000000;    427.6040955
        2008;          11;  29931.5429688;  17581.5683594;   3527.1081543;     71.8030853;      0.0003277;  18560.3105469;   1942.7116699;   1023.8593140;    364.7190247;    117.7014618;      1.4089108;      0.0000039;    427.4216309
        2008;          12;  29948.9394531;  17582.7539062;   3468.3833008;     69.3740768;      0.0008267;  18557.3378906;   1975.5501709;   1024.4544678;    364.7436218;    115.7417679;      1.3612491;      0.0000099;    427.3531494
        2009;           1;  29960.6738281;  17582.4101562;   3424.3181152;     68.0983963;      0.0010872;  18555.6015625;   2003.2703857;   1024.8558350;    364.7364807;    114.2712936;      1.3362178;      0.0000130;    427.3132019
        2009;           2;  29967.0253906;  17581.5605469;   3403.1083984;     67.9849014;      0.0012122;  18554.4570312;   2017.0930176;   1025.0729980;    364.7188416;    113.5635147;      1.3339907;      0.0000145;    427.2868347
        2009;           3;  29976.8281250;  17580.9980469;   3367.1789551;     66.9897919;      0.0014198;  18553.0117188;   2039.9558105;   1025.4084473;    364.7071838;    112.3645325;      1.3144649;      0.0000170;    427.2535706
        2009;           4;  29982.9179688;  17579.4667969;   3348.2666016;     67.1315002;      0.0000000;  18551.4726562;   2054.0676270;   1025.6166992;    364.6754456;    111.7334061;      1.3172454;      0.0000000;    427.2181091
        2009;           5;  29983.9296875;  17571.9921875;   3321.0068359;     68.8607254;      0.0000000;  18548.2226562;   2102.4570312;   1025.6512451;    364.5203857;    110.8237381;      1.3511760;      0.0000000;    427.1432495
        2009;           6;  29976.4707031;  17568.3437500;   3320.2666016;     75.7804184;      0.0000000;  18545.4160156;   2126.9606934;   1025.3962402;    364.4446716;    110.7990417;      1.4869534;      0.0000000;    427.0786438
        2009;           7;  29967.8593750;  17571.1503906;   3316.0964355;     76.4005051;      0.0000000;  18542.3574219;   2151.2075195;   1025.1015625;    364.5028992;    110.6598816;      1.4991206;      0.0000000;    427.0082092
        2009;           8;  29959.1972656;  17574.4902344;   3312.0017090;     76.9927292;      0.0000000;  18538.9843750;   2175.3247070;   1024.8052979;    364.5721741;    110.5232315;      1.5107411;      0.0000000;    426.9304810
        2009;           9;  29952.1953125;  17577.7558594;   3308.5996094;     77.8757248;      0.0000000;  18535.4980469;   2195.8107910;   1024.5659180;    364.6399536;    110.4097137;      1.5280671;      0.0000000;    426.8502502
        2009;          10;  29971.7871094;  17586.7500000;   3277.0759277;     73.2996902;      0.0000000;  18530.1875000;   2190.7951660;   1025.2359619;    364.8265076;    109.3577423;      1.4382768;      0.0000000;    426.7279358
