"";"SO4";"PO4";"Cl";"group_id";"Date"
"12910";44,7961807;177,4894257;28,9885197;"3";2088-10-01
"12911";44,7182732;177,4894257;27,2166862;"3";2088-11-01
"12912";44,6403046;177,4894257;27,6822815;"3";2088-12-01
"12913";44,5622864;177,4894257;26,5810127;"3";2089-01-01
"12914";44,5622864;177,4894257;26,5278587;"3";2089-02-01
"12915";44,5622864;177,4894257;26,7793026;"3";2089-03-01
"12916";44,5622864;177,4894257;27,0262127;"3";2089-04-01
"12917";44,5622864;177,4894257;27,2981033;"3";2089-05-01
"12918";44,4060822;177,4894257;27,5844002;"3";2089-06-01
"12919";44,4060822;177,4894257;28,0178261;"3";2089-07-01
"12920";44,4060822;177,4894257;28,2503357;"3";2089-08-01
"12921";44,3279037;177,4894257;28,2503357;"3";2089-09-01
"12922";44,3279037;177,4894257;28,2709656;"3";2089-10-01
"12923";44,2496681;177,4894257;27,9849186;"3";2089-11-01
"12924";44,1713829;177,4894257;27,8801441;"3";2089-12-01
"12925";44,0930481;177,4894257;27,4687748;"3";2090-01-01
"12926";44,0930481;177,4894257;27,3205681;"3";2090-02-01
"12927";44,0930481;177,4894257;27,0922947;"3";2090-03-01
"12928";44,0930481;177,4894257;27,1804085;"3";2090-04-01
"12929";44,0930481;177,4894257;27,3859673;"3";2090-05-01
"12930";43,9361992;177,4894257;27,620842;"3";2090-06-01
"12931";43,9361992;177,4894257;27,9915791;"3";2090-07-01
"12932";43,9361992;177,4894257;28,439146;"3";2090-08-01
"12933";43,857708;177,4894257;28,4727249;"3";2090-09-01
"12934";43,857708;177,4894257;28,4727249;"3";2090-10-01
"12935";43,7791481;177,4894257;27,7409267;"3";2090-11-01
"12936";43,7005424;177,4894257;27,5844002;"3";2090-12-01
"12937";43,6218796;177,4894257;27,3205681;"3";2091-01-01
"12938";43,6218796;177,4894257;27,3859673;"3";2091-02-01
"12939";43,6218796;177,4894257;27,5657978;"3";2091-03-01
"12940";43,6218796;177,4894257;27,7244434;"3";2091-04-01
"12941";43,6218796;177,4894257;28,0178261;"3";2091-05-01
"12942";43,4643974;177,4894257;28,0808544;"3";2091-06-01
"12943";43,4643974;177,4894257;28,4727249;"3";2091-07-01
"12944";43,4643974;177,4894257;28,8992844;"3";2091-08-01
"12945";43,3855705;177,4894257;28,9716244;"3";2091-09-01
"12946";43,3855705;177,4894257;28,8799133;"3";2091-10-01
"12947";43,306694;177,4894257;27,2867374;"3";2091-11-01
"12948";43,2277641;177,4894257;27,6993141;"3";2091-12-01
"12949";43,1487808;177,4894257;26,885397;"3";2092-01-01
"12950";43,1487808;177,4894257;26,7636013;"3";2092-02-01
"12951";43,1487808;177,4894257;26,9713192;"3";2092-03-01
"12952";43,1487808;177,4894257;27,1557369;"3";2092-04-01
"12953";43,1487808;177,4894257;27,5469379;"3";2092-05-01
"12954";42,9906425;177,4894257;27,8505554;"3";2092-06-01
"12955";42,9906425;177,4894257;28,2709656;"3";2092-07-01
"12956";42,9906425;177,4894257;28,7271366;"3";2092-08-01
"12957";42,9114952;177,4894257;28,7965679;"3";2092-09-01
"12958";42,9114952;177,4894257;28,7965679;"3";2092-10-01
"12959";42,9114952;177,4894257;28,0307217;"3";2092-11-01
"12960";42,9114952;177,4894257;27,8946686;"3";2092-12-01
"12961";42,8322945;177,4894257;27,4787865;"3";2093-01-01
"12962";42,8322945;177,4894257;27,3205681;"3";2093-02-01
"12963";42,8322945;177,4894257;27,079298;"3";2093-03-01
"12964";42,8322945;177,4894257;27,1051903;"3";2093-04-01
"12965";42,7530365;177,4894257;27,2752895;"3";2093-05-01
"12966";42,5943642;177,4894257;27,4887352;"3";2093-06-01
"12967";42,5943642;177,4894257;27,820219;"3";2093-07-01
"12968";42,5943642;177,4894257;28,3680477;"3";2093-08-01
"12969";42,5149422;177,4894257;28,6236134;"3";2093-09-01
"12970";42,5149422;177,4894257;28,5050926;"3";2093-10-01
"12971";42,4354706;177,4894257;27,6563072;"3";2093-11-01
"12972";42,4354706;177,4894257;27,5657978;"3";2093-12-01
"12973";42,3559341;177,4894257;27,3316746;"3";2094-01-01
"12974";42,3559341;177,4894257;27,4279766;"3";2094-02-01
"12975";42,3559341;177,4894257;27,5563984;"3";2094-03-01
"12976";42,3559341;177,4894257;27,6908302;"3";2094-04-01
"12977";42,2763519;177,4894257;27,8946686;"3";2094-05-01
"12978";42,1170197;177,4894257;28,1404419;"3";2094-06-01
"12979";42,1170197;177,4894257;28,4727249;"3";2094-07-01
"12980";42,1170197;177,4894257;29,0049782;"3";2094-08-01
"12981";42,0372658;177,4894257;28,9885197;"3";2094-09-01
"12982";42,0372658;177,4894257;28,9885197;"3";2094-10-01
"12983";41,9574699;177,4894257;27,2166862;"3";2094-11-01
"12984";41,9574699;177,4894257;27,6822815;"3";2094-12-01
"12985";41,8776054;177,4894257;26,5810127;"3";2095-01-01
"12986";41,8776054;177,4894257;26,5278587;"3";2095-02-01
"12987";41,8776054;177,4894257;26,7793026;"3";2095-03-01
"12988";41,8776054;177,4894257;26,9145317;"3";2095-04-01
"12989";41,797699;177,4894257;27,1051903;"3";2095-05-01
"12990";41,6377029;177,4894257;27,3426952;"3";2095-06-01
"12991";41,6377029;177,4894257;27,7244434;"3";2095-07-01
"12992";41,6377029;177,4894257;28,2503357;"3";2095-08-01
"12993";41,557621;177,4894257;28,2709656;"3";2095-09-01
"12994";41,557621;177,4894257;28,2503357;"3";2095-10-01
"12995";41,4774895;177,4894257;27,8874283;"3";2095-11-01
"12996";41,4774895;177,4894257;27,8505554;"3";2095-12-01
"12997";41,3972969;177,4894257;27,4687748;"3";2096-01-01
"12998";41,3972969;177,4894257;27,2981033;"3";2096-02-01
"12999";41,3972969;177,4894257;27,0661888;"3";2096-03-01
"13000";41,3972969;177,4894257;27,079298;"3";2096-04-01
"13001";41,3170471;177,4894257;27,252121;"3";2096-05-01
"13002";41,1563911;177,4894257;27,5084095;"3";2096-06-01
"13003";41,1563911;177,4894257;26,2989407;"3";2096-07-01
"13004";41,1563911;177,4894257;26,7636013;"3";2096-08-01
"13005";41,0759773;177,4894257;26,7636013;"3";2096-09-01
"13006";41,0759773;177,4894257;26,7636013;"3";2096-10-01
"13007";40,9955139;177,4894257;27,4071255;"3";2096-11-01
"13008";40,9955139;177,4894257;27,5278072;"3";2096-12-01
"13009";40,9955139;177,4894257;27,3205681;"3";2097-01-01
