Year;Month;Species;Concentration_Shallow;Concentration_Deep;SD_S;SD_D;Conc_S_3;Conc_D_3;SD_S_3;SD_D_3
2005;6;Mg;20.13408122;17.33832257;0;0.11447882;0.42833448;0.564003197;0;0.126033273
2005;7;Mg;18.48428321;20.30906944;0;0;0.76881888;0.48461205;0;0
2005;8;Mg;20.13408122;17.33832257;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;9;Mg;20.13408122;17.33832257;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;10;Mg;20.13408122;17.33832257;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;11;Mg;20.13408122;17.33832257;0;0;0.85291962;#DIV/0!;0;#DIV/0!
2005;12;Mg;24.83328395;17.33832257;0.073720266;0.117463221;0.470066594;0.46600554;0.137973155;0.12014786
2006;1;Mg;16.12795633;20.0112348;0;0;0.505188;0.533346633;0.2198232;0.150631771
2006;2;Mg;20.13408122;17.33832257;0;0;1.319868;0.4044492;0;0
2006;3;Mg;20.13408122;17.33832257;0;0;0.8369038;0.3579754;0;0.012819489
2006;4;Mg;20.13408122;15.71557779;0.244000146;0.014965137;0.56361042;0.39997705;0.162840497;0.174748255
2006;5;Mg;23.53954187;15.25369699;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2006;6;Mg;20.13408122;17.33832257;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;1;K;25.98416371;10.80200831;0.293581227;0.088167158;0.433433385;0.280277265;0.212354146;0.204350863
2005;2;K;11.15418217;6.238470145;0.274589415;0.077087155;0.471543383;0.17870527;0.405103692;0.183847372
2005;3;K;8.57000106;5.243674119;0;0.456203573;1.59292954;0.33171276;0;0.229119403
2005;4;K;10.32799887;2.173729589;0.309648121;0.060164987;0.592738997;0.280367093;0.542597212;0.177194365
2005;5;K;10.93749006;7.926765327;0;0;1.944558;0.319590987;0;0.293889275
2005;6;K;10.32799887;5.313878554;0;0.100621033;0.29309742;0.24722481;0;0.235753218
2005;7;K;10.0827283;5.5762882;0;0;1.91251224;0.13982085;0;0
2005;8;K;10.32799887;5.313878554;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;9;K;10.32799887;5.313878554;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;10;K;10.32799887;5.313878554;0;0;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
2005;11;K;10.32799887;5.313878554;0;0;1.11823908;#DIV/0!;0;#DIV/0!
