"";"V1";"Ca_Wet";"Mg_Wet";"K_Wet";"NO3_Wet";"NH4_Wet";"Ntot_Wet";"SO4_Wet";"Na_Wet";"Cl_Wet";"K_Folx";"NO3_Folx";"NH4_Folx";"Ntot_Folx";"SO4_Folx";"Na_Folx";"Cl_Folx";"Ca_WTH";"Mg_WTH";"K_WTH";"Na_WTH";"Al_WTH";"Si_Wet";"P_WTH";"V79";"Year";"N_TU";"Ca_TU";"Mg_TU";"K_TU";"S_TU";"P_TU";"N_LF";"Ca_LF";"Mg_LF";"K_LF";"S_LF";"P_LF";"N_L_Min";"Ca_L_Min";"Mg_L_Min";"K_L_Min";"S_L_Min";"P_L_Min";"N_SOM_Min";"Ca_SOM_Min";"Mg_SOM_Min";"K_SOM_Min";"S_SOM_Min";"P_SOM_Min"
"21";2025;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;22,1162186;0;0;0;0;0;0;5,027792;2,7243879;0,8099697;0,7791977;8,680356;22,3309155;1,29363;NA;2025;30,6798325;23,8823338;4,9667854;36,6721039;2,1902165;3,8102937;20,6418037;8,2876863;2,0999861;8,4050894;1,3203996;2,2739177;31,9811363;9,226963;2,2765458;8,52073;2,1557577;2,3496029;14,0374489;-0,0158002;-0,0095819;-0,015414;1,9176216;3,9094822
"22";2026;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;22,5350513;0;0;0;0;0;0;5,0595384;2,7383142;0,8099399;0,7820923;8,694109;22,4473171;1,2971904;NA;2026;30,3416557;23,6349659;4,9416175;36,8530197;2,1590407;3,7504842;20,699091;8,2915411;2,0949929;8,4055815;1,3225855;2,2777612;32,1137314;9,2094049;2,272526;8,5274439;2,1573725;2,3530431;13,2542114;-0,0157542;-0,009554;-0,0153691;1,9062774;3,8534579
"23";2027;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;22,9488811;0;0;0;0;0;0;5,0949712;2,7510629;0,8074554;0,7839937;8,6937151;22,5462551;1,3046398;NA;2027;30,4174271;23,8501511;4,979239;37,3240891;2,167619;3,7650192;20,7440643;8,2953529;2,0907934;8,4046402;1,3241833;2,2799683;32,2439346;9,1925507;2,2677426;8,5321827;2,1594622;2,3561108;13,416275;-0,0157059;-0,0095247;-0,015322;1,8986158;3,851351
"24";2028;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;23,3538055;0;0;0;0;0;0;5,0945311;2,7486079;0,8066182;0,7839636;8,6860495;22,5363083;1,3042432;NA;2028;30,2671719;23,8186378;4,9839458;37,6207008;2,1544991;3,7354779;20,8185902;8,301693;2,0907633;8,4178276;1,327763;2,2837219;32,3732681;9,1768084;2,2628431;8,5365887;2,1620512;2,3587501;13,1628437;-0,0156449;-0,0094878;-0,0152625;1,8898926;3,8183987
"25";2029;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;23,7340069;0;0;0;0;0;0;5,125906;2,7625966;0,8069482;0,7871778;8,702796;22,6549015;1,307568;NA;2029;30,2629814;23,8915977;5,0071158;37,9953575;2,1520584;3,7352362;20,8726311;8,3045006;2,0895402;8,4229879;1,3299417;2,2866185;32,50317;9,1614437;2,2581396;8,541316;2,165132;2,3611708;12,6092606;-0,0155734;-0,0094444;-0,0151928;1,8818339;3,8054526
"26";2030;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;24,1125488;0;0;0;0;0;0;5,1579037;2,7742164;0,8049722;0,789327;8,7056112;22,7467842;1,314267;NA;2030;30,1962852;23,9148941;5,0210671;38,3303604;2,1460524;3,7259398;20,9177055;8,3077068;2,0885425;8,4275665;1,3317748;2,2889707;32,6302643;9,1464376;2,2535269;8,5454884;2,1684229;2,3632796;12,7246056;-0,0154979;-0,0093986;-0,0151191;1,873608;3,7866654
"27";2031;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;24,4701977;0;0;0;0;0;0;5,1624007;2,7737138;0,8033807;0,7889305;8,6938229;22,7479744;1,3148686;NA;2031;30,0347309;23,8258419;5,01931;38,5692368;2,1296473;3,6952028;20,9872131;8,3129025;2,0880086;8,4413567;1,3350358;2,2929018;32,7561531;9,1321812;2,2491217;8,5501003;2,1719778;2,3652415;12,4450588;-0,0154211;-0,009352;-0,0150441;1,8649898;3,7530372
"28";2032;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;24,8089294;0;0;0;0;0;0;5,1916804;2,7867997;0,8037931;0,7919854;8,7100115;22,8593731;1,3179355;NA;2032;29,934782;23,8053074;5,0266938;38,8366356;2,1201305;3,6770923;21,0409393;8,3153057;2,0886343;8,4496593;1,337329;2,2954631;32,8821487;9,1181154;2,2449172;8,5553617;2,1758025;2,3671098;11,8070202;-0,0153437;-0,0093051;-0,0149686;1,8567449;3,7276685
"29";2033;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;25,1163712;0;0;0;0;0;0;5,2222781;2,7980034;0,8020241;0,7939442;8,7128944;22,9475098;1,3244271;NA;2033;29,9347954;23,8849258;5,0464048;39,1440926;2,1201313;3,6770937;21,117445;8,3199568;2,0893977;8,4627352;1,3409485;2,2994366;33,0089378;9,1046362;2,241169;8,5612402;2,1798942;2,3689201;11,955492;-0,0152661;-0,009258;-0,0148929;1,8490735;3,7157743
"30";2034;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;25,4484272;0;0;0;0;0;0;5,2233863;2,7963428;0,8005065;0,7934003;8,7011337;22,938324;1,3244857;NA;2034;30,0247459;24,0882607;5,083847;39,5432014;2,1303988;3,693536;21,1479435;8,3198586;2,09216;8,4710455;1,3420434;2,3004997;33,1341743;9,0908432;2,2377763;8,5672216;2,1840775;2,3705797;11,8701696;-0,0151883;-0,0092108;-0,014817;1,8420193;3,7164621
"31";2035;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;25,7444668;0;0;0;0;0;0;5,2573371;2,8112388;0,8005997;0,7964785;8,7162771;23,062973;1,3284055;NA;2035;30,0056858;24,1617012;5,10183;39,82127;2,1285777;3,6866324;21,2061996;8,3243151;2,0923984;8,4792728;1,3447834;2,3039293;33,2554893;9,0776176;2,2349703;8,5735149;2,1882274;2,3720009;11,330945;-0,0151104;-0,0091636;-0,0147411;1,834305;3,6993778
"32";2036;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;26,0405998;0;0;0;0;0;0;5,2839646;2,8211331;0,7993032;0,7983391;8,7207928;23,141161;1,3341614;NA;2036;29,8319416;24,0337887;5,0950165;39,9976044;2,1122108;3,6582713;21,2526302;8,3262177;2,0949297;8,4905081;1,346837;2,3073802;33,3749352;9,0645323;2,232317;8,5797148;2,1924229;2,3735001;11,3762951;-0,0150328;-0,0091165;-0,0146653;1,8259262;3,6675475
"33";2037;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;26,3329792;0;0;0;0;0;0;5,2877722;2,8203144;0,7970408;0,7974598;8,7046747;23,1353168;1,3348957;NA;2037;29,934782;24,1988754;5,1300998;40,3606873;2,1201305;3,6770923;21,2916794;8,3281012;2,0971537;8,4997807;1,3484781;2,309186;33,4907532;9,0515633;2,2301476;8,5862598;2,1965458;2,3749471;11,274642;-0,0149553;-0,0090695;-0,0145897;1,8189725;3,6701808
"34";2038;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;26,5828476;0;0;0;0;0;0;5,3185015;2,8341167;0,7975999;0,800707;8,7224007;23,2529507;1,3381386;NA;2038;29,839035;24,1844025;5,1340003;40,5447693;2,1130555;3,6592255;21,3406906;8,3320045;2,0993013;8,5090418;1,3501067;2,3138566;33,6038284;9,0391245;2,2283642;8,5930643;2,2005823;2,3764055;10,6671591;-0,0148779;-0,0090226;-0,0145142;1,8112247;3,6455619
"35";2039;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;26,8668156;0;0;0;0;0;0;5,3495083;2,8456757;0,7959777;0,8026529;8,7260246;23,3436871;1,3446428;NA;2039;29,6562157;24,0394421;5,1258206;40,69524;2,0941157;3,6256275;21,3699417;8,3325319;2,1010392;8,5173817;1,3516433;2,3159487;33,7126083;9,0265617;2,2267144;8,5994225;2,2044215;2,3779953;10,6944094;-0,0148011;-0,008976;-0,0144392;1,8028551;3,6103206
"36";2040;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;27,1180878;0;0;0;0;0;0;5,351162;2,8443904;0,7940453;0,8018938;8,7122707;23,3342628;1,3448372;NA;2040;29,863203;24,3337708;5,1743145;41,094101;2,1139934;3,6627996;21,4026928;8,3355923;2,1033542;8,527833;1,3534772;2,3177049;33,8169746;9,0144005;2,2253544;8,6061773;2,2082181;2,3793421;10,6680613;-0,0147244;-0,0089295;-0,0143645;1,7967002;3,6262369
"37";2041;1,09009;1,7463391;0,7533862;2,57616;0,2603092;2,8364692;2,2869554;16,1032791;29,2413216;27,3527393;0;0;0;0;0;0;5,3811893;2,8579702;0,7946811;0,8050273;8,729744;23,4500141;1,3479136;NA;2041;29,8057938;24,3537197;5,1831837;41,2868652;2,1095452;3,6504128;21,4228249;8,3383408;2,1045773;8,5329294;1,3544691;2,3212814;33,9157715;9,0025606;2,2241333;8,6127176;2,2118852;2,3806911;10,1029892;-0,0146483;-0,0088834;-0,0142903;1,7897894;3,6059542
"38";2042;1,5408158;1,7721338;0,7109369;1,8321431;0,198249;2,0303919;2,2847517;16,1259956;28,8638268;27,6123829;0;0;0;0;0;0;5,4104185;2,8687479;0,7930743;0,8067874;8,7326155;23,5338612;1,3543311;NA;2042;29,9199142;24,5594234;5,2186627;41,6276588;2,1207507;3,6704304;21,4275665;8,3393269;2,1042106;8,5320721;1,3545022;2,3212421;34,0060539;8,9907026;2,2227294;8,6178141;2,2152009;2,3818991;10,3747892;-0,0145725;-0,0088374;-0,0142163;1,7832326;3,6096122
"39";2043;1,1733867;1,8159763;0,720636;2,0278795;0,2357044;2,2635839;2,4052696;16,3639107;30,0533886;27,7970314;0;0;0;0;0;0;5,4117999;2,8673289;0,7908875;0,8056346;8,7163181;23,5209255;1,3546737;NA;2043;29,5491905;24,1713467;5,1740146;41,5492172;2,0837553;3,606564;21,4431248;8,3448439;2,1044838;8,5340986;1,3550812;2,3252194;34,0898209;8,9797363;2,2212379;8,6220407;2,2182543;2,382899;9,9728851;-0,0144973;-0,0087918;-0,0141429;1,7739736;3,5534086
