"";"Ca";"Mg";"K";"Na";"NH4";"Al";"group_id";"Date"
"620";721,7614136;226,9080658;139,0161438;6,7288938;0;1091,0821533;"5";2012-08-01
"621";722,1604004;227,1603699;139,1642151;6,9752727;0;1090,6400146;"5";2012-09-01
"622";722,531311;227,3832397;139,3074188;7,2176676;0;1090,2426758;"5";2012-10-01
"623";723,3666382;227,9011688;139,5939941;7,5079522;0,0068601;1089,6866455;"5";2012-11-01
"624";723,6146851;228,055954;139,7818756;7,7023335;0,0143914;1089,5428467;"5";2012-12-01
"625";723,6875;228,1046295;139,9518127;7,7989206;0,0270506;1089,5085449;"5";2013-01-01
"626";723,5687866;228,0343628;139,9237823;7,6867228;0,0343812;1089,5872803;"5";2013-02-01
"627";723,5071411;228,0003815;139,9697113;7,6709027;0,04523;1089,6066895;"5";2013-03-01
"628";723,366272;227,9190216;139,9415283;7,5585222;0;1089,7008057;"5";2013-04-01
"629";722,9738159;227,6981049;139,818222;7,3365154;0;1090,0198975;"5";2013-05-01
"630";722,6733398;227,5333252;139,7636719;7,239882;0;1090,2078857;"5";2013-06-01
"631";721,536438;226,8649902;139,5311279;6,8686152;0;1091,2224121;"5";2013-07-01
"632";720,6339722;226,3385468;139,4260101;6,7195773;0;1091,9428711;"5";2013-08-01
"633";721,0463867;226,598526;139,5770416;6,9689646;0;1091,4887695;"5";2013-09-01
"634";721,4261475;226,8264923;139,7223816;7,2136765;0;1091,0810547;"5";2013-10-01
"635";722,21698;227,3180237;139,9807892;7,5249496;0,0072226;1090,5549316;"5";2013-11-01
"636";722,4412231;227,4588928;140,1670074;7,761435;0,0145163;1090,4134521;"5";2013-12-01
"637";722,4517822;227,4702454;140,2952271;7,8886137;0,0280932;1090,3995361;"5";2014-01-01
"638";722,3010864;227,3807983;140,2460327;7,7626448;0,036673;1090,4991455;"5";2014-02-01
"639";722,1947632;227,3198547;140,2632599;7,7560968;0,0491498;1090,5404053;"5";2014-03-01
"640";722,0505371;227,2362823;140,2256775;7,6730056;0;1090,6324463;"5";2014-04-01
"641";721,6375122;227,003067;140,0821686;7,4157495;0;1090,9819336;"5";2014-05-01
"642";721,328064;226,832962;140,0187073;7,3192773;0;1091,1794434;"5";2014-06-01
"643";720,2094116;226,176178;139,7789764;6,9302616;0;1092,1868896;"5";2014-07-01
"644";719,3007202;225,6465912;139,6673584;6,7693319;0;1092,9205322;"5";2014-08-01
"645";719,6898804;225,8922882;139,8146973;7,0150599;0;1092,4887695;"5";2014-09-01
"646";720,050415;226,1083679;139,9568939;7,2562823;0;1092,0999756;"5";2014-10-01
"647";720,7765503;226,5629578;140,2071075;7,6499853;0,0060322;1091,5979004;"5";2014-11-01
"648";720,9838257;226,6942291;140,3887482;7,8999844;0,0138563;1091,4647217;"5";2014-12-01
"649";721,0105591;226,7168579;140,5471191;7,9974523;0,026486;1091,4451904;"5";2015-01-01
"650";720,8799438;226,6401825;140,5153809;7,8786469;0,0338907;1091,5332031;"5";2015-02-01
"651";720,7877197;226,5887756;140,5491486;7,8317924;0,0441291;1091,5738525;"5";2015-03-01
"652";720,6534424;226,5118561;140,5213776;7,7347374;0;1091,6612549;"5";2015-04-01
"653";720,2390747;226,2780762;140,3815308;7,4773564;0;1092,0098877;"5";2015-05-01
"654";719,9359131;226,1122284;140,322876;7,3733134;0;1092,2034912;"5";2015-06-01
"655";718,8092041;225,4512787;140,0843811;6,9851642;0;1093,2165527;"5";2015-07-01
"656";717,8959351;224,9195557;139,9736786;6,824914;0;1093,9505615;"5";2015-08-01
"657";718,2957764;225,1711884;140,1234131;7,0754552;0;1093,5072021;"5";2015-09-01
"658";718,6646729;225,3920135;140,2675781;7,3212996;0;1093,1088867;"5";2015-10-01
"659";719,4752808;225,9010315;140,5697327;7,6138825;0,0068794;1092,56604;"5";2015-11-01
"660";719,7109375;226,0503387;140,7647247;7,8112521;0,0144088;1092,4276123;"5";2015-12-01
"661";456,4404602;107,2280121;88,8981628;12,6982479;0,0268286;1290,2558594;"6";2005-01-01
"662";456,5110779;107,2706909;88,9382629;12,7871542;0,0301093;1290,2161865;"6";2005-02-01
"663";456,5803833;107,3120956;88,9749985;12,7599134;0,0329963;1290,1990967;"6";2005-03-01
"664";456,5863953;107,3169098;88,9795609;12,6966295;0;1290,2109375;"6";2005-04-01
"665";456,4088745;107,2215424;88,9078522;12,4314594;0;1290,3823242;"6";2005-05-01
"666";456,3372498;107,1901245;88,8915253;12,3477221;0;1290,4217529;"6";2005-06-01
"667";455,8360291;106,8994904;88,7595291;11,8916273;0;1290,9256592;"6";2005-07-01
"668";455,353302;106,6207657;88,6802902;11,6440201;0;1291,3391113;"6";2005-08-01
"669";455,4681702;106,7001877;88,7452164;11,8968563;0;1291,1610107;"6";2005-09-01
"670";455,5422974;106,7451172;88,8509064;12,2851524;0;1290,9688721;"6";2005-10-01
"671";456,4302979;107,2756805;89,0434952;12,0870686;0;1290,5618896;"6";2005-11-01
"672";456,7589111;107,4720383;89,1605301;12,0818052;0,004117;1290,4470215;"6";2005-12-01
"673";456,9902954;107,6101608;89,2925568;12,087821;0,0106796;1290,3968506;"6";2006-01-01
"674";457,0168762;107,6255188;89,308548;12,0010529;0,0141724;1290,40979;"6";2006-02-01
"675";457,1204834;107,6866074;89,3694305;11,8975458;0,0174928;1290,4001465;"6";2006-03-01
"676";457,1461487;107,7028351;89,3818893;11,7972202;0;1290,4133301;"6";2006-04-01
"677";456,9973145;107,6248856;89,3128281;11,5500336;0;1290,5567627;"6";2006-05-01
"678";456,9438782;107,6040573;89,2957458;11,4297905;0;1290,595459;"6";2006-06-01
"679";456,443634;107,3134232;89,1508636;10,9614162;0;1291,1021729;"6";2006-07-01
"680";455,9630432;107,0353775;89,0647125;10,7104206;0;1291,5167236;"6";2006-08-01
"681";456,0665283;107,1084671;89,1267929;10,9349527;0;1291,3582764;"6";2006-09-01
"682";456,1343079;107,1496658;89,2286835;11,2797794;0;1291,1872559;"6";2006-10-01
"683";457,137146;107,7426453;89,470787;10,6684389;0;1290,8193359;"6";2006-11-01
"684";457,5412292;107,981781;89,6309891;10,4541826;0,004058;1290,706543;"6";2006-12-01
"685";457,9039001;108,1961899;89,8441772;10,1786156;0,0116;1290,644165;"6";2007-01-01
"686";457,9558411;108,2257385;89,8705978;9,9992685;0,0154186;1290,6608887;"6";2007-02-01
"687";458,1382141;108,3321686;89,96521;9,7326717;0,0200622;1290,6414795;"6";2007-03-01
"688";458,1967773;108,367157;89,9909515;9,5767555;0;1290,6473389;"6";2007-04-01
"689";458,0342102;108,2801743;89,9214172;9,3666468;0;1290,7911377;"6";2007-05-01
"690";457,9758911;108,2551346;89,9035721;9,2187023;0;1290,8382568;"6";2007-06-01
"691";457,4456787;107,9451828;89,7624283;8,8579168;0;1291,3320312;"6";2007-07-01
"692";456,9298401;107,644783;89,6768188;8,6600075;0;1291,7572021;"6";2007-08-01
"693";457,0711975;107,7407455;89,748436;8,8629761;0;1291,5740967;"6";2007-09-01
"694";457,1757202;107,8043594;89,8617706;9,1699266;0;1291,3824463;"6";2007-10-01
"695";458,3910828;108,5122604;90,1490097;8,3189106;0,0009499;1290,9348145;"6";2007-11-01
"696";458,8748474;108,7942657;90,327179;8,0221119;0,0049331;1290,7947998;"6";2007-12-01
"697";459,2568054;109,015976;90,5321198;7,753695;0,0135542;1290,7230225;"6";2008-01-01
"698";459,2918396;109,0338516;90,546669;7,5919127;0,0187998;1290,7429199;"6";2008-02-01
"699";459,4576111;109,1272888;90,626297;7,397706;0,0257809;1290,7160645;"6";2008-03-01
"700";459,5033569;109,1530914;90,64431;7,2873898;0;1290,7194824;"6";2008-04-01
"701";459,3238831;109,0552139;90,56987;7,1208067;0;1290,8623047;"6";2008-05-01
"702";459,2436218;109,0155106;90,5454178;7,00878;0;1290,9122314;"6";2008-06-01
"703";458,6737976;108,6802139;90,3994598;6,7290025;0;1291,4125977;"6";2008-07-01
"704";458,1524048;108,3753281;90,3180237;6,5889258;0;1291,8188477;"6";2008-08-01
"705";458,3227844;108,489357;90,3966064;6,755167;0;1291,6219482;"6";2008-09-01
"706";458,4598389;108,5729752;90,5186691;7,0047731;0;1291,4211426;"6";2008-10-01
"707";459,5460205;109,1886444;90,746933;6,6335654;0;1290,9327393;"6";2008-11-01
"708";459,9654236;109,4265289;90,8840256;6,5660357;0,0043873;1290,7791748;"6";2008-12-01
"709";460,3102417;109,6192169;91,0481796;6,5223842;0,0118243;1290,6861572;"6";2009-01-01
"710";460,316803;109,6176224;91,0445786;6,4180675;0,0155288;1290,708252;"6";2009-02-01
"711";460,4970093;109,7178726;91,1317673;6,4279127;0,0194248;1290,6486816;"6";2009-03-01
"712";460,558075;109,7526169;91,1609802;6,4242263;0;1290,6286621;"6";2009-04-01
"713";460,3901672;109,6616821;91,0891495;6,2894044;0;1290,7529297;"6";2009-05-01
"714";460,3165894;109,625351;91,0646973;6,2186861;0;1290,7889404;"6";2009-06-01
"715";459,7466125;109,289032;90,9145584;5,9638877;0;1291,2806396;"6";2009-07-01
"716";459,1841431;108,9582443;90,8219833;5,8219037;0;1291,723877;"6";2009-08-01
"717";459,3586121;109,0753098;90,9018326;5,9703789;0;1291,52771;"6";2009-09-01
"718";459,504425;109,1644821;91,0260849;6,1939092;0;1291,3294678;"6";2009-10-01
"719";460,5250549;109,7269592;91,2314224;6,1394067;0;1290,7956543;"6";2009-11-01
"720";460,9221497;109,9466782;91,3505478;6,1867843;0,0042031;1290,6280518;"6";2009-12-01
"721";461,226532;110,1118698;91,4870224;6,2543693;0,0117334;1290,5338135;"6";2010-01-01
"722";461,3099365;110,1543655;91,5139008;6,2012019;0,0156096;1290,5123291;"6";2010-02-01
"723";461,4387512;110,2177811;91,5627975;6,1412435;0,0200559;1290,4729004;"6";2010-03-01
"724";461,4137573;110,196785;91,5459442;6,0547113;0;1290,5028076;"6";2010-04-01
"725";461,2239075;110,0918732;91,4775543;5,9383173;0;1290,635498;"6";2010-05-01
"726";461,1427917;110,04953;91,4581604;5,8879547;0;1290,6656494;"6";2010-06-01
"727";460,5536194;109,7009125;91,3183441;5,6683636;0;1291,1580811;"6";2010-07-01
