"";"Year";"Month";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"100";2013;4;156128,40625;45,3750534;73,0024033;7,9554687;31,6793957;5,3458471;5,4720249;2013-04-01
"101";2013;5;157640,578125;45,5815315;73,3757858;7,9917865;31,9443207;5,3793907;5,4926553;2013-05-01
"102";2013;6;159023,375;45,8365364;73,9503632;8,0517759;32,1571655;5,4210415;5,5148706;2013-06-01
"103";2013;7;160207,984375;46,1362991;74,4433594;8,1033316;32,3396378;5,4527311;5,5276966;2013-07-01
"104";2013;8;160825,40625;46,2925339;74,7381897;8,1342907;32,449276;5,4682293;5,5352182;2013-08-01
"105";2013;9;161533;46,4715919;75,0524673;8,1668539;32,5644188;5,4867182;5,5476303;2013-09-01
"106";2013;10;161532,5;46,4714355;75,0524673;8,1668539;32,5643311;5,4867072;5,5476098;2013-10-01
"107";2013;11;161531,6875;46,4714012;75,0524673;8,1668539;32,5641899;5,4867048;5,5476003;2013-11-01
"108";2013;12;161531,453125;46,4713974;75,0524673;8,1668539;32,5641479;5,4867048;5,5475998;2013-12-01
"109";2014;1;161531,40625;46,4713974;75,0524673;8,1668539;32,5641403;5,4867048;5,5475998;2014-01-01
"110";2014;2;161531,375;46,4713974;75,0524673;8,1668539;32,5641365;5,4867048;5,5475998;2014-02-01
"111";2014;3;161531,296875;46,4713974;75,0524673;8,1668539;32,5641212;5,4867048;5,5475998;2014-03-01
"112";2014;4;161608,734375;46,4745674;75,0552292;8,1670485;32,5776863;5,4873357;5,5480523;2014-04-01
"113";2014;5;163145,84375;46,6908417;75,4386063;8,2044735;32,8469772;5,5218797;5,5734968;2014-05-01
"114";2014;6;164545,171875;46,9477081;76,0252228;8,2658844;33,0650635;5,5640292;5,5868721;2014-06-01
"115";2014;7;165618,828125;47,2193947;76,4760208;8,3131533;33,2325249;5,5930433;5,5984387;2014-07-01
"116";2014;8;166433,671875;47,4255829;76,8686295;8,354495;33,3790588;5,6137094;5,6083946;2014-08-01
"117";2014;9;167093,734375;47,5926094;77,1643524;8,3852148;33,4877853;5,6311264;5,6174498;2014-09-01
"118";2014;10;167093,265625;47,5924644;77,1643524;8,3852158;33,4877014;5,6311154;5,6174293;2014-10-01
"119";2014;11;167092,46875;47,5924301;77,1643524;8,3852158;33,4875641;5,6311135;5,6174212;2014-11-01
"120";2014;12;167092,25;47,5924263;77,1643524;8,3852158;33,4875221;5,6311135;5,6174202;2014-12-01
"121";2015;1;167092,1875;47,5924263;77,1643524;8,3852158;33,4875107;5,6311135;5,6174202;2015-01-01
"122";2015;2;167092,15625;47,5924263;77,1643524;8,3852158;33,4875069;5,6311135;5,6174202;2015-02-01
"123";2015;3;167092,0625;47,5924263;77,1643524;8,3852158;33,4874916;5,6311135;5,6174202;2015-03-01
"124";2015;4;167173,25;47,5959244;77,1673508;8,3854284;33,5017166;5,6318064;5,6179175;2015-04-01
"125";2015;5;168792,75;47,8380051;77,5829239;8,4268255;33,7854424;5,6703196;5,6304836;2015-05-01
"126";2015;6;169926,90625;48,125;78,0625305;8,4771566;33,9642258;5,6943974;5,6410398;2015-06-01
"127";2015;7;170803,765625;48,3468819;78,4339142;8,5161972;34,1026497;5,7183237;5,6503949;2015-07-01
"128";2015;8;171223,84375;48,4531822;78,638092;8,5377512;34,1791153;5,729084;5,6554427;2015-08-01
"129";2015;9;171703,09375;48,5744476;78,85466;8,5602989;34,2589912;5,7418475;5,6618891;2015-09-01
"130";2015;10;171702,640625;48,5743141;78,85466;8,5602989;34,2589149;5,7418375;5,6618705;2015-10-01
"131";2015;11;171701,859375;48,5742874;78,85466;8,5602989;34,2587738;5,7418361;5,6618624;2015-11-01
"132";2015;12;171701,640625;48,5742798;78,85466;8,5602989;34,2587395;5,7418361;5,6618619;2015-12-01
"133";2016;1;171701,578125;48,5742798;78,85466;8,5602989;34,2587318;5,7418361;5,6618619;2016-01-01
"134";2016;2;171701,546875;48,5742798;78,85466;8,5602989;34,2587242;5,7418361;5,6618619;2016-02-01
"135";2016;3;171701,46875;48,5742798;78,85466;8,5602989;34,258709;5,7418361;5,6618619;2016-03-01
"136";2016;4;171784,828125;48,5779114;78,8577652;8,5605221;34,2733116;5,7425551;5,6623778;2016-04-01
"137";2016;5;173466,796875;48,8364105;79,2965164;8,6044855;34,5679893;5,7834511;5,6757898;2016-05-01
"138";2016;6;174668,921875;49,1406059;79,8110809;8,6586065;34,760437;5,8092799;5,6871872;2016-06-01
"139";2016;7;175349,03125;49,3127022;80,1026611;8,6893244;34,8694992;5,8280621;5,6945825;2016-07-01
"140";2016;8;175724,5625;49,4077377;80,2874451;8,7088776;34,9389496;5,8377986;5,6992731;2016-08-01
"141";2016;9;176164,59375;49,5190849;80,4887085;8,7298775;35,0134315;5,8496585;5,7052917;2016-09-01
"142";2016;10;176164,15625;49,518959;80,4887085;8,7298784;35,0133591;5,849649;5,7052732;2016-10-01
"143";2016;11;176163,375;49,5189285;80,4887085;8,7298784;35,0132217;5,849647;5,705265;2016-11-01
"144";2016;12;176163,15625;49,5189247;80,4887085;8,7298784;35,0131836;5,849647;5,705265;2016-12-01
"145";2017;1;176163,109375;49,5189247;80,4887085;8,7298784;35,013176;5,849647;5,705265;2017-01-01
"146";2017;2;176163,0625;49,5189285;80,4887085;8,7298784;35,0131721;5,849647;5,705265;2017-02-01
"147";2017;3;176162,984375;49,5189285;80,4887085;8,7298784;35,0131607;5,849647;5,705265;2017-03-01
"148";2017;4;176245,59375;49,5225143;80,4917755;8,7300978;35,0276299;5,8503585;5,7057748;2017-04-01
"149";2017;5;177925,375;49,7820663;80,9321671;8,7743158;35,3219185;5,891449;5,7193227;2017-05-01
"150";2017;6;179191,125;50,1023598;81,4771194;8,8317881;35,5264053;5,9188552;5,7338343;2017-06-01
"151";2017;7;180169,84375;50,3500137;81,8991776;8,8763752;35,6847878;5,9460959;5,7446404;2017-07-01
"152";2017;8;180815,1875;50,5133133;82,2185745;8,9102688;35,8052444;5,9629607;5,7526121;2017-08-01
"153";2017;9;181300,21875;50,6360474;82,4416733;8,9336061;35,8880615;5,9761291;5,7592707;2017-09-01
"154";2017;10;181299,828125;50,6359291;82,4416809;8,9336061;35,8879929;5,9761205;5,759254;2017-10-01
"155";2017;11;181299,0625;50,6358986;82,4416809;8,9336061;35,8878593;5,9761181;5,7592468;2017-11-01
"156";2017;12;181298,84375;50,6358948;82,4416733;8,9336071;35,887825;5,9761181;5,7592463;2017-12-01
"157";2018;1;181298,78125;50,6358948;82,4416733;8,9336071;35,8878136;5,9761181;5,7592463;2018-01-01
"158";2018;2;181298,75;50,6358948;82,4416733;8,9336071;35,8878059;5,9761181;5,7592463;2018-02-01
"159";2018;3;181298,671875;50,6358948;82,4416733;8,9336071;35,8877945;5,9761181;5,7592463;2018-03-01
"160";2018;4;181385,78125;50,6398888;82,4450378;8,9338512;35,9030571;5,9769073;5,7598119;2018-04-01
"161";2018;5;183162,125;50,9147606;82,9233475;8,9829102;36,2142639;6,0229383;5,7759662;2018-05-01
"162";2018;6;184408,375;51,2301254;83,4631424;9,0399323;36,4173012;6,0501127;5,7920027;2018-06-01
"163";2018;7;185205,546875;51,4318504;83,8090057;9,0765314;36,547493;6,0724587;5,8009753;2018-07-01
"164";2018;8;185857,75;51,5968857;84,1337738;9,1110506;36,6703606;6,0896258;5,8091984;2018-08-01
"165";2018;9;186345,21875;51,7202339;84,3593445;9,1346827;36,7543449;6,1029515;5,8159509;2018-09-01
"166";2018;10;186344,84375;51,7201233;84,3593445;9,1346827;36,7542801;6,1029429;5,8159351;2018-10-01
"167";2018;11;186344,09375;51,7200966;84,3593445;9,1346827;36,7541466;6,1029415;5,815928;2018-11-01
"168";2018;12;186343,890625;51,720089;84,3593445;9,1346827;36,7541084;6,1029415;5,815928;2018-12-01
"169";2019;1;186343,828125;51,720089;84,3593445;9,1346827;36,7541008;6,1029415;5,815928;2019-01-01
"170";2019;2;186343,78125;51,720089;84,3593445;9,1346827;36,7540932;6,102942;5,815928;2019-02-01
"171";2019;3;186343,71875;51,720089;84,3593445;9,1346827;36,7540817;6,102942;5,815928;2019-03-01
"172";2019;4;186428,71875;51,7239532;84,3626099;9,1349182;36,7689705;6,1037083;5,8164754;2019-04-01
"173";2019;5;188187,171875;52,0250816;84,8399963;9,1840105;37,0770416;6,1496577;5,8499851;2019-05-01
"174";2019;6;189349,625;52,3192406;85,3486099;9,2379827;37,2693481;6,1753354;5,8615575;2019-06-01
"175";2019;7;190172,75;52,5275269;85,7093811;9,2763357;37,4058647;6,1987123;5,8709083;2019-07-01
"176";2019;8;190547,515625;52,622364;85,8971786;9,2964725;37,477581;6,2087111;5,8756723;2019-08-01
"177";2019;9;190982,578125;52,7324524;86,1014252;9,3178644;37,5536423;6,2207518;5,881742;2019-09-01
"178";2019;10;190982,21875;52,7323532;86,1014252;9,3178644;37,5535812;6,2207441;5,8817277;2019-10-01
"179";2019;11;190981,5;52,7323303;86,1014328;9,3178644;37,5534554;6,2207422;5,881721;2019-11-01
"180";2019;12;190981,3125;52,7323303;86,1014252;9,3178644;37,553421;6,2207422;5,8817196;2019-12-01
"181";2020;1;190981,25;52,7323303;86,1014252;9,3178644;37,5534134;6,2207422;5,8817196;2020-01-01
"182";2020;2;190981,21875;52,7323341;86,1014252;9,3178644;37,5534019;6,2207422;5,8817196;2020-02-01
"183";2020;3;190981,125;52,7323341;86,1014252;9,3178644;37,5533867;6,2207422;5,8817196;2020-03-01
"184";2020;4;191066,234375;52,7363625;86,1047516;9,3181086;37,5682983;6,2215371;5,8822875;2020-04-01
"185";2020;5;192835,625;53,0331268;86,5941544;9,3693972;37,8782845;6,2699251;5,918232;2020-05-01
"186";2020;6;194032,1875;53,335907;87,1197128;9,4253979;38,077858;6,2965741;5,9341259;2020-06-01
"187";2020;7;194698,71875;53,50457;87,4129791;9,4567051;38,1893883;6,3156633;5,9419727;2020-07-01
"188";2020;8;195330,921875;53,6645508;87,7297821;9,490963;38,3114891;6,3326783;5,9503779;2020-08-01
"189";2020;9;195802,15625;53,7837906;87,9528198;9,5143042;38,3945465;6,3458185;5,9571028;2020-09-01
"190";2020;10;195801,84375;53,7837029;87,9528198;9,5143042;38,3944931;6,3458123;5,9570889;2020-10-01
"191";2020;11;195801,15625;53,78368;87,9528198;9,5143042;38,394371;6,3458099;5,9570832;2020-11-01
"192";2020;12;195800,953125;53,78368;87,9528198;9,5143042;38,3943367;6,3458099;5,9570823;2020-12-01
"193";2021;1;195800,90625;53,78368;87,9528198;9,5143042;38,3943329;6,3458099;5,9570823;2021-01-01
"194";2021;2;195800,859375;53,78368;87,9528198;9,5143042;38,3943253;6,3458099;5,9570823;2021-02-01
"195";2021;3;195800,78125;53,78368;87,9528198;9,5143042;38,3943138;6,3458099;5,9570823;2021-03-01
"196";2021;4;195883,03125;53,7873802;87,9559631;9,5145311;38,4087219;6,3465452;5,9576068;2021-04-01
"197";2021;5;197608,78125;54,0833168;88,4262085;9,5630093;38,7110672;6,3918972;5,9912271;2021-05-01
"198";2021;6;198872,65625;54,4031334;88,9828033;9,6223793;38,9232254;6,4201684;6,0038552;2021-06-01
"199";2021;7;199773,359375;54,6310577;89,3801651;9,6648436;39,0748138;6,4460778;6,0142045;2021-07-01
"200";2021;8;200195,078125;54,7377739;89,5914917;9,6877804;39,1567345;6,4574785;6,0196571;2021-08-01
"201";2021;9;200620,25;54,8453598;89,7938614;9,7089176;39,2321014;6,4693847;6,0256896;2021-09-01
"202";2021;10;200619,96875;54,8452797;89,7938614;9,7089176;39,232048;6,469378;6,0256767;2021-10-01
"203";2021;11;200619,28125;54,845253;89,7938614;9,7089176;39,2319298;6,469377;6,025671;2021-11-01
