"";"Ca";"Mg";"K";"Na";"NH4";"Al";"group_id";"Date"
"19088";0,001489;0,0314646;0,8894981;0,5447867;0,0006918;1269,717041;"4";2107-08-01
"19089";0,0033534;0,0407004;0,8954278;0,6992269;0,0005124;1269,6433105;"4";2107-09-01
"19090";0,0046996;0,0455504;0,8972226;0,7262909;0,0002961;1269,6246338;"4";2107-10-01
"19091";0;0,0621375;0,9136308;0,5764559;0,0001051;1269,644043;"4";2107-11-01
"19092";0;0,0611953;0,8892847;0,6142117;0,0001057;1269,6462402;"4";2107-12-01
"19093";0;0,0596012;0,8679593;0,6700258;6,88e-05;1269,701416;"4";2108-01-01
"19094";0;0,0506305;0,8381308;0,6498842;0;1269,7299805;"4";2108-02-01
"19095";0;0,0490251;0,8120888;0,5905784;0,0001014;1269,7669678;"4";2108-03-01
"19096";0;0,044957;0,7844656;0,5659544;0,0001097;1269,7783203;"4";2108-04-01
"19097";0;0,0376543;0,75866;0,5545407;0,0002081;1269,7810059;"4";2108-05-01
"19098";0;0,0327845;0,7358478;0,5365182;0,0003262;1269,7802734;"4";2108-06-01
"19099";0;0,0260545;0,7241312;0,5242329;0,0008531;1269,7783203;"4";2108-07-01
"19100";0,0015097;0,0314183;0,7291705;0,6107349;0,0006475;1269,7314453;"4";2108-08-01
"19101";0,0034377;0,0411161;0,7344447;0,7868165;0,0004845;1269,6479492;"4";2108-09-01
"19102";0,0048164;0,0460138;0,7361542;0,8171763;0,000282;1269,6264648;"4";2108-10-01
"19103";0;0,0637884;0,7462533;0,5486959;0,0001063;1269,6970215;"4";2108-11-01
"19104";0;0,0625253;0,7270105;0,5705106;0,0001065;1269,708252;"4";2108-12-01
"19105";0;0,0600053;0,7108387;0,6329564;6,92e-05;1269,7613525;"4";2109-01-01
"19106";0;0,0512881;0,6868306;0,6283842;0;1269,7838135;"4";2109-02-01
"19107";0;0,050143;0,6661079;0,6250996;0,0001172;1269,7979736;"4";2109-03-01
"19108";0;0,0467933;0,643931;0,6228669;0,0001457;1269,8005371;"4";2109-04-01
"19109";0;0,0396654;0,6190414;0,6151741;0,0002601;1269,8032227;"4";2109-05-01
"19110";0;0,03539;0,6000304;0,6073784;0,0003666;1269,7961426;"4";2109-06-01
"19111";0;0,0283659;0,5910305;0,5952502;0,000872;1269,7927246;"4";2109-07-01
"19112";0,0014969;0,034106;0,5956418;0,6935056;0,0006586;1269,7424316;"4";2109-08-01
"19113";0,0033663;0,0439817;0,600278;0,8893341;0,0004885;1269,6516113;"4";2109-09-01
"19114";0,0046931;0,0489069;0,6018857;0,9217574;0,0002827;1269,6293945;"4";2109-10-01
"19115";0;0,0620348;0,6096141;0,4981231;0,0001048;1269,7558594;"4";2109-11-01
"19116";0;0,059939;0,5949032;0,5439653;0,0001045;1269,7543945;"4";2109-12-01
"19117";0;0,0564917;0,5828522;0,5341403;9,49e-05;1269,8314209;"4";2110-01-01
"19118";0;0,0484317;0,5635215;0,5154185;4,94e-05;1269,8572998;"4";2110-02-01
"19119";0;0,0462814;0,5473258;0,4981966;0,0001359;1269,8771973;"4";2110-03-01
