 ;;µmol/kg;;;kg/ha;;
 YEAR;Month;SO4;PO4;Chloride;SO4;PO4;Chloride
        2014;           9;   3048.4123535;   9994.5068359;     77.4681931;    121.1668243;    383.7378540;     20.4270859
        2014;          10;   3048.4123535;   9994.5068359;     75.1386414;    121.1668243;    383.7378540;     19.8128185
        2014;          11;   3048.4123535;   9994.5068359;     75.6723633;    121.1668243;    383.7378540;     19.9535561
        2014;          12;   3048.4123535;   9994.5068359;     74.5525284;    121.1668243;    383.7378540;     19.6582737
        2015;           1;   3048.4123535;   9994.5068359;     75.0780640;    121.1668243;    383.7378540;     19.7968483
        2015;           2;   3048.4123535;   9994.5068359;     73.4067535;    121.1668243;    383.7378540;     19.3561535
        2015;           3;   3048.4123535;   9994.5068359;     73.5422821;    121.1668243;    383.7378540;     19.3918877
        2015;           4;   3048.4123535;   9994.5068359;     74.9561386;    121.1668243;    383.7378540;     19.7646980
        2015;           5;   3048.4123535;   9994.5068359;     77.3145981;    121.1668243;    383.7378540;     20.3865852
        2015;           6;   3048.4123535;   9994.5068359;     79.8700027;    121.1668243;    383.7378540;     21.0604038
        2015;           7;   3048.4123535;   9994.5068359;     79.9535294;    121.1668243;    383.7378540;     21.0824280
        2015;           8;   3048.4123535;   9994.5068359;     79.8700027;    121.1668243;    383.7378540;     21.0604038
        2015;           9;   3048.4123535;   9994.5068359;     79.8700027;    121.1668243;    383.7378540;     21.0604038
        2015;          10;   3048.4123535;   9994.5068359;     79.8700027;    121.1668243;    383.7378540;     21.0604038
        2015;          11;   3048.4123535;   9994.5068359;     77.2629929;    121.1668243;    383.7378540;     20.3729763
        2015;          12;   3048.4123535;   9994.5068359;     73.9744186;    121.1668243;    383.7378540;     19.5058346
