"","YEAR","Ca","Mg","K","Na","NO3","NH4","SO4","Cl","P","DOC","Al","Si"
"93",2097,0,1.393072,0.0039078,15.9078164,7.4339076,0.2781425,5.4132138,19.4695092,0.0465514,10.7374961,0.269529,8.2888411
"94",2098,0,1.578607,0.0033233,16.1259697,7.8604713,0.2781274,5.459576,18.9153263,0.0471038,10.7392017,0.2643995,8.2506177
"95",2099,0,1.8131684,0.0030642,16.6099334,7.2799372,0.2808473,5.432893,27.8598497,0.0474575,10.7408104,0.2935044,8.2407526
"96",2100,0,1.5144559,0.0024542,15.9327369,7.1832219,0.2594518,5.2139316,19.0577628,0.0437925,10.7423746,0.2652406,8.2453087
"97",2101,0,1.6548565,0.0020911,16.0541299,7.44801,0.2643786,5.3656815,18.9153263,0.0437457,10.74387,0.2615268,8.2218164
"98",2102,0,1.9148408,0.001949,16.6561017,7.3949758,0.2786,5.3418313,27.8598497,0.043658,10.745261,0.2929907,8.2045407
"99",2103,0,1.6337933,0.0015811,15.9937815,7.4958478,0.2638885,5.3484811,19.0577628,0.0434285,10.7465481,0.2647195,8.2018635
"100",2104,0,1.7751732,0.0013467,16.0414269,7.7273192,0.2671485,5.2279738,18.9153263,0.0439113,10.7477424,0.2603706,8.1833918
"101",2105,0,2.0459969,0.0012597,16.6432517,7.6544826,0.2810758,5.2270382,27.8598497,0.0441514,10.7488299,0.2908442,8.1694736
"102",2106,0,1.740447,0.0010229,15.9872999,7.6669822,0.2646093,5.2255025,19.0577628,0.0436582,10.7498353,0.263964,8.1720575
"103",2107,0,1.8686651,0.0008686,16.014126,7.7950101,0.2661287,5.2703943,18.9153263,0.0427817,10.7507884,0.2599131,8.1584341
"104",2108,0,2.1284842,0.0008029,16.6310806,7.6422758,0.2782935,5.2459718,27.8598497,0.0418747,10.7516934,0.2901146,8.1464679
"105",2109,0,1.9136133,0.0006757,16.2761766,9.112321,0.2713365,5.2540153,19.0577628,0.0535915,10.7699924,0.2656673,8.1307017
"106",2110,0.1083122,3.8346496,0.0009214,18.0016533,29.6143629,0.5972384,5.304285,18.9153263,0.1148483,10.7920629,0.3868338,7.6870212
"107",2111,0.8050712,4.823318,0.0012123,17.1136903,34.5366373,0.7682086,5.3042625,27.8598497,0.1148272,10.776463,0.4517059,7.5226958
"108",2112,1.8622495,4.687365,0.0013194,15.9824445,32.5853032,0.7483464,5.2963662,19.0577628,0.113466,10.7608828,0.4043341,7.6052308
"109",2113,3.1066865,4.9575692,0.0014416,15.5925599,31.3648797,0.7421149,5.2963435,18.9153263,0.1134381,10.7473859,0.387195,7.6764611
"110",2114,4.2872092,5.112955,0.0016205,16.2966422,29.8302816,0.7532443,5.2963206,27.8598497,0.1134127,10.7356663,0.3975267,7.7500406
"111",2115,4.5637479,4.633935,0.0017026,16.0026034,28.8526036,0.731151,5.2962976,19.0577628,0.113385,10.7254592,0.362728,7.8281138
"112",2116,5.0654514,4.7142432,0.0018338,15.7680605,28.2835908,0.730537,5.296275,18.9153263,0.1133579,10.7165406,0.3544996,7.8858023
"113",2117,5.3016839,4.6358545,0.0020065,16.2756723,25.1923512,0.7230349,5.2647553,27.8598497,0.1080034,10.708718,0.3615105,7.9724523
"114",2118,4.2732247,3.90729,0.0020032,15.8659527,22.3276575,0.6699399,5.2504476,19.0577628,0.1026702,10.7018299,0.3204335,8.0767396
"115",2119,3.4139052,3.7532418,0.00204,15.6978182,19.805102,0.638315,5.2384219,18.9153263,0.0954919,10.6957384,0.3081996,8.1594436
"116",2120,2.4691671,3.7107554,0.0021769,16.3416357,16.9525844,0.6255004,5.2299607,27.8598497,0.0890048,10.6903291,0.325808,8.2460168
"117",2121,0.6645128,3.0232447,0.0021154,15.9333519,14.7742277,0.5682416,5.2270471,19.0577628,0.0826011,10.6855027,0.2985721,8.3423218
"118",2122,0,2.8797025,0.0021256,15.8756052,13.2345815,0.5386704,5.2487145,18.9153263,0.0773711,10.6811722,0.2916229,8.4087098
"119",2123,0,2.3616225,0.0020213,15.63468,6.3500767,0.3405971,5.2438733,27.8598497,0.0434749,10.6791222,0.2884392,8.5744271
"120",2124,0,1.5410562,0.0016738,15.2823286,3.7751286,0.1925575,5.2563859,19.0577628,0.0401641,10.6800141,0.2542521,8.6620467
"121",2125,0,1.4290603,0.0015708,15.9560222,3.7108224,0.1880247,5.2669823,18.9153263,0.0384323,10.6805644,0.2500034,8.6473355
"122",2126,0,1.595447,0.0016183,16.5796056,2.8957205,0.1766184,5.2661775,27.8598497,0.055551,10.6810032,0.2787852,8.6464056
"123",2127,0,1.5296155,0.0015336,16.6651476,7.3666718,0.2825976,5.2713094,19.0577628,0.0651118,10.6820355,0.261119,8.5642158
"124",2128,0,1.7242839,0.0015136,16.6073294,9.6931783,0.3736668,5.268571,18.9153263,0.0667542,10.6838516,0.2653054,8.449721
"125",2129,0,1.8562005,0.0015469,16.7217054,9.1131721,0.3796946,5.2621859,27.8598497,0.0586651,10.6865028,0.2991009,8.4230367
"126",2130,0,1.516489,0.001442,15.9190157,8.5553581,0.336053,5.2652516,19.0577628,0.0592539,10.6889522,0.2698337,8.4246392
"127",2131,0,1.5882651,0.0014599,16.0237666,8.5051603,0.3209572,5.2631767,18.9153263,0.0594473,10.6907133,0.265833,8.3953706
"128",2132,0,1.7404543,0.0015937,16.6032362,8.0163938,0.3309801,5.2567925,27.8598497,0.0495208,10.6924149,0.2967063,8.3905452
"129",2133,0,1.4108004,0.0014809,15.7775226,7.6837875,0.2191203,5.1884158,19.3687875,0.0505554,9.6546187,0.2212033,8.4637798
"130",2134,0,1.5986184,0.0015792,16.2120317,7.6677185,0.1771392,5.190656,24.0349594,0.0530756,9.6401528,0.2483099,8.4157292
"131",2135,0,1.714839,0.0017568,16.7465444,7.3564252,0.1868285,5.1826972,34.8891257,0.0435716,9.6420329,0.2932856,8.4017184
"132",2136,0,1.4988727,0.0017494,16.2966667,7.149741,0.1743051,5.1850643,31.6590632,0.0465633,9.6439295,0.2673417,8.4045826
"133",2137,0,1.3824195,0.001661,15.5130971,7.379398,0.2386518,5.2571603,20.2445051,0.049773,10.6855747,0.270239,8.318115
"134",2138,0,1.3194926,0.0014854,16.0315233,7.0710272,0.2596398,5.2527874,13.4048259,0.0448023,10.7035204,0.2592454,8.3219304
"135",2139,0,1.4823766,0.0014685,16.544136,6.9873045,0.2597744,5.2537375,16.8169505,0.0456908,10.7051821,0.2525038,8.3073861
"136",2140,0,1.6557141,0.0014878,16.1551845,7.2612131,0.2647098,5.2545583,19.9690355,0.0462408,10.7068669,0.2680266,8.2795846
"137",2141,0,1.9109555,0.0016104,16.7488898,6.3355104,0.2734478,5.251373,33.9309538,0.0465708,10.708495,0.2993401,8.2851689
"138",2142,0,1.4523758,0.0014238,15.619103,6.137212,0.2458785,5.2521672,22.2144113,0.0430765,10.7101302,0.2820079,8.2973996
"139",2143,0,1.5631181,0.0012994,15.9419945,6.4463705,0.2451937,5.2541171,18.8836319,0.0434461,10.7117164,0.2586348,8.2715745
"140",2144,0,1.8994282,0.0013524,16.6744758,6.3882583,0.2561583,5.1974899,27.8598497,0.0456656,10.7131831,0.2877275,8.2484299
"141",2145,0,1.6128079,0.0012114,15.9262314,6.448196,0.2403286,5.1374675,19.0577628,0.0427691,10.7145568,0.2608049,8.2450282
"142",2146,0,1.734019,0.0011404,16.0500484,6.6947092,0.2451322,5.1377463,18.9153263,0.0432822,10.7158408,0.2571389,8.2225722
"143",2147,0,2.0531769,0.0011811,16.6805464,6.6634625,0.259291,5.1369568,27.8598497,0.0435268,10.7170099,0.2873165,8.2078974
"144",2148,0,1.7370378,0.0010527,15.921514,6.6772266,0.2437625,5.1862786,19.0577628,0.0430406,10.7180885,0.2595122,8.2113141
"145",2149,0,1.8361898,0.0009773,16.0037372,6.7970948,0.2448836,5.1573906,18.9153263,0.0431691,10.7191042,0.255345,8.1965928
"146",2150,0,2.1306866,0.000997,16.6549559,6.6597812,0.2568345,5.155845,27.8598497,0.0425151,10.7200628,0.285848,8.1861066
"147",2151,0,1.8970726,0.0009056,16.2391979,8.0961699,0.2497155,5.1134405,19.0577628,0.0540441,10.7382279,0.2611087,8.1681444
"148",2152,0.091408,3.8497561,0.0013163,18.1531162,27.8248039,0.5670339,5.0995269,18.9153263,0.1137798,10.7601212,0.3734668,7.7177785
"149",2153,0.7099022,4.8627567,0.0018297,17.1999454,32.6557337,0.7360007,5.0995049,27.8598497,0.1137598,10.7447468,0.4381106,7.555208
"150",2154,1.6842488,4.6417274,0.0020826,15.9716109,30.7915692,0.7175404,5.0916091,19.0577628,0.1123997,10.729385,0.3941659,7.6377204
"151",2155,2.8722759,4.8864297,0.0023571,15.5941417,29.6396331,0.7111218,5.0915872,18.9153263,0.1123727,10.7160741,0.3778771,7.7067979
"152",2156,4.0515427,5.0598323,0.0027454,16.2896831,28.1823795,0.7234286,5.0915656,27.8598497,0.1123483,10.7045146,0.3896568,7.7806932
"153",2157,4.3396737,4.5657202,0.0029571,15.9734566,27.2619429,0.7003223,5.0915433,19.0577628,0.1123214,10.6944459,0.3539939,7.8602724
"154",2158,4.8630746,4.6536101,0.0032643,15.7701147,26.7352918,0.7002937,5.0915213,18.9153263,0.1122954,10.6856454,0.3458119,7.9186326
"155",2159,5.1425145,4.6072594,0.0036523,16.2616188,23.6996093,0.6921349,5.0600028,27.8598497,0.1069418,10.6779278,0.3511406,8.0064651
"156",2160,4.1529093,3.8618781,0.0037054,15.8209915,20.87346,0.6384818,5.0971229,19.0577628,0.1016093,10.6711294,0.311644,8.1109584
"157",2161,3.3347643,3.7066431,0.0038219,15.6826786,18.3784223,0.6057673,5.0562832,18.9153263,0.0944318,10.6651182,0.2981756,8.193386
"158",2162,2.4643778,3.6985912,0.004133,16.3251068,15.5682839,0.5906569,5.0023011,27.8598497,0.0879457,10.6597795,0.317692,8.2801215
"159",2163,0.7382834,3.011282,0.0040411,15.8900578,13.4193816,0.5323512,4.9977231,19.0577628,0.0815368,10.6550127,0.2879739,8.3770308
"160",2164,0.0012201,2.8581436,0.0040762,15.8621359,11.8967201,0.4976844,4.8727786,18.9153263,0.0763134,10.6507361,0.280806,8.4437848
"161",2165,0,2.4012663,0.0039286,15.6703093,5.5849456,0.3137168,4.7792188,27.8598497,0.0424182,10.6487375,0.2818084,8.603354
"162",2166,0,1.5717441,0.003267,15.2313354,3.2047262,0.1723793,4.7746584,19.0577628,0.039108,10.6496769,0.2488409,8.6881648
"163",2167,0,1.4222002,0.0030742,15.9456984,3.1454769,0.1676012,4.7904743,18.9153263,0.0375602,10.6502883,0.2446931,8.672255
"164",2168,0,1.5947015,0.0031989,16.6261474,2.4230122,0.1555538,4.7902142,27.8598497,0.0539852,10.650772,0.2737218,8.6658008
"165",2169,0,1.4613822,0.0029779,16.4334426,5.6306868,0.232762,4.7953895,19.0577628,0.0624806,10.6518247,0.2533004,8.6169746
"166",2170,0,1.6933777,0.0029462,16.7129721,8.4934539,0.3308631,4.7927267,18.9153263,0.0665143,10.6536401,0.2575002,8.4906285
"167",2171,0,1.8860099,0.0031295,16.857915,8.3885277,0.354562,4.7864038,27.8598497,0.0586998,10.6562694,0.293111,8.4427777
"168",2172,0,1.5348166,0.0029841,15.8999437,7.830814,0.3120286,4.7894877,19.0577628,0.0591665,10.6586833,0.2650782,8.4433093
"169",2173,0,1.6039913,0.0030153,16.025392,7.7740556,0.2977102,4.7870293,18.9153263,0.0593595,10.6603973,0.2601826,8.416397
"170",2174,0,1.7815276,0.0032907,16.6236548,7.3015763,0.3082492,4.841658,27.8598497,0.0495711,10.6620475,0.2914507,8.4131364
"171",2175,0,1.4520749,0.0030835,15.8604773,7.0443327,0.2780731,4.8055644,19.0577628,0.0509231,10.6637768,0.2626542,8.4156347
"172",2176,0,1.5363996,0.0030686,16.042496,7.1604742,0.2721074,4.8076384,18.9153263,0.0540616,10.6654721,0.2584352,8.3815646
"173",2177,0,1.7325732,0.0032534,16.5182106,6.7911076,0.2054673,4.7351001,27.3556508,0.0431679,9.6292727,0.2100865,8.4441227
"174",2178,0,1.6032063,0.0033202,16.4506433,6.423271,0.1557968,4.7377166,28.7724047,0.0464524,9.6150334,0.237835,8.4331512
"175",2179,0,1.5146781,0.0032129,15.7683353,6.5633845,0.1473527,4.7394665,22.4555116,0.0481221,9.616906,0.2085235,8.4056572
"176",2180,0,1.6984454,0.0035261,16.6774109,6.2278746,0.1555807,4.7349354,34.5838837,0.0436164,9.6186911,0.2660281,8.3902091
"177",2181,0,1.512086,0.0034644,16.3741903,6.2229064,0.2201326,4.7999399,29.8148285,0.0449627,10.6586179,0.2915601,8.3163526
"178",2182,0,1.6146333,0.0033293,16.0133498,6.5090608,0.2586887,4.8006126,26.3644491,0.0454514,10.6763403,0.263622,8.3038522
"179",2183,0,1.5810111,0.0032682,16.0494264,5.6195639,0.2455122,4.7982821,27.2161228,0.0457808,10.6778802,0.2653192,8.3193999
"180",2184,0,1.419682,0.0029814,15.8348094,5.4320846,0.2273613,4.7990164,22.186506,0.0423504,10.6794973,0.2729461,8.3302213
"181",2185,0,1.5638,0.0029354,16.0089332,5.6815977,0.2329019,4.8009174,23.0340949,0.0435231,10.6810841,0.2737213,8.3019168
"182",2186,0,1.8498284,0.0029902,16.6358388,5.6157305,0.2359225,4.7973554,28.6560898,0.0456897,10.6825633,0.2881317,8.2786309
"183",2187,0,1.5661754,0.0026684,15.8381432,5.6567695,0.219162,4.7968711,19.1280013,0.0420617,10.6839634,0.256237,8.2777707
"184",2188,0,1.6983708,0.0025381,16.0280763,5.8838233,0.2233723,4.7972804,18.9153263,0.0425835,10.6852795,0.2517491,8.2577044
"185",2189,0,2.043953,0.0026841,16.7087062,5.8708677,0.2376578,4.796463,27.8598497,0.0428356,10.6864838,0.2815727,8.2399897
"186",2190,0,1.7128347,0.0024296,15.88207,5.8951774,0.2225093,4.7949764,19.0577628,0.0423513,10.6875944,0.25508,8.2424705
"187",2191,0,1.8118576,0.0023067,16.0169426,5.996568,0.2240832,4.7943752,18.9153263,0.042475,10.6886436,0.2506687,8.2270331
