;Min Manual;Uptake;Leach;Diff_Manual;Minz;Somz;Diff_Minz;Diff_SOMZ;MB_Minz
441;22.343006;22.6412849;5.4288723;-5.1305934;51.6094322;12.5219336;-23.539275;15.5482236;-0.672028
442;6.537314;0;21.2112113;-27.7485253;69.2864456;10.8719692;-48.0752343;10.3392421;-2.942226
443;4.545198;0;25.0699991;-29.6151971;60.849884;9.8072138;-35.7798849;15.2627853;-1.090306
444;4.053112;0.6724599;23.4059477;-26.7865998;53.284893;9.4168959;-29.2064854;14.6615117;-0.594356
445;4.049164;0.6724599;22.3918309;-25.768535;46.7597771;9.2895966;-23.6954863;13.7746942;-0.480186
446;4.229204;0.6724599;21.1278629;-24.684607;41.1244011;9.2994804;-19.3240783;12.5008424;-0.469924
447;4.496352;0.6724599;20.3409316;-24.1648237;36.2499161;9.3904486;-15.2365246;11.6229429;-0.48566
448;4.815132;0.6724599;19.9015247;-24.0441968;32.0267868;9.5397882;-11.4528022;11.0341964;-0.505848
449;5.165664;3.3622994;17.0114826;-18.8148472;28.3616886;9.7310734;-7.9879066;10.6427086;-0.524888
450;5.536034;5.4896593;14.2774344;-14.3238091;25.1752148;9.9537497;-5.4081211;9.813344;-0.541632
451;5.918556;7.8397985;11.8417148;-9.9204723;22.3996944;10.1972637;-2.7181811;9.4842496;-0.555912
452;6.304228;9.7398653;9.1641034;-5.7284661;19.9774151;10.4544029;-1.0734464;8.4495658;-0.568078
453;6.811434;11.514596;7.2653068;-2.5621448;17.8592148;10.7198229;0.920688;8.0600799;-0.48657
454;7.39375;12.8931475;6.0601335;-0.560736;16.0030537;10.9889832;2.9502273;7.9642978;-0.410452
455;15.778686;22.3455143;2.7262416;3.8405867;15.2471781;12.2748127;9.8245778;12.7969432;1.175972
456;18.462934;20.649332;1.447748;0.73865;15.8265953;12.9893246;6.2704847;9.1077554;0.024136
457;19.234222;20.8333435;1.3947864;0.2043351;16.2863579;13.2571507;5.941772;8.9709792;-0.22652
458;22.357818;21.3315964;0.878515;-1.9047366;16.8854103;13.7209358;5.3247011;8.4891756;0.168924
459;25.326476;21.3680229;1.6128733;-5.5713264;17.9062576;14.0053244;5.0746386;8.9755718;0.242452
460;16.044896;21.8361492;4.1603612;1.630892;19.4291439;14.2433605;6.5673665;11.7531499;-2.299598
461;16.839032;22.014349;4.5425364;0.6327806;21.3844776;14.5187998;5.1724078;12.0380856;-0.572768
462;16.595922;22.0744019;4.0588708;1.4196091;23.2637062;14.5616789;2.8695665;11.5715938;-0.528626
463;16.223256;22.3615284;4.0325226;2.1057498;24.8328896;14.5250788;1.5611614;11.8689722;-0.576618
464;19.389216;22.3407497;3.8114961;-0.8599624;26.3567524;14.5352316;-0.2045066;11.6170142;0.076958
465;19.036696;22.5819263;3.6809199;-0.1356896;27.8234444;14.53403;-1.5605982;11.7288162;-0.396928
466;18.013142;22.7619267;3.7385904;1.0101943;29.2161083;14.4275656;-2.7155912;12.0729515;-0.638218
467;21.02555;22.7070732;3.6638188;-1.9822956;30.5326328;14.3687916;-4.1617408;12.0021004;0.146048
468;20.603688;22.9047165;3.6593503;-1.3583218;31.7677917;14.3016014;-5.2037249;12.2624654;-0.348684
469;19.415004;23.0852394;3.7085864;-0.038351;32.9258232;14.1582708;-6.1319974;12.635555;-0.64953
470;21.975212;22.9804001;3.5673104;-2.5621223;34.0168076;14.0575542;-7.4690971;12.4901563;0.100016
471;21.61873;23.1317711;3.5938375;-2.0807964;35.0490646;13.9446802;-8.323456;12.7809284;-0.32683
472;20.45827;23.2672043;3.7192077;-0.9102734;36.0020409;13.7595396;-9.0156289;13.2268724;-0.569856
473;21.374738;23.1454887;3.4847164;-1.7139657;36.8823166;13.6329069;-10.2521115;12.9972982;-0.197428
474;21.712642;23.2755814;3.5304712;-1.9675318;37.6906586;13.5048056;-10.884606;13.301247;-0.251132
475;21.020636;23.4156303;3.6560281;-1.2610338;38.4362411;13.3268785;-11.3645827;13.7447799;-0.432852
476;21.149156;23.2649117;3.6524163;-1.5366606;39.1270332;13.1977072;-12.2097052;13.7196208;-0.307104
477;21.273042;23.3902245;3.7673406;-1.6501581;39.7676468;13.0764179;-12.6100817;14.0811472;-0.271432
478;20.741336;23.4701233;3.8875375;-1.1587502;40.3582535;12.8805923;-13.0005927;14.4770685;-0.385028
479;20.9328;23.279953;3.8780173;-1.5308643;40.8965836;12.7291126;-13.7386133;14.4288577;-0.266784
480;21.37009;23.4081421;3.9619312;-1.9238791;41.4022102;12.6102285;-14.0321369;14.7598448;-0.198422
481;20.658806;23.1194496;3.9925897;-1.5319461;41.878685;12.0357065;-14.7666457;15.0763328;-0.085414
482;21.351092;22.9430084;3.8776397;-2.2857233;42.3065567;11.9297781;-15.4859086;14.89087;-0.191114
483;21.77721;21.7218285;5.2701489;-5.3255304;49.6176338;11.7761631;-22.6256564;15.2158143;-0.438648
484;5.427296;0;20.3776889;-25.8049849;66.6721497;10.1044264;-46.2944608;10.2732625;-2.872758
485;4.022312;0;24.1747806;-28.1970926;58.5552368;9.347435;-34.3804562;14.8273456;-1.273286
486;3.400194;0.6724599;22.6289178;-25.3566519;51.2763977;8.9026194;-27.97502;14.3987583;-0.645778
487;3.36042;0.6724599;21.6385887;-24.3265488;44.9982109;8.7643642;-22.6871623;13.5466844;-0.494704
488;3.532746;0.6724599;20.3986116;-23.2588977;39.5762024;8.7652998;-18.5051309;12.3057717;-0.474012
489;3.799684;0.6724599;19.618978;-22.7462021;34.8863831;8.8518591;-14.5949452;11.4395788;-0.486864
490;4.118926;0.6724599;19.1824505;-22.6289166;30.823307;8.9961243;-10.9683966;10.8587861;-0.506282
491;4.472202;3.3622994;16.3013459;-17.4112485;27.2972145;9.181263;-7.6335692;10.4823823;-0.525168
492;4.843692;5.4896593;13.5731108;-12.9271435;24.231657;9.3957911;-5.1688869;9.666979;-0.541898
493;5.227418;7.8397985;11.1412125;-8.528832;21.5615215;9.6287527;-2.5805105;9.3522583;-0.556192
494;5.635994;9.7398653;8.5005277;-4.3966564;19.2312908;9.8782778;-0.9908978;8.3621152;-0.554246
495;6.199298;11.514596;6.7079162;-1.3926182;17.1936188;10.1326113;1.0288934;8.0899009;-0.413154
496;6.95898;12.8931475;5.6347347;0.2994328;15.4080782;10.3902845;3.119804;8.1375977;-0.370328
497;15.728818;21.6076603;2.5210148;3.3578275;14.7051926;11.7841778;9.4234825;12.3444973;1.15563
498;18.346286;19.9982357;1.3321101;0.3198396;15.3132191;12.5897903;6.0171267;8.7405555;0.04753
499;19.128172;20.1849594;1.2754179;-0.2186305;15.7934141;12.8924809;5.6669632;8.5678964;-0.211022
500;22.274434;20.2746887;0.7787078;-2.7784531;16.4042473;13.178339;4.6491492;7.8750575;0.179144
501;25.258856;20.3702984;1.5257865;-6.4143441;17.421423;13.3717613;4.4746619;8.5243236;0.265888
502;16.33667;20.9547348;3.7973913;0.8206735;18.9677944;13.6466646;5.7843317;11.1054615;-2.251578
503;16.655772;21.2502003;4.1330335;0.4613948;20.9822006;13.9927683;4.4010332;11.3904655;-0.624974
504;16.421734;21.1954937;3.7626896;1.0110701;22.7439899;14.0449963;2.2141934;10.913187;-0.49217
505;16.111816;21.485714;3.7692921;1.6046059;24.1916714;13.989028;1.0633347;11.2659781;-0.563682
506;19.295332;21.5224495;3.5945234;-1.3674059;25.5944271;14.0299034;-0.4774542;11.0870695;0.119588
507;19.00906;21.7661438;3.5299394;-0.7728556;26.9423752;14.06036;-1.646292;11.2357232;-0.364658
508;18.000262;22.0122738;3.58946;0.4225518;28.2339134;14.0184145;-2.6321796;11.5833193;-0.640388
509;21.005502;21.9879837;3.5240991;-2.5416174;29.4803467;14.0208206;-3.9682639;11.4912622;0.175952
510;20.629924;22.1527386;3.5338626;-2.011048;30.695509;13.9695253;-5.0089078;11.7170759;-0.346696
511;19.42192;22.4258709;3.5857897;-0.5818388;31.81987;13.8738832;-5.8082094;12.1377774;-0.633542
512;21.959392;22.3190365;3.4323891;-3.0727446;32.8581085;13.8261948;-7.1066829;11.9252308;0.10017
513;21.614096;22.3960228;3.4624794;-2.6805526;33.8481293;13.6999636;-7.9896271;12.1585386;-0.313474
514;20.44252;22.5819798;3.5792303;-1.4397705;34.7640648;13.5239067;-8.6028547;12.6373034;-0.562842
515;21.280882;22.4528351;3.368004;-2.1960509;35.6099739;13.4201155;-9.7891348;12.4007236;-0.206234
516;21.63581;22.5098038;3.4227144;-2.5487206;36.4078217;13.2693052;-10.4753035;12.663213;-0.234318
517;20.973596;22.7295551;3.5452762;-1.7893171;37.1542015;13.0992603;-10.8793702;13.175571;-0.41384
518;21.124908;22.5630455;3.5416909;-2.1035534;37.8497734;13.0036182;-11.745037;13.1011182;-0.290024
519;21.285432;22.626133;3.6559463;-2.3152453;38.4821053;12.8552113;-12.200026;13.426868;-0.279678
520;20.727168;22.7292271;3.7704322;-1.7683731;39.0587807;12.6561794;-12.5591214;13.8434799;-0.353248
521;20.970558;22.4824409;3.7616161;-2.2497332;39.5842896;12.4977551;-13.3402326;13.7463019;-0.287686
522;21.44268;22.5634079;3.845549;-2.7248211;40.057663;12.3319845;-13.6487061;14.0769724;-0.253344
523;21.221928;22.7090874;3.9228465;-2.4356871;40.4873581;12.1569958;-13.8554242;14.4749381;-0.300986
524;21.699384;22.5172367;3.8849652;-3.0671125;40.8806;12.0629559;-14.4783981;14.339246;-0.248612
525;21.569786;22.28549;3.9255087;-3.2098047;41.2421074;11.5689831;-15.0311087;14.6420156;-0.026222
