"","Harvest","Rock_Type","N","variable","value"
"172","H4","Basalt","Low","DW_Bol",185711.265625
"173","H5","Basalt","Low","DW_F",8371.1796875
"174","H5","Basalt","Low","DW_Brk",23013.6933594
"175","H5","Basalt","Low","DW_Brh",13712.0615234
"176","H5","Basalt","Low","DW_Bol",140047.515625
"177","H6","Basalt","Low","DW_F",1461.8829346
"178","H6","Basalt","Low","DW_Brk",10426.2695312
"179","H6","Basalt","Low","DW_Brh",9390.9570312
"180","H6","Basalt","Low","DW_Bol",59977.625
"181","H7","Basalt","Low","DW_F",1189.5408936
"182","H7","Basalt","Low","DW_Brk",1974.666626
"183","H7","Basalt","Low","DW_Brh",1718.8200684
"184","H7","Basalt","Low","DW_Bol",14660.6142578
"185","H8","Basalt","Low","DW_F",1150.7897949
"186","H8","Basalt","Low","DW_Brk",1907.5151367
"187","H8","Basalt","Low","DW_Brh",1611.6601562
"188","H8","Basalt","Low","DW_Bol",14782.7714844
"189","H9","Basalt","Low","DW_F",1110.7463379
"190","H9","Basalt","Low","DW_Brk",1878.6925049
"191","H9","Basalt","Low","DW_Brh",1581.5256348
"192","H9","Basalt","Low","DW_Bol",14627.3154297
"193","H10","Basalt","Low","DW_F",855.8126221
"194","H10","Basalt","Low","DW_Brk",1852.003418
"195","H10","Basalt","Low","DW_Brh",1553.5578613
"196","H10","Basalt","Low","DW_Bol",14482.2998047
"197","H11","Basalt","Low","DW_F",1366.826416
"198","H11","Basalt","Low","DW_Brk",1751.2392578
"199","H11","Basalt","Low","DW_Brh",1499.1234131
"200","H11","Basalt","Low","DW_Bol",13442.0556641
"201","H12","Basalt","Low","DW_F",1315.2373047
"202","H12","Basalt","Low","DW_Brk",1798.5703125
"203","H12","Basalt","Low","DW_Brh",1499.0928955
"204","H12","Basalt","Low","DW_Bol",14230.0537109
"205","H13","Basalt","Low","DW_F",657.8475342
"206","H13","Basalt","Low","DW_Brk",1776.6114502
"207","H13","Basalt","Low","DW_Brh",1470.8112793
"208","H13","Basalt","Low","DW_Bol",14116.2548828
