"","Harvest","Rock_Type","N","variable","value"
"90","H2","Basalt","Low","DW_Brk",57982.7382812
"91","H2","Basalt","Low","DW_Brh",17280.8476562
"92","H2","Basalt","Low","DW_Bol",436219.96875
"93","H3","Basalt","Low","DW_F",12087.3144531
"94","H3","Basalt","Low","DW_Brk",28930.5585938
"95","H3","Basalt","Low","DW_Brh",11339.0136719
"96","H3","Basalt","Low","DW_Bol",206630.140625
"97","H4","Basalt","Low","DW_F",11135.5976562
"98","H4","Basalt","Low","DW_Brk",17169.8789062
"99","H4","Basalt","Low","DW_Brh",8970.4414062
"100","H4","Basalt","Low","DW_Bol",117427.96875
"101","H5","Basalt","Low","DW_F",10959.5166016
"102","H5","Basalt","Low","DW_Brk",14257.5009766
"103","H5","Basalt","Low","DW_Brh",7464.0375977
"104","H5","Basalt","Low","DW_Bol",100234.6953125
"105","H6","Basalt","Low","DW_F",10922.0625
"106","H6","Basalt","Low","DW_Brk",13719.09375
"107","H6","Basalt","Low","DW_Brh",7141.0654297
"108","H6","Basalt","Low","DW_Bol",97199.7578125
"109","H7","Basalt","Low","DW_F",7250.8251953
"110","H7","Basalt","Low","DW_Brk",8198.8642578
"111","H7","Basalt","Low","DW_Brh",6051.1323242
"112","H7","Basalt","Low","DW_Bol",52448.796875
