"";"YEAR";"Litter_N_Min";"Litter_Ca_Min";"Litter_Mg_Min";"Litter_K_Min";"Litter_S_Min";"Litter_P_Min";"SOM_N_Min";"SOM_Ca_Min";"SOM_Mg_Min";"SOM_K_Min";"SOM_S_Min";"SOM_P_Min";"MB_NUP_SOM";"MB_CaUP_SOM";"MB_MgUP_SOM";"MB_KUP_SOM";"MB_SUP_SOM";"MB_PUP_SOM";"MB_NUP_DOC";"MB_CaUP_DOC";"MB_MgUP_DOC";"MB_KUP_DOC";"MB_SUP_DOC";"MB_PUP_DOC";"MB_NT";"MB_CaT";"MB_MgT";"MB_KT";"MB_ST";"MB_PT";"X";"Net_N_Minz";"Net_P_Minz";"Net_Ca_Minz";"Net_K_Minz";"Net_Mg_Minz";"Net_S_Minz"
"21";2025;178,3019471;19,1866316;10,0095439;18,1662879;4,7702908;6,6160081;198,1877795;0,0053959;0,0055274;0,0052645;2,3429752;5,2396139;51,1582995;0,0053959;0,0055274;0,0052645;0,0555412;0,4975514;136,7445149;0,0990777;0,1000968;0,0811311;0,0977505;1,2601028;177,3341245;0,1039756;0,1055448;0,086331;0,1528;1,7575689;0;33,564329638;3,28143229624;7,651690561848;7,072992919874;2,409834552225;2,2491742693
"22";2026;158,624795;17,0933103;8,9109548;16,108351;4,2539805;5,8840743;198,2817006;0,0056844;0,0058165;0,0055299;2,3380409;5,2270968;51,2816844;0,0056844;0,0058165;0,0055299;0,0555969;0,498783;134,4405216;0,0986652;0,0986652;0,0986652;0,0986652;1,4392023;181,8304023;0,1042642;0,1051489;0,0949732;0,1534927;1,8423695;0;31,14523636;2,99540873736;6,81305205042;6,261629034386;2,143240687605;2,08176999772
"23";2027;135,96519;14,7016174;7,6533619;13,7455377;3,6660567;5,0383144;198,3774357;0,0059688;0,0061014;0,0058058;2,3334074;5,2184707;51,402802;0,0059688;0,0061014;0,0058058;0,0556516;0,4999919;130,8778641;0,0967902;0,0967902;0,0967902;0,0967902;1,4025173;182,9417381;0,1035505;0,1038953;0,100811;0,1531558;1,8936448;0;28,485066624;2,74216673766;5,85542260496;5,338657249234;1,838107696955;1,89239725234
"24";2028;116,6160244;12,6559131;6,5784414;11,7322308;3,1626757;4,3164853;198,4646067;0,006247;0,0063795;0,0060814;2,3287844;5,2098741;51,5191235;0,006247;0,0063795;0,0060814;0,0557038;0,501153;127,7973671;0,0951673;0,0951673;0,0938761;0,0951673;1,3707886;181,017355;0,1023265;0,102519;0,1009502;0,1518753;1,8850486;0;26,21965696;2,52578027676;5,036348034528;4,552741626378;1,57731030748;1,73005147168
"25";2029;100,0885867;10,9053525;5,6592953;10,0165424;2,7314469;3,7002655;198,5402669;0,0065184;0,0066509;0,006352;2,3241702;5,2012185;51,6293172;0,0065184;0,0066509;0,006352;0,0557531;0,5022521;125,1385622;0,0937655;0,0937655;0,0937655;0,0937655;1,3433955;178,5501947;0,1011206;0,1012701;0,1001702;0,1504933;1,8627776;0;24,288640796;2,34074000845;4,335463920104;3,882090817322;1,354318519135;1,59076962296
"26";2030;85,966609;9,4066159;4,8730137;8,5542973;2,3618128;3,174054;198,6048411;0,0067841;0,0069166;0,0066173;2,3195654;5,1924906;51,7325488;0,0067841;0,0069166;0,0066173;0,0557989;0,5032817;122,839357;0,0925521;0,0925521;0,0925521;0,0925521;1,3196995;176,1971521;0,1000585;0,1001958;0,0996701;0,1492227;1,8393956;0;22,642493034;2,18240792747;3,735423004404;3,31096037025;1,16357227151;1,47117764766
"27";2031;73,8956111;8,1227893;4,2000769;7,3078894;2,0447758;2,7245638;198,6595135;0,0070447;0,0071771;0,0068774;2,3149706;5,1836987;51,8283167;0,0070447;0,0071771;0,0068774;0,0558406;0,5042366;120,8469308;0,0914993;0,0914993;0,0914993;0,0914993;1,2991584;174,1033019;0,0991542;0,0992881;0,0989248;0,1481027;1,8180352;0;21,239147132;2,04683953977;3,221443014372;2,82415312715;1,000334179835;1,36840002026
"28";2032;63,5736315;7,0224213;3,6238549;6,2453067;1,772666;2,3404784;198,7055407;0,0073008;0,0074336;0,0071337;2,3103862;5,1748534;51,9162896;0,0073008;0,0074336;0,0071337;0,0558788;0,5051132;119,1163088;0,0905837;0,0905837;0,0905837;0,0905837;1,2813097;172,275301;0,0983954;0,0985286;0,0982107;0,1471262;1,7992277;0;20,042800876;1,93067664437;2,780929105184;2,409162732566;0,86056830164;1,2799854011
"29";2033;54,7434373;6,0787055;3,1301782;5,3392933;1,5389439;2,0121607;198,7440434;0,0075532;0,0076855;0,007386;2,305813;5,1659573;51,9962999;0,0075532;0,0076855;0,007386;0,0559127;0,5059103;117,6091832;0,0897852;0,0897852;0,0889057;0,0897852;1,2623773;170,685858;0,0977635;0,0978961;0,0972698;0,146276;1,7814613;0;19,02296165;1,83210489479;2,40314671986;2,055684322128;0,740835479425;1,20384392702
"30";2034;47,1859053;5,2687935;2,7069724;4,5666432;1,3380361;1,7314012;198,7760009;0,007802;0,0079346;0,0076347;2,301251;5,1569493;52,0683028;0,007802;0,0079346;0,0076347;0,0559428;0,5066273;116,2929226;0,0890867;0,0890867;0,0865186;0,0890867;1,2351618;169,3024432;0,0972403;0,0973727;0,0956103;0,1455345;1,7601983;0;18,153657704;1,75079254039;2,078946026688;1,754624131114;0,638205623915;1,13819424824
