kg/ha/month
 YEAR;Month;Ca;Mg;K;Na;Al;Si;P
        2010;          10;      0.0006647;      0.0006442;      0.0003957;      0.0003153;      0.0025599;      0.0053223;      0.0000766
        2010;          11;      0.0005029;      0.0004742;      0.0002855;      0.0002424;      0.0018900;      0.0039511;      0.0000575
        2010;          12;      0.0003832;      0.0003575;      0.0002145;      0.0001889;      0.0014375;      0.0030053;      0.0000433
        2011;           1;      0.0003443;      0.0003221;      0.0001941;      0.0001710;      0.0012984;      0.0027115;      0.0000385
        2011;           2;      0.0003205;      0.0003011;      0.0001818;      0.0001586;      0.0012104;      0.0025278;      0.0000357
        2011;           3;      0.0003860;      0.0003649;      0.0002208;      0.0001896;      0.0014592;      0.0030483;      0.0000431
        2011;           4;      0.0005146;      0.0004913;      0.0002980;      0.0002466;      0.0019392;      0.0040575;      0.0000580
        2011;           5;      0.0007026;      0.0006892;      0.0004231;      0.0003253;      0.0026730;      0.0055868;      0.0000811
        2011;           6;      0.0009464;      0.0009217;      0.0005644;      0.0004363;      0.0035781;      0.0074873;      0.0001090
        2011;           7;      0.0011974;      0.0011610;      0.0007093;      0.0005514;      0.0045249;      0.0094658;      0.0001369
        2011;           8;      0.0011411;      0.0011441;      0.0007157;      0.0005169;      0.0044411;      0.0092259;      0.0001351
        2011;           9;      0.0008668;      0.0008795;      0.0005522;      0.0003910;      0.0034043;      0.0070580;      0.0001043
        2011;          10;      0.0005019;      0.0005089;      0.0003187;      0.0002325;      0.0019896;      0.0041154;      0.0000597
        2011;          11;      0.0004793;      0.0004542;      0.0002749;      0.0002318;      0.0018138;      0.0037857;      0.0000547
        2011;          12;      0.0003709;      0.0003479;      0.0002099;      0.0001832;      0.0014024;      0.0029261;      0.0000419
        2012;           1;      0.0003366;      0.0003161;      0.0001910;      0.0001673;      0.0012745;      0.0026594;      0.0000375
        2012;           2;      0.0003182;      0.0002993;      0.0001809;      0.0001576;      0.0012034;      0.0025125;      0.0000355
        2012;           3;      0.0003799;      0.0003599;      0.0002182;      0.0001865;      0.0014384;      0.0030041;      0.0000423
        2012;           4;      0.0005162;      0.0004927;      0.0002988;      0.0002475;      0.0019452;      0.0040699;      0.0000582
        2012;           5;      0.0007925;      0.0007625;      0.0004636;      0.0003712;      0.0029798;      0.0062410;      0.0000903
        2012;           6;      0.0009217;      0.0009024;      0.0005551;      0.0004248;      0.0035092;      0.0073295;      0.0001067
        2012;           7;      0.0011428;      0.0011173;      0.0006878;      0.0005267;      0.0043675;      0.0091096;      0.0001315
        2012;           8;      0.0011458;      0.0011489;      0.0007193;      0.0005201;      0.0044685;      0.0092771;      0.0001355
        2012;           9;      0.0008711;      0.0008834;      0.0005551;      0.0003938;      0.0034260;      0.0070998;      0.0001047
        2012;          10;      0.0006918;      0.0006640;      0.0004043;      0.0003276;      0.0026239;      0.0054781;      0.0000792
        2012;          11;      0.0004871;      0.0004601;      0.0002776;      0.0002356;      0.0018326;      0.0038315;      0.0000553
        2012;          12;      0.0003664;      0.0003436;      0.0002071;      0.0001811;      0.0013810;      0.0028852;      0.0000410
        2013;           1;      0.0003278;      0.0003090;      0.0001872;      0.0001630;      0.0012453;      0.0025972;      0.0000364
        2013;           2;      0.0003132;      0.0002954;      0.0001789;      0.0001551;      0.0011878;      0.0024783;      0.0000349
        2013;           3;      0.0003902;      0.0003685;      0.0002230;      0.0001917;      0.0014764;      0.0030826;      0.0000437
        2013;           4;      0.0005363;      0.0005097;      0.0003085;      0.0002575;      0.0020195;      0.0042236;      0.0000608
        2013;           5;      0.0007346;      0.0007163;      0.0004401;      0.0003436;      0.0028055;      0.0058528;      0.0000846
        2013;           6;      0.0010093;      0.0009776;      0.0005974;      0.0004679;      0.0038256;      0.0079942;      0.0001156
        2013;           7;      0.0010441;      0.0010362;      0.0006457;      0.0004804;      0.0040595;      0.0084304;      0.0001219
        2013;           8;      0.0010875;      0.0011007;      0.0006925;      0.0004908;      0.0042735;      0.0088567;      0.0001302
        2013;           9;      0.0008520;      0.0008679;      0.0005462;      0.0003840;      0.0033624;      0.0069626;      0.0001030
        2013;          10;      0.0006925;      0.0006681;      0.0004088;      0.0003282;      0.0026486;      0.0055168;      0.0000796
        2013;          11;      0.0004960;      0.0004720;      0.0002858;      0.0002381;      0.0018872;      0.0039316;      0.0000574
        2013;          12;      0.0003928;      0.0003682;      0.0002212;      0.0001917;      0.0014825;      0.0030923;      0.0000454
        2014;           1;      0.0003600;      0.0003363;      0.0002022;      0.0001779;      0.0013586;      0.0028345;      0.0000410
        2014;           2;      0.0003242;      0.0003044;      0.0001838;      0.0001604;      0.0012253;      0.0025577;      0.0000363
        2014;           3;      0.0003878;      0.0003664;      0.0002217;      0.0001905;      0.0014662;      0.0030623;      0.0000433
        2014;           4;      0.0005156;      0.0004924;      0.0002989;      0.0002473;      0.0019465;      0.0040700;      0.0000583
        2014;           5;      0.0008327;      0.0007962;      0.0004819;      0.0003907;      0.0031171;      0.0065340;      0.0000947
        2014;           6;      0.0009760;      0.0009481;      0.0005806;      0.0004519;      0.0037002;      0.0077338;      0.0001121
        2014;           7;      0.0011377;      0.0011169;      0.0006902;      0.0005249;      0.0043820;      0.0091201;      0.0001311
        2014;           8;      0.0011804;      0.0011803;      0.0007392;      0.0005391;      0.0046144;      0.0095716;      0.0001385
        2014;           9;      0.0008991;      0.0009079;      0.0005710;      0.0004100;      0.0035448;      0.0073382;      0.0001072
        2014;          10;      0.0006984;      0.0006708;      0.0004086;      0.0003306;      0.0026547;      0.0055384;      0.0000801
        2014;          11;      0.0004945;      0.0004669;      0.0002816;      0.0002389;      0.0018617;      0.0038907;      0.0000564
        2014;          12;      0.0003645;      0.0003423;      0.0002067;      0.0001802;      0.0013781;      0.0028763;      0.0000409
        2015;           1;      0.0003370;      0.0003165;      0.0001913;      0.0001675;      0.0012769;      0.0026636;      0.0000377
        2015;           2;      0.0003232;      0.0003034;      0.0001831;      0.0001600;      0.0012208;      0.0025489;      0.0000361
        2015;           3;      0.0003920;      0.0003700;      0.0002238;      0.0001926;      0.0014831;      0.0030962;      0.0000440
        2015;           4;      0.0005170;      0.0004943;      0.0003006;      0.0002483;      0.0019590;      0.0040913;      0.0000587
        2015;           5;      0.0007430;      0.0007232;      0.0004439;      0.0003477;      0.0028336;      0.0059130;      0.0000855
        2015;           6;      0.0009966;      0.0009669;      0.0005918;      0.0004621;      0.0037876;      0.0079091;      0.0001143
        2015;           7;      0.0010076;      0.0010053;      0.0006283;      0.0004622;      0.0039321;      0.0081593;      0.0001184
        2015;           8;      0.0010581;      0.0010758;      0.0006774;      0.0004749;      0.0041636;      0.0086276;      0.0001276
        2015;           9;      0.0008220;      0.0008429;      0.0005306;      0.0003673;      0.0032489;      0.0067274;      0.0001003
        2015;          10;      0.0004815;      0.0004926;      0.0003087;      0.0002213;      0.0019175;      0.0039632;      0.0000578
        2015;          11;      0.0004619;      0.0004401;      0.0002676;      0.0002239;      0.0017569;      0.0036633;      0.0000525
        2015;          12;      0.0003579;      0.0003369;      0.0002038;      0.0001771;      0.0013552;      0.0028283;      0.0000400
