YEAR;Month;C mmol/m�;N mmol/m�;Ca mmol/m�;Mg mmol/m�;K mmol/m�;S mmol/m�;P mmol/m�;
        2013;           9;    601.5577393;     12.8369808;      2.1204422;      0.9777805;      1.5981928;      0.3455963;      0.5053174;
        2013;          10;    278.9140015;      5.8989387;      0.9752635;      0.4499089;      0.7469542;      0.1620972;      0.2333265;
        2013;          11;    327.2034607;      6.8930092;      1.1399847;      0.5259820;      0.8782453;      0.1908327;      0.2731295;
        2013;          12;    230.5182343;      4.8480268;      0.8018655;      0.3699951;      0.6189361;      0.1345434;      0.1922099;
        2014;           1;    281.1903076;      5.9046540;      0.9767054;      0.4506859;      0.7548985;      0.1641463;      0.2341971;
        2014;           2;    292.6922302;      6.1357646;      1.0150244;      0.4683879;      0.7857592;      0.1709152;      0.2434809;
        2014;           3;    372.9389648;      7.8028641;      1.2909243;      0.5957295;      1.0009347;      0.2177943;      0.3097855;
        2014;           4;    409.5294800;      8.5540066;      1.4152619;      0.6531231;      1.0982609;      0.2390148;      0.3396936;
        2014;           5;    532.7133789;     11.0977421;      1.8363324;      0.8474882;      1.4278907;      0.3108870;      0.4409806;
        2014;           6;    354.0852661;      7.3618140;      1.2182715;      0.5622727;      0.9489389;      0.2066841;      0.2926841;
        2014;           7;    209.6277771;      4.3525620;      0.7203391;      0.3324727;      0.5618383;      0.1224065;      0.1731158;
        2014;           8;     45.3004456;      0.9393759;      0.1554848;      0.0717686;      0.1215506;      0.0264950;      0.0373883;
        2014;           9;    324.5834045;      6.7078929;      1.1106042;      0.5127036;      0.8725964;      0.1904079;      0.2673955;
        2014;          10;    554.9749756;     11.3708773;      1.8841918;      0.8701745;      1.5017381;      0.3286806;      0.4552888;
        2014;          11;    353.6019897;      7.2199545;      1.1967065;      0.5527492;      0.9584182;      0.2099769;      0.2895226;
        2014;          12;    337.5972290;      6.8806882;      1.1405817;      0.5268500;      0.9149591;      0.2005233;      0.2760586;
        2015;           1;    331.0183716;      6.7364388;      1.1167387;      0.5158520;      0.8967723;      0.1965801;      0.2703600;
        2015;           2;    390.7226868;      7.9370966;      1.3158809;      0.6078642;      1.0580933;      0.2320068;      0.3186799;
        2015;           3;    424.2726135;      8.6023207;      1.4262751;      0.6588843;      1.1483351;      0.2518608;      0.3455284;
        2015;           4;    358.8852844;      7.2662249;      1.2047956;      0.5565798;      0.9706592;      0.2129208;      0.2919224;
        2015;           5;    183.0448761;      3.7006474;      0.6136611;      0.2835079;      0.4953026;      0.1086886;      0.1487594;
        2015;           6;    114.7727661;      2.3174746;      0.3843385;      0.1775717;      0.3107929;      0.0682263;      0.0932134;
        2015;           7;      6.4646735;      0.1304407;      0.0216346;      0.0099960;      0.0175194;      0.0038470;      0.0052489;
        2015;           8;    267.9747009;      5.3973346;      0.8953058;      0.4136913;      0.7266153;      0.1596276;      0.2173403;
        2015;           9;    345.3966370;      6.9359407;      1.1508132;      0.5318166;      0.9378850;      0.2062158;      0.2796661;
        2015;          10;    569.6576538;     11.3533001;      1.8851576;      0.8714907;      1.5557655;      0.3429381;      0.4596150;
        2015;          11;    342.2923584;      6.8012257;      1.1295964;      0.5222662;      0.9361629;      0.2065326;      0.2757065;
        2015;          12;    342.4815979;      6.7936316;      1.1284330;      0.5217503;      0.9365392;      0.2066745;      0.2755256;
