"";"YEAR";"Litter_N_Min";"Litter_Ca_Min";"Litter_Mg_Min";"Litter_K_Min";"Litter_S_Min";"Litter_P_Min";"SOM_N_Min";"SOM_Ca_Min";"SOM_Mg_Min";"SOM_K_Min";"SOM_S_Min";"SOM_P_Min";"MB_NUP_SOM";"MB_CaUP_SOM";"MB_MgUP_SOM";"MB_KUP_SOM";"MB_SUP_SOM";"MB_PUP_SOM";"MB_NUP_DOC";"MB_CaUP_DOC";"MB_MgUP_DOC";"MB_KUP_DOC";"MB_SUP_DOC";"MB_PUP_DOC";"MB_NT";"MB_CaT";"MB_MgT";"MB_KT";"MB_ST";"MB_PT";"X";"Net_N_Minz";"Net_P_Minz";"Net_Ca_Minz";"Net_K_Minz";"Net_Mg_Minz";"Net_S_Minz"
"30";2034;8,9313721;4,5588906;1,9834836;3,9657224;0,9145489;1,6524001;203,7046977;0,0077941;0,0077941;0,0077941;9,8395467;1,9391796;58,4728887;0,003843;0,003843;0,003843;0,0515464;1,1552607;151,9215522;0,0254671;0,0254671;0,0254671;0,1273357;2,9228606;212,9203139;0,0297161;0,0297161;0,0297161;0,1809679;4,1059885;0;8,500032464;0,20710230527;1,819938365376;1,543608354412;0,47779026633;3,40693922394
"31";2035;7,4409655;3,9292505;1,6605525;3,181157;0,767906;1,3418403;203,7153811;0,0079589;0,0079589;0,0079589;9,7836394;1,945699;58,4263238;0,0038506;0,0038506;0,0038506;0,0515111;1,1543327;149,3844685;0,0250587;0,0250587;0,0250587;0,1252934;2,8988203;209,8843565;0,0292358;0,0292358;0,0292358;0,1784927;4,0723835;0;8,648062934;0,1203862743;1,567833514532;1,237083084056;0,399441178735;3,3426563912
"32";2036;6,2681415;3,4295758;1,4061935;2,5677958;0,652327;1,098604;203,694911;0,0081173;0,0081173;0,0081173;9,7282222;1,9520755;58,3759674;0,0038577;0,0038577;0,0038577;0,0514726;1,1532963;147,2312481;0,0247265;0,0247265;0,0247265;0,1236327;2,8790696;207,3618898;0,0288487;0,0288487;0,0288487;0,1764835;4,0475593;0;8,782452616;0,05314758603;1,367780494616;0,997462936868;0,337738464115;3,2883674299
"33";2037;5,343044;3,0313582;1,2053155;2,0878435;0,560977;0,9078386;203,6490236;0,0082705;0,0082705;0,0082705;9,6732972;1,9583341;58,3224271;0,0038642;0,0038642;0,0038642;0,0514322;1,1521688;145,4641026;0,0244538;0,0244538;0,0244538;0,122269;2,8642896;205,2510204;0,0285341;0,0285341;0,0285341;0,1748376;4,0279041;0;8,8939151;0,000583196070000033;1,208361492924;0,809977704996;0,28901858121;3,24190886712
"34";2038;4,6112077;2,7123874;1,0461616;1,7118592;0,4885322;0,7579755;203,5385078;0,0084188;0,0084188;0,0084188;9,6188606;1,9644965;58,2662032;0,0038702;0,0038702;0,0038702;0,0513895;1,1509646;135,1305527;0,0242273;0,0242273;0,0242273;0,1211364;2,8548713;170,7749348;0,0282762;0,0282762;0,0282762;0,1734746;4,0136002;0;10,222682792;-0,04100406321;1,080680959964;0,663121902686;0,250427320955;3,20159380184
"35";2039;5,5923471;3,2223758;1,3272898;2,4419251;0,6154285;1,042405;203,1649269;0,0085636;0,0085636;0,0085636;9,5648796;1,9705924;58,207791;0,0038761;0,0038761;0,0038761;0,0513452;1,149698;132,0761699;0,0243595;0,0243595;0,0243595;0,1214697;2,8821923;124,5867795;0,0281526;0,0281526;0,0281526;0,1725969;4,0145724;0;10,735354574;0,04051033947;1,285068960724;0,948567994616;0,318758592395;3,22486359104
"36";2040;9,2533068;4,8852972;2,2209447;4,7111472;1,0196447;1,9311476;202,5433827;0,0087082;0,0087082;0,0087082;9,5113705;1,9729702;58,1500385;0,0038819;0,0038819;0,0038819;0,0513014;1,1474731;135,4374214;0,0251356;0,0251356;0,0251356;0,1253485;1,2114639;106,8082046;0,0285748;0,0285748;0,0285748;0,1745317;3,3198894;0;10,690297534;0,83391491283;1,951248261048;1,835541547404;0,535807929765;3,33605674402
"37";2041;12,3568901;6,1724035;2,9145298;6,4766843;1,3332949;2,6222189;201,8745637;0,0088574;0,0088574;0,0088574;9,4583443;1,9677115;58,0962953;0,0038886;0,0038886;0,0038886;0,0512608;1,1438331;138,8887594;0,0258368;0,0258368;0,0258368;0,1288515;1,1546382;104,0424736;0,029227;0,029227;0,029227;0,177689;2,5828733;0;10,547977216;1,06390999434;2,466847762316;2,525615421802;0,70424962472;3,41848973662
"38";2042;15,2402327;7,3587369;3,554268;8,1061977;1,6225778;3,2599515;201,1738981;0,0090123;0,0090123;0,0090123;9,4057139;1,9603298;58,0473248;0,0038957;0,0038957;0,0038957;0,0512237;1,140007;141,5325518;0,0264936;0,0264936;0,0264936;0,1310747;1,1137892;101,4778127;0,0298848;0,0298848;0,0298848;0,180428;2,3613308;0;10,48342106;1,27178060337;2,942081594256;3,162526338072;0,859616007435;3,4936477702
"39";2043;18,6116235;8,7852839;4,3214323;10,0554581;1,9695601;4,0232673;200,4150626;0,0091728;0,0091728;0,0091728;9,3533992;1,9509446;58,0033869;0,003904;0,003904;0,003904;0,0511903;1,1358787;144,2006164;0,0272653;0,0272653;0,0272653;0,1343749;1,1065809;99,7852616;0,0305999;0,0305999;0,0305999;0,1831839;2,2786099;0;10,475649758;1,5075053207;3,513539625464;3,924409202288;1,04592673839;3,58706015864
