 ;;µmol/kg;;;;;;;kg/ha;;;;;
 YEAR;Month;Ca;Mg;K;Na;NH4;Al;H;Ca;Mg;K;Na;NH4;Al
        2008;           1;  25264.3027344;  12882.9492188;   1711.1235352;    570.3720703;      0.0058285;  22639.9375000;   2921.9487305;   1170.3083496;    361.9077454;     77.3261108;     15.1558533;      0.0000944;    706.0383301
        2008;           2;  25269.3789062;  12896.2626953;   1714.8880615;    570.8662720;      0.0086056;  22634.9707031;   2895.7312012;   1170.5435791;    362.2817688;     77.4962387;     15.1689863;      0.0001393;    705.8834229
        2008;           3;  25274.9277344;  12911.0830078;   1718.8067627;    571.6718750;      0.0099442;  22628.9316406;   2868.5671387;   1170.8004150;    362.6980896;     77.6733246;     15.1903915;      0.0001610;    705.6950684
        2008;           4;  25280.9980469;  12926.5869141;   1722.0551758;    573.0889282;      0.0112506;  22621.8359375;   2841.8164062;   1171.0816650;    363.1336060;     77.8201218;     15.2280464;      0.0001821;    705.4738770
        2008;           5;  25283.8144531;  12929.1787109;   1719.6022949;    574.9109497;      0.0275972;  22617.7265625;   2844.1228027;   1171.2121582;    363.2064514;     77.7092743;     15.2764587;      0.0004468;    705.3456421
        2008;           6;  25288.1503906;  12932.4960938;   1718.4309082;    584.5481567;      0.0185576;  22610.3789062;   2842.2399902;   1171.4130859;    363.2996216;     77.6563339;     15.5325375;      0.0003004;    705.1165161
        2008;           7;  25291.9980469;  12940.2568359;   1716.6389160;    588.7905884;      0.0122224;  22602.5078125;   2840.2485352;   1171.5911865;    363.5176392;     77.5753555;     15.6452675;      0.0001979;    704.8710938
        2008;           8;  25294.2812500;  12949.4482422;   1714.7923584;    592.7511597;      0.0088057;  22594.8085938;   2838.3054199;   1171.6970215;    363.7758179;     77.4919128;     15.7505064;      0.0001426;    704.6309814
        2008;           9;  25296.0625000;  12958.5224609;   1712.9914551;    596.3757935;      0.0068076;  22587.9121094;   2835.5471191;   1171.7795410;    364.0307312;     77.4105301;     15.8468199;      0.0001102;    704.4159546
        2008;          10;  25306.5664062;  12974.8828125;   1715.6329346;    601.0928345;      0.0167978;  22571.1152344;   2824.7910156;   1172.2661133;    364.4903564;     77.5298996;     15.9721603;      0.0002719;    703.8920288
        2008;          11;  25308.4667969;  13010.0185547;   1723.5867920;    597.1420898;      0.0072688;  22501.6152344;   2955.2258301;   1172.3541260;    365.4773865;     77.8893356;     15.8671818;      0.0001177;    701.7246704
        2008;          12;  25314.1718750;  13033.6845703;   1728.6361084;    591.4728394;      0.0052521;  22474.6445312;   2978.0815430;   1172.6184082;    366.1422119;     78.1175079;     15.7165394;      0.0000850;    700.8836060
        2009;           1;  25320.9687500;  13052.8779297;   1732.8211670;    593.0286255;      0.0060573;  22463.0292969;   2955.0424805;   1172.9333496;    366.6813660;     78.3066330;     15.7578802;      0.0000981;    700.5213623
        2009;           2;  25325.7539062;  13064.1708984;   1735.5192871;    598.2632446;      0.0088189;  22456.4160156;   2934.9064941;   1173.1547852;    366.9986267;     78.4285660;     15.8969736;      0.0001428;    700.3150635
        2009;           3;  25332.5214844;  13083.2109375;   1739.6025391;    601.5239258;      0.0087231;  22447.7187500;   2901.9995117;   1173.4685059;    367.5334778;     78.6130905;     15.9836168;      0.0001412;    700.0438843
        2009;           4;  25338.2285156;  13095.3798828;   1741.5822754;    603.7099609;      0.0130456;  22440.9316406;   2882.4680176;   1173.7327881;    367.8753662;     78.7025604;     16.0417042;      0.0002112;    699.8321533
        2009;           5;  25344.6230469;  13109.4765625;   1741.0683594;    608.7839966;      0.0188167;  22427.1250000;   2878.3666992;   1174.0289307;    368.2713623;     78.6793289;     16.1765289;      0.0003046;    699.4016113
        2009;           6;  25351.5273438;  13114.9648438;   1740.8109131;    625.8606567;      0.0144929;  22414.5996094;   2874.3051758;   1174.3487549;    368.4255676;     78.6676941;     16.6302891;      0.0002346;    699.0109863
        2009;           7;  25359.2910156;  13125.7871094;   1739.4694824;    632.4873657;      0.0100577;  22401.7968750;   2870.1914062;   1174.7084961;    368.7295837;     78.6070786;     16.8063717;      0.0001628;    698.6118164
        2009;           8;  25365.2812500;  13137.5644531;   1738.0980225;    638.9738770;      0.0075321;  22389.5039062;   2866.3513184;   1174.9859619;    369.0603638;     78.5450974;     16.9787312;      0.0001219;    698.2283936
        2009;           9;  25369.8027344;  13149.1728516;   1736.6219482;    644.8978271;      0.0060697;  22378.7988281;   2861.9619141;   1175.1954346;    369.3864746;     78.4784012;     17.1361427;      0.0000983;    697.8945923
        2009;          10;  25383.6523438;  13180.6767578;   1740.6889648;    652.4611206;      0.0078516;  22353.7421875;   2834.8503418;   1175.8370361;    370.2714844;     78.6621857;     17.3371124;      0.0001271;    697.1132202
        2009;          11;  25394.7089844;  13215.1738281;   1745.6756592;    649.7742310;      0.0068573;  22323.4160156;   2832.1975098;   1176.3491211;    371.2406006;     78.8875427;     17.2657166;      0.0001110;    696.1674194
        2009;          12;  25402.7597656;  13236.3457031;   1749.0686035;    648.5954590;      0.0059807;  22310.9843750;   2808.7958984;   1176.7219238;    371.8353271;     79.0408630;     17.2343960;      0.0000968;    695.7797241
        2010;           1;  25409.6582031;  13257.3671875;   1752.9337158;    645.5418091;      0.0082170;  22301.1074219;   2782.0600586;   1177.0415039;    372.4258728;     79.2155380;     17.1532536;      0.0001330;    695.4716797
        2010;           2;  25414.6250000;  13270.6582031;   1755.3293457;    643.7805176;      0.0111195;  22294.4277344;   2764.7907715;   1177.2716064;    372.7992554;     79.3237915;     17.1064529;      0.0001800;    695.2634277
        2010;           3;  25421.3691406;  13290.5400391;   1758.7930908;    640.5846558;      0.0104451;  22284.9355469;   2739.6386719;   1177.5841064;    373.3577576;     79.4803238;     17.0215321;      0.0001691;    694.9674072
        2010;           4;  25429.1132812;  13312.7597656;   1761.9696045;    638.6779175;      0.0109317;  22274.7148438;   2709.1875000;   1177.9428711;    373.9819946;     79.6238632;     16.9708652;      0.0001770;    694.6486206
        2010;           5;  25434.1503906;  13321.7255859;   1760.0649414;    638.7841797;      0.0182669;  22267.5761719;   2704.3254395;   1178.1761475;    374.2338257;     79.5377960;     16.9736900;      0.0002957;    694.4260864
        2010;           6;  25444.3027344;  13343.1953125;   1760.0308838;    638.8009644;      0.0192233;  22244.8339844;   2709.5615234;   1178.6463623;    374.8369446;     79.5362473;     16.9741364;      0.0003112;    693.7168579
        2010;           7;  25454.4531250;  13350.0634766;   1760.4942627;    658.4473877;      0.0144753;  22228.2734375;   2705.0783691;   1179.1165771;    375.0299072;     79.5571899;     17.4961796;      0.0002343;    693.2004395
        2010;           8;  25464.9746094;  13363.4316406;   1759.7506104;    666.7532349;      0.0100767;  22211.3144531;   2700.5102539;   1179.6040039;    375.4054260;     79.5235825;     17.7168808;      0.0001631;    692.6714478
        2010;           9;  25472.9843750;  13377.3271484;   1758.7165527;    674.5332642;      0.0077442;  22196.1816406;   2695.3342285;   1179.9750977;    375.7958069;     79.4768524;     17.9236107;      0.0001254;    692.1995239
        2010;          10;  25490.3339844;  13417.1347656;   1762.6586914;    675.8635864;      0.0071579;  22154.4667969;   2700.8364258;   1180.7786865;    376.9140930;     79.6549988;     17.9589596;      0.0001159;    690.8986816
        2010;          11;  25500.2988281;  13454.2031250;   1766.2570801;    662.9204102;      0.0061485;  22110.5410156;   2747.8601074;   1181.2402344;    377.9554138;     79.8176193;     17.6150360;      0.0000995;    689.5288086
        2010;          12;  25508.4628906;  13484.4941406;   1769.5766602;    647.9436035;      0.0061024;  22090.7558594;   2741.9443359;   1181.6185303;    378.8063354;     79.9676208;     17.2170753;      0.0000988;    688.9118652
        2011;           1;  25515.0996094;  13503.5527344;   1772.2947998;    646.7514648;      0.0076977;  22083.6406250;   2710.5017090;   1181.9259033;    379.3417053;     80.0904541;     17.1853981;      0.0001246;    688.6899414
        2011;           2;  25519.9257812;  13516.5351562;   1774.1536865;    646.2852173;      0.0092059;  22079.5078125;   2685.9155273;   1182.1494141;    379.7064209;     80.1744690;     17.1730061;      0.0001490;    688.5610352
        2011;           3;  25528.0957031;  13542.7841797;   1778.0382080;    641.5008545;      0.0088360;  22071.7988281;   2640.9941406;   1182.5279541;    380.4438171;     80.3500061;     17.0458775;      0.0001430;    688.3205566
        2011;           4;  25534.3945312;  13563.5273438;   1780.5035400;    639.8551636;      0.0099906;  22065.6992188;   2604.5053711;   1182.8195801;    381.0265198;     80.4614182;     17.0021477;      0.0001617;    688.1303711
        2011;           5;  25536.0976562;  13566.1318359;   1777.4654541;    638.8994141;      0.0238463;  22063.3984375;   2606.6806641;   1182.8985596;    381.0997009;     80.3241272;     16.9767532;      0.0003861;    688.0586548
        2011;           6;  25538.0761719;  13568.5976562;   1775.2650146;    643.2059326;      0.0147726;  22059.4316406;   2607.7866211;   1182.9902344;    381.1689453;     80.2246780;     17.0911846;      0.0002392;    687.9349365
        2011;           7;  25537.6464844;  13574.4697266;   1772.7996826;    646.6941528;      0.0098973;  22054.9960938;   2608.9711914;   1182.9702148;    381.3339233;     80.1132736;     17.1838741;      0.0001602;    687.7966309
        2011;           8;  25537.4804688;  13581.5449219;   1770.3181152;    648.2387695;      0.0065387;  22050.2910156;   2610.1923828;   1182.9626465;    381.5327148;     80.0011368;     17.2249165;      0.0001059;    687.6499023
        2011;           9;  25537.8261719;  13588.3281250;   1768.1555176;    650.3616333;      0.0044085;  22045.6191406;   2610.1271973;   1182.9785156;    381.7232361;     79.9034042;     17.2813263;      0.0000714;    687.5042114
        2011;          10;  25546.6152344;  13610.2285156;   1770.3304443;    650.9962158;      0.0149806;  22030.1914062;   2592.0915527;   1183.3858643;    382.3384705;     80.0016937;     17.2981873;      0.0002425;    687.0230103
        2011;          11;  25558.4375000;  13655.1074219;   1773.8759766;    641.3776855;      0.0071021;  21988.3652344;   2610.2766113;   1183.9333496;    383.5992126;     80.1619186;     17.0426044;      0.0001150;    685.7186890
        2011;          12;  25567.1074219;  13679.6630859;   1775.9383545;    635.8602905;      0.0058865;  21971.1347656;   2599.0603027;   1184.3350830;    384.2890320;     80.2551193;     16.8959961;      0.0000953;    685.1813965
        2012;           1;  25575.5253906;  13705.8320312;   1778.3894043;    628.0024414;      0.0059855;  21960.9667969;   2565.7536621;   1184.7249756;    385.0241699;     80.3658752;     16.6871986;      0.0000969;    684.8642578
        2012;           2;  25580.1835938;  13718.0898438;   1779.6999512;    626.2666626;      0.0095333;  21956.8203125;   2544.8374023;   1184.9407959;    385.3684998;     80.4251099;     16.6410770;      0.0001543;    684.7349243
        2012;           3;  25587.8574219;  13742.7167969;   1782.7143555;    624.6229248;      0.0083090;  21950.5449219;   2497.6394043;   1185.2961426;    386.0603333;     80.5613174;     16.5973988;      0.0001345;    684.5392456
        2012;           4;  25593.8515625;  13761.4208984;   1784.1229248;    620.9001465;      0.0126360;  21943.9394531;   2470.3532715;   1185.5738525;    386.5857544;     80.6249771;     16.4984779;      0.0002046;    684.3332520
        2012;           5;  25597.7968750;  13772.8291016;   1781.8414307;    620.1826782;      0.0187488;  21936.2890625;   2465.6665039;   1185.7565918;    386.9062500;     80.5218811;     16.4794159;      0.0003035;    684.0946655
        2012;           6;  25600.4082031;  13775.3623047;   1780.4505615;    631.3514404;      0.0136605;  21929.4394531;   2466.1223145;   1185.8774414;    386.9773865;     80.4590225;     16.7761898;      0.0002212;    683.8811035
        2012;           7;  25602.3535156;  13782.9052734;   1778.1336670;    634.9014282;      0.0093716;  21922.5527344;   2466.5854492;   1185.9676514;    387.1893005;     80.3543320;     16.8705196;      0.0001517;    683.6663208
        2012;           8;  25603.1347656;  13791.6210938;   1775.7468262;    637.7565918;      0.0068421;  21915.9003906;   2467.1582031;   1186.0039062;    387.4341431;     80.2464600;     16.9463863;      0.0001108;    683.4588013
        2012;           9;  25604.1875000;  13799.6621094;   1773.6434326;    640.7735596;      0.0051952;  21909.6796875;   2466.5581055;   1186.0527344;    387.6600342;     80.1514053;     17.0265522;      0.0000841;    683.2648926
        2012;          10;  25619.7441406;  13850.3750000;   1776.9143066;    637.8375244;      0.0084295;  21876.8593750;   2432.1965332;   1186.7733154;    389.0846252;     80.2992172;     16.9485359;      0.0001365;    682.2413330
        2012;          11;  25630.5996094;  13888.2734375;   1778.9774170;    627.0229492;      0.0072781;  21853.7539062;   2412.7292480;   1187.2761230;    390.1492920;     80.3924561;     16.6611729;      0.0001178;    681.5208130
        2012;          12;  25638.7441406;  13915.1777344;   1780.6622314;    618.2485962;      0.0067117;  21844.2753906;   2378.1691895;   1187.6533203;    390.9050598;     80.4685822;     16.4280224;      0.0001087;    681.2251587
        2013;           1;  25642.8183594;  13927.2744141;   1781.8489990;    618.8147583;      0.0082045;  21840.5859375;   2355.0410156;   1187.8421631;    391.2449036;     80.5222168;     16.4430656;      0.0001328;    681.1101074
        2013;           2;  25646.6367188;  13937.3378906;   1782.6707764;    617.7661133;      0.0115893;  21836.6601562;   2339.5134277;   1188.0190430;    391.5276184;     80.5593643;     16.4152012;      0.0001876;    680.9876709
        2013;           3;  25651.5253906;  13949.3525391;   1783.5617676;    615.4463501;      0.0133382;  21830.1210938;   2326.5290527;   1188.2453613;    391.8651428;     80.5996246;     16.3535614;      0.0002159;    680.7838135
        2013;           4;  25657.9707031;  13964.9570312;   1784.4418945;    614.4849854;      0.0146339;  21818.1816406;   2318.3532715;   1188.5440674;    392.3034668;     80.6393890;     16.3280163;      0.0002369;    680.4114380
        2013;           5;  25665.6113281;  13982.0048828;   1782.7768555;    620.5009155;      0.0116580;  21803.1132812;   2309.7919922;   1188.8979492;    392.7823792;     80.5641556;     16.4878712;      0.0001887;    679.9415283
        2013;           6;  25672.3144531;  13989.0976562;   1781.5704346;    631.0433960;      0.0251282;  21789.6875000;   2313.2089844;   1189.2084961;    392.9816895;     80.5096283;     16.7680035;      0.0004068;    679.5228271
        2013;           7;  25682.2402344;  13997.3085938;   1781.7246094;    649.3182983;      0.0181879;  21772.0429688;   2311.4538574;   1189.6683350;    393.2123108;     80.5165939;     17.2536011;      0.0002944;    678.9725952
        2013;           8;  25694.0000000;  14010.6777344;   1781.0432129;    657.9247437;      0.0121790;  21753.4628906;   2308.9855957;   1190.2130127;    393.5878601;     80.4858017;     17.4822903;      0.0001972;    678.3931274
        2013;           9;  25707.4355469;  14037.6689453;   1780.5097656;    666.3700562;      0.0065558;  21727.9003906;   2296.8762207;   1190.8353271;    394.3461304;     80.4617004;     17.7066994;      0.0001061;    677.5959473
        2013;          10;  25727.4687500;  14085.8935547;   1783.1243896;    671.5186768;      0.0086789;  21677.2089844;   2304.6777344;   1191.7633057;    395.7008667;     80.5798569;     17.8435078;      0.0001405;    676.0151367
        2013;          11;  25739.3535156;  14115.9296875;   1785.8465576;    683.3073120;      0.0079319;  21635.0957031;   2332.7783203;   1192.3138428;    396.5446167;     80.7028656;     18.1567535;      0.0001284;    674.7018433
        2013;          12;  25749.0683594;  14138.3710938;   1786.8509521;    682.9498291;      0.0061125;  21607.9589844;   2349.2229004;   1192.7639160;    397.1750488;     80.7482605;     18.1472549;      0.0000990;    673.8555298
        2014;           1;  25757.3554688;  14159.3437500;   1787.5748291;    680.1837769;      0.0064180;  21590.5390625;   2345.0603027;   1193.1479492;    397.7642212;     80.7809753;     18.0737553;      0.0001039;    673.3122559
        2014;           2;  25765.7187500;  14185.6494141;   1788.3288574;    673.6126099;      0.0063039;  21579.4687500;   2314.6696777;   1193.5352783;    398.5032043;     80.8150482;     17.8991470;      0.0001021;    672.9670410
        2014;           3;  25772.4941406;  14207.9609375;   1789.5766602;    670.1070557;      0.0095899;  21572.4941406;   2279.7551270;   1193.8489990;    399.1299744;     80.8714371;     17.8059978;      0.0001553;    672.7494507
        2014;           4;  25777.0703125;  14220.4511719;   1789.9963379;    667.6349487;      0.0150648;  21566.8222656;   2264.7421875;   1194.0610352;    399.4808655;     80.8903961;     17.7403088;      0.0002439;    672.5726318
        2014;           5;  25782.0566406;  14233.4902344;   1787.2727051;    664.7380371;      0.0214801;  21555.0878906;   2269.2622070;   1194.2919922;    399.8471375;     80.7673187;     17.6633339;      0.0003477;    672.2067261
        2014;           6;  25787.5332031;  14236.8554688;   1786.0449219;    676.1688232;      0.0150822;  21545.8847656;   2269.2429199;   1194.5456543;    399.9416504;     80.7118301;     17.9670696;      0.0002442;    671.9197388
        2014;           7;  25791.5195312;  14244.9912109;   1784.2341309;    683.2224731;      0.0107229;  21535.9843750;   2269.3105469;   1194.7303467;    400.1701965;     80.6299973;     18.1544991;      0.0001736;    671.6109619
        2014;           8;  25794.4277344;  14254.9091797;   1782.1655273;    687.8841553;      0.0079155;  21526.4785156;   2269.6750488;   1194.8649902;    400.4488220;     80.5365219;     18.2783699;      0.0001281;    671.3144531
        2014;           9;  25796.4667969;  14264.7939453;   1780.0964355;    692.0524292;      0.0062472;  21518.0429688;   2269.0175781;   1194.9595947;    400.7265320;     80.4430237;     18.3891296;      0.0001011;    671.0513916
        2014;          10;  25812.2910156;  14313.8408203;   1781.8242188;    688.0390625;      0.0095577;  21477.5097656;   2263.1472168;   1195.6926270;    402.1043396;     80.5210953;     18.2824841;      0.0001547;    669.7874146
        2014;          11;  25823.6855469;  14353.9501953;   1782.2386475;    675.7192993;      0.0070316;  21444.2539062;   2271.6501465;   1196.2204590;    403.2310791;     80.5398331;     17.9551277;      0.0001138;    668.7503052
        2014;          12;  25832.6308594;  14386.3935547;   1782.1282959;    660.2698975;      0.0066617;  21427.6992188;   2254.2331543;   1196.6347656;    404.1424866;     80.5348434;     17.5446053;      0.0001078;    668.2340088
        2015;           1;  25837.4667969;  14399.0097656;   1782.6978760;    658.3256836;      0.0100996;  21422.0000000;   2237.7888184;   1196.8587646;    404.4969482;     80.5605850;     17.4929466;      0.0001635;    668.0562744
        2015;           2;  25843.2460938;  14418.0224609;   1783.1203613;    651.7666016;      0.0107591;  21413.2304688;   2220.6123047;   1197.1264648;    405.0310364;     80.5796738;     17.3186569;      0.0001742;    667.7828369
        2015;           3;  25847.9062500;  14429.6220703;   1783.6831055;    648.4207153;      0.0150954;  21405.9023438;   2212.7482910;   1197.3422852;    405.3568726;     80.6051025;     17.2297516;      0.0002444;    667.5542603
        2015;           4;  25853.1718750;  14439.4287109;   1784.4884033;    651.6091309;      0.0170072;  21397.1796875;   2204.9995117;   1197.5863037;    405.6323547;     80.6414871;     17.3144741;      0.0002753;    667.2822266
        2015;           5;  25857.7636719;  14443.2382812;   1782.3520508;    658.6312866;      0.0119432;  21389.9980469;   2204.7697754;   1197.7989502;    405.7393799;     80.5449524;     17.5010643;      0.0001933;    667.0582886
        2015;           6;  25859.3574219;  14449.2568359;   1780.4663086;    669.0064697;      0.0095599;  21381.6816406;   2205.8972168;   1197.8728027;    405.9084473;     80.4597397;     17.7767525;      0.0001548;    666.7989502
        2015;           7;  25861.0996094;  14457.8710938;   1777.9808350;    672.8665771;      0.0071666;  21373.8437500;   2207.3198242;   1197.9534912;    406.1504517;     80.3474121;     17.8793240;      0.0001160;    666.5545654
        2015;           8;  25862.0761719;  14467.0205078;   1775.5080566;    676.0142822;      0.0055793;  21366.3925781;   2208.8923340;   1197.9986572;    406.4075012;     80.2356720;     17.9629650;      0.0000903;    666.3221436
        2015;           9;  25863.2851562;  14475.4404297;   1773.3270264;    679.2764282;      0.0044966;  21359.4902344;   2209.2028809;   1198.0546875;    406.6440125;     80.1371155;     18.0496445;      0.0000728;    666.1069336
        2015;          10;  25868.2089844;  14491.1611328;   1774.4379883;    682.5829468;      0.0030438;  21349.0136719;   2194.9995117;   1198.2828369;    407.0856323;     80.1873093;     18.1375065;      0.0000493;    665.7802124
        2015;          11;  25885.7460938;  14551.7197266;   1775.4379883;    675.9838257;      0.0039710;  21313.4648438;   2151.1584473;   1199.0952148;    408.7868347;     80.2324905;     17.9621544;      0.0000643;    664.6715698
        2015;          12;  25897.3554688;  14593.3925781;   1774.7932129;    653.1381836;      0.0046428;  21298.1972656;   2113.6442871;   1199.6330566;    409.9575500;     80.2033691;     17.3551025;      0.0000752;    664.1954346
