kg/ha/month
 YEAR;Month;Ca;Mg;K;Na;Al;Si;P
        2012;          10;      0.1492833;      0.1901069;      0.3577650;      0.0396403;      1.1724800;      1.8231921;      0.0210002
        2012;          11;      0.1144767;      0.1275406;      0.2378268;      0.0310307;      0.8244132;      1.2711934;      0.0141062
        2012;          12;      0.0955306;      0.0961905;      0.1780474;      0.0264472;      0.6462531;      0.9895269;      0.0102269
        2013;           1;      0.0939588;      0.0940321;      0.1738783;      0.0261345;      0.6331283;      0.9688935;      0.0097741
        2013;           2;      0.0886385;      0.0902086;      0.1671429;      0.0245379;      0.6038601;      0.9251908;      0.0095025
        2013;           3;      0.1106213;      0.1168618;      0.2173862;      0.0304282;      0.7718745;      1.1854970;      0.0124039
        2013;           4;      0.1532294;      0.1779985;      0.3344992;      0.0414970;      1.1368141;      1.7564409;      0.0192190
        2013;           5;      0.2119687;      0.2729968;      0.5180030;      0.0565037;      1.6844229;      2.6185899;      0.0296032
        2013;           6;      0.2470045;      0.3431551;      0.6556195;      0.0651565;      2.0681431;      3.2287891;      0.0369667
        2013;           7;      0.1930407;      0.2981592;      0.5490367;      0.0437707;      1.6391834;      2.6041918;      0.0495448
        2013;           8;      0.2086635;      0.3094619;      0.5587784;      0.0434211;      1.6674584;      2.6601248;      0.0643205
        2013;           9;      0.1911869;      0.2881388;      0.5330212;      0.0444908;      1.6055698;      2.5432336;      0.0461061
        2013;          10;      0.1252767;      0.1764791;      0.3253346;      0.0304479;      1.0143940;      1.5976743;      0.0260007
        2013;          11;      0.0923925;      0.1222028;      0.2251113;      0.0232045;      0.7237293;      1.1337168;      0.0167777
        2013;          12;      0.0821332;      0.0997616;      0.1840246;      0.0213788;      0.6154419;      0.9570701;      0.0125729
        2014;           1;      0.0909025;      0.1002654;      0.1857586;      0.0244809;      0.6478435;      0.9991544;      0.0115359
        2014;           2;      0.0899445;      0.0919201;      0.1703852;      0.0247881;      0.6140180;      0.9412000;      0.0099233
        2014;           3;      0.1131422;      0.1165276;      0.2165097;      0.0312535;      0.7765564;      1.1906366;      0.0123911
        2014;           4;      0.1584802;      0.1752179;      0.3288590;      0.0434096;      1.1401342;      1.7554160;      0.0185815
        2014;           5;      0.2235510;      0.2804534;      0.5317781;      0.0597910;      1.7456000;      2.7092648;      0.0306442
        2014;           6;      0.2314960;      0.3323211;      0.6336265;      0.0602680;      1.9730171;      3.0887070;      0.0370999
        2014;           7;      0.2604250;      0.3785376;      0.7283947;      0.0688920;      2.2624302;      3.5379817;      0.0386143
        2014;           8;      0.3017320;      0.4293378;      0.8315153;      0.0810685;      2.6030385;      4.0600672;      0.0411639
        2014;           9;      0.2349816;      0.3003209;      0.5772969;      0.0648127;      1.8895488;      2.9275627;      0.0266621
        2014;          10;      0.1361666;      0.1858791;      0.3473568;      0.0348419;      1.1040728;      1.7284863;      0.0231120
        2014;          11;      0.1065242;      0.1296387;      0.2410256;      0.0279913;      0.8041533;      1.2491660;      0.0156775
        2014;          12;      0.0951784;      0.0996049;      0.1845684;      0.0259825;      0.6582933;      1.0111325;      0.0111244
        2015;           1;      0.0949257;      0.0984995;      0.1825072;      0.0259965;      0.6535324;      1.0031023;      0.0108711
        2015;           2;      0.0896408;      0.0931823;      0.1727980;      0.0245482;      0.6178967;      0.9484689;      0.0102911
        2015;           3;      0.1109260;      0.1197835;      0.2228558;      0.0301922;      0.7830157;      1.2049495;      0.0132957
        2015;           4;      0.1517894;      0.1798420;      0.3378537;      0.0408170;      1.1384921;      1.7618593;      0.0198624
        2015;           5;      0.2030449;      0.2686641;      0.5098343;      0.0538192;      1.6412722;      2.5562217;      0.0292622
        2015;           6;      0.2403952;      0.3027676;      0.5807837;      0.0663005;      1.9102870;      2.9578221;      0.0273815
        2015;           7;      0.2784336;      0.3520629;      0.6771362;      0.0770682;      2.2218080;      3.4396856;      0.0311749
        2015;           8;      0.2736558;      0.3540668;      0.6713757;      0.0766105;      2.1903436;      3.3993635;      0.0294818
        2015;           9;      0.1587139;      0.2279104;      0.4131679;      0.0443363;      1.3161691;      2.0653291;      0.0182411
        2015;          10;      0.1408431;      0.1786104;      0.3372576;      0.0378736;      1.1102413;      1.7242191;      0.0183558
        2015;          11;      0.1054327;      0.1290839;      0.2400063;      0.0276842;      0.7990196;      1.2416805;      0.0155728
        2015;          12;      0.0965872;      0.0986977;      0.1828173;      0.0265292;      0.6587842;      1.0100421;      0.0108695
