siteID;month;yr;Criteria1;Criteria2;Criteria3;Ca;Mg;K;Na;NH4;NO3;Cl;SO4;Br;pH;conduc;svol;ppt;fullChemLab;daysSample;startDate;lastDate
OR02;6;1986;100;100;100;0.085;0.064;0.029;0.361;0.01;0.164;0.691;0.434;-9;5.242;6.759;538.6;1.181;3;28;6/3/1986 0:00;7/1/1986 0:00
OR02;7;1986;75;100;92;0.021;0.015;0.007;0.087;0.011;0.016;0.157;0.155;-9;5.495;2.549;903.9;1.651;2;28;7/1/1986 0:00;7/29/1986 0:00
OR02;8;1986;100;100;100;0.04;0.04;0.035;0.622;0.01;0.14;0.6;0.51;-9;6.03;5.2;134.5;0.203;1;35;7/29/1986 0:00;9/2/1986 0:00
OR02;9;1986;100;100;100;0.034;0.074;0.024;0.611;0.01;0.064;1.109;0.357;-9;5.298;7.366;7460.6;11.158;3;28;9/2/1986 0:00;9/30/1986 0:00
OR02;10;1986;100;100;100;0.064;0.162;0.056;1.309;0.013;0.085;2.522;0.454;-9;5.459;11.73;8066;12.04;4;35;9/30/1986 0:00;11/4/1986 0:00
OR02;11;1986;100;100;100;0.053;0.083;0.03;0.649;0.01;0.068;1.231;0.303;-9;5.422;6.777;13668.5;31.826;4;28;11/4/1986 0:00;12/2/1986 0:00
OR02;12;1986;100;100;100;0.069;0.171;0.054;1.39;0.011;0.087;2.599;0.519;-9;5.36;12.838;8236.7;12.344;4;28;12/2/1986 0:00;12/30/1986 0:00
OR02;1;1987;0;100;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;40.082;0;35;12/30/1986 0:00;2/3/1987 0:00
OR02;2;1987;0;100;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;0;13.589;0;28;2/3/1987 0:00;3/3/1987 0:00
OR02;3;1987;50;100;27;0.06;0.089;0.015;0.696;0.01;0.08;1.3;0.37;-9;5.4;6.8;2983.8;15.096;1;28;3/3/1987 0:00;3/31/1987 0:00
OR02;4;1987;100;100;100;0.094;0.109;0.066;0.857;0.065;0.378;1.541;0.637;-9;5.376;9.912;3643.6;5.246;3;28;3/31/1987 0:00;4/28/1987 0:00
