"";"id";"YEAR";"Month";"Ca";"Mg";"K";"Na";"NO3";"NH4";"SO4";"Cl";"P";"DOC";"Al";"Si";"H";"pH";"R";"HR";"Date";"group_id"
"33";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2007;9;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;2007-09-01;1
"34";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2007;10;1,4188695;1,1248068;1,029693;1,9027923;0,0266162;0,0338678;0,7371818;3,4005456;0,0656773;16,082365;3,13e-05;2,9893038;NA;NA;NA;NA;2007-10-01;1
"35";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2007;11;0,9190879;0,7283286;1,0001704;1,7948395;0,0461489;0,0555296;1,079707;2,7499397;0,0466312;11,4519873;5,37e-05;1,6605203;NA;NA;NA;NA;2007-11-01;1
"36";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2007;12;1,8134133;1,4349407;2,1532686;4,2748756;0,0605804;0,1114235;2,5488443;10,3189707;0,0497294;8,2095289;4,31e-05;0,8520439;NA;NA;NA;NA;2007-12-01;1
"37";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2008;1;0,8607748;0,6804281;1,3758931;2,6062438;0,0993237;0,0819405;2,1977682;4,0323539;0,0374483;4,4646292;2,7e-05;0,3603875;NA;NA;NA;NA;2008-01-01;1
"38";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2008;2;0,4757716;0,3758273;0,6620255;1,2353218;0,0666095;0,0561728;0,9231596;1,8074285;0,0367605;4,316916;3,86e-05;0,2223119;NA;NA;NA;NA;2008-02-01;1
"39";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2008;3;0,7966118;0,6287209;1,0091057;1,9188029;0,0958973;0,0970109;1,2769177;3,6576602;0,0445297;5,8636842;4,67e-05;0,3257776;NA;NA;NA;NA;2008-03-01;1
"40";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2008;4;0,6417485;0,5061186;0,8143713;1,528895;0,0559396;0,0561275;1,03678;2,5412457;0,0389548;6,07548;5,22e-05;0,4274348;NA;NA;NA;NA;2008-04-01;1
"41";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2008;5;0,0025279;0,0019929;0,0020704;0,0038416;0;0;0,0015468;0,0047689;0,0003837;0,0481805;0,0002788;0,0024567;NA;NA;NA;NA;2008-05-01;1
"42";"C:/Users/siahl/Documents/NutsforSEDLN/Output data/Soil solution/Leaching Layer 1.csv";2008;6;0,6329707;0,4986033;0,4478873;0,8116983;0;0;0,3035555;0,8360516;0,0776301;12,5216045;0,0004056;0,6849887;NA;NA;NA;NA;2008-06-01;1
